year,days_tmin_blw
1950,4.23099
1951,7.795348
1952,1.8011007
1953,2.8717096
1954,2.006701
1955,5.5674753
1956,0.061755
1957,5.2255216
1958,13.331626
1959,6.850096
1960,11.645758
1961,5.3443475
1962,7.859897
1963,18.80991
1964,6.688736
1965,7.0151334
1966,7.518991
1967,3.334499
1968,7.9056997
1969,4.6767855
1970,11.286717
1971,7.479288
1972,5.207715
1973,5.7870455
1974,0.73216903
1975,2.923648
1976,9.446113
1977,22.55882
1978,14.541513
1979,8.04822
1980,11.480022
1981,14.446451
1982,8.500075
1983,6.348993
1984,6.6292763
1985,11.982211
1986,4.825288
1987,1.6891052
1988,6.770334
1989,6.5207663
1990,0.19545811
1991,2.2135727
1992,1.4305896
1993,2.7600465
1994,5.973482
1995,6.8130975
1996,9.955249
1997,4.0681977
1998,1.9684329
1999,2.4283662
2000,5.4576464
2001,1.8797079
2002,1.5886194
2003,5.397714
2004,2.5484734
2005,3.040438
2006,0.8690557
