year,growing_season_lngth
1950,311.47134
1951,255.43333
1952,313.45773
1953,273.64032
1954,242.63437
1955,325.44852
1956,282.31982
1957,311.8139
1958,278.3922
1959,296.75665
1960,329.85095
1961,311.441
1962,300.48477
1963,263.04944
1964,301.5801
1965,307.30334
1966,290.69037
1967,304.924
1968,257.22833
1969,270.7178
1970,292.19696
1971,273.7057
1972,303.01944
1973,289.40463
1974,314.35434
1975,323.80783
1976,281.83984
1977,278.9109
1978,272.87628
1979,270.05383
1980,299.08786
1981,287.1488
1982,279.2078
1983,278.2126
1984,301.2447
1985,284.07214
1986,316.52292
1987,268.13815
1988,292.90363
1989,313.24365
1990,343.353
1991,287.19
1992,282.525
1993,337.19485
1994,316.46967
1995,284.7477
1996,262.4018
1997,319.68842
1998,342.56253
1999,332.58035
2000,274.41522
2001,300.6179
2002,301.79684
2003,270.69418
2004,290.3779
2005,334.56476
2006,296.5524
