year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,3.566,0.045,14.615,0.519,9.430,4.551,0.129,10.200,0.986,8.358
2007,3.280,0.379,9.750,1.350,4.859,3.231,0.484,12.220,0.548,9.352
2008,3.978,0.319,14.557,1.520,8.987,2.532,0.013,16.571,0.173,8.824
2009,3.358,0.730,8.612,1.273,6.805,5.052,0.440,13.606,1.508,10.299
2010,3.822,0.120,10.934,0.558,9.227,2.532,0.159,11.688,0.844,10.252
2011,4.923,1.033,9.110,2.284,6.566,3.337,0.765,12.043,1.096,8.323
2012,4.848,0.013,10.997,0.748,9.372,3.254,0.106,7.180,0.409,5.485
2013,1.940,0.056,7.326,0.217,5.763,2.992,0.013,16.085,0.412,7.395
2014,2.711,0.322,6.872,0.594,5.880,2.709,0.159,7.446,1.153,6.650
2015,3.900,0.071,9.386,1.429,7.452,3.257,0.000,13.934,1.059,9.874
2016,3.450,0.365,7.277,0.610,6.312,4.726,0.311,9.451,0.691,7.911
2017,2.291,0.317,8.078,1.016,6.968,2.369,0.013,14.106,0.527,7.608
2018,2.810,0.054,17.088,0.345,8.162,3.564,0.215,7.826,0.989,6.180
2019,3.938,0.084,13.159,0.526,6.399,2.105,0.000,5.567,0.174,4.854
2020,2.993,0.744,11.290,1.169,7.635,2.848,0.013,15.472,0.153,10.916
2021,2.659,0.165,9.334,0.441,7.187,4.007,0.553,12.455,0.998,9.323
2022,3.364,0.223,10.879,1.092,8.016,2.462,0.029,14.227,1.116,6.550
2023,3.479,0.240,22.104,0.619,9.036,2.665,0.230,10.042,0.710,6.623
2024,2.246,0.013,8.912,0.537,7.311,1.712,0.408,7.404,0.714,4.063
2025,2.397,0.253,8.138,0.328,6.807,1.668,0.054,6.829,0.147,5.626
2026,2.535,0.000,8.914,0.079,4.590,3.010,0.253,7.144,0.599,5.646
2027,2.695,0.231,6.795,0.595,5.858,1.690,0.018,6.470,0.374,5.257
