year,BCCA_0-125deg_pr_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp85_r1i1p1
2016,3.598506,3.6678994,3.2700853,4.268532,4.026349,3.3679602,3.7614002,3.302731,3.0912433,3.6942916,3.6928866,2.341314,4.0272207,4.3528156,4.4706697,3.697904,3.8850567,3.7236736,3.5298073,3.3491876,4.0733304,3.3351376,3.7936645,3.1937935,4.112247,3.5905852,3.930406,3.9931889,3.2644958,4.0945115,2.8963234,3.3949957,3.9496622,3.3105352,3.199205,4.0691023,3.982055,3.434747,2.8651838,3.3316479,4.0029793
2017,3.5422342,3.0320666,3.2938657,3.9020343,3.7769635,2.9860568,3.4907055,3.510427,3.3219914,4.0904408,4.7328258,3.8056116,3.3039155,2.5640757,3.8521264,3.9644954,3.1190715,3.6955886,3.5765066,3.3703306,4.422641,3.2107174,3.618583,4.0748506,3.363793,3.2167125,3.4627469,2.6741729,4.15873,3.1557937,2.3654091,3.952323,5.198696,3.59673,3.4928553,3.3374183,3.8498292,4.0618677,3.030609,3.9942153,4.089281
2018,3.3644457,3.5939124,3.6340272,2.4396465,3.9648666,4.1722064,3.8004723,3.908167,3.8141134,3.610709,3.8597062,3.6704037,3.2167988,3.5561907,3.776308,3.8705256,3.4860969,3.9059086,3.3481827,2.8431988,3.7809427,3.3531432,3.3285546,4.178161,3.9973278,3.3608732,3.4296327,4.1006184,3.6273744,3.0254967,3.5105884,4.0584426,3.1345782,4.1257296,3.5241723,4.410083,3.7059479,3.644546,3.425612,3.5693786,3.3650973
2019,3.435449,1.9895563,3.7717907,3.5017693,3.516685,3.8894641,3.0798278,2.8347619,4.671585,2.9218988,3.1934676,3.101203,2.90722,4.1771164,3.0355127,3.4491394,3.3202732,3.9909518,3.8390937,3.8065484,2.9572833,2.6371374,3.7047753,3.241001,3.5834794,3.3618498,3.752515,4.016942,4.8298316,3.7314727,3.867954,3.3716745,4.397574,3.4757137,4.333016,3.367358,4.3373165,3.2365305,3.567611,3.2991154,2.6201146
2020,3.104499,2.9638844,4.766313,3.1586807,3.3136802,4.177612,3.66448,4.3421082,3.8811371,3.2267659,3.61999,3.2715619,4.2170386,3.689809,3.7075179,4.732866,3.105349,3.418867,4.5656314,3.8419535,3.6526415,4.3455887,3.0344648,2.8063636,3.9098396,3.8893304,2.8958411,3.7497997,3.1127894,4.3883133,4.4698167,3.3034987,4.2224956,3.0984244,3.2618933,3.9604292,3.4751475,3.977218,3.6288486,2.9783676,3.2555854
2021,3.7965138,2.9716797,3.7413886,3.130721,3.8116088,3.8372157,3.7856743,4.1912065,3.1852539,4.1872573,3.773287,3.7706666,3.6416974,3.4638238,4.3110743,4.2200375,3.5944247,4.403425,4.15716,3.3112926,3.5734224,2.9107165,2.9762583,3.4634433,4.0788116,3.6199553,3.173535,3.823453,3.4024715,3.7458231,3.5882962,4.3658977,3.95985,3.8145447,3.750181,3.5358686,3.565424,4.613281,3.5168586,3.1599123,3.0106006
2022,3.7913337,3.172444,3.0114512,3.9231932,3.6574676,4.3790627,4.2299533,5.2466745,3.9451475,2.735348,3.7986403,2.604351,4.618373,3.5695918,3.9090881,3.161004,3.325563,3.9364634,3.775234,3.3862588,3.975523,3.6242762,4.1826944,3.9021783,4.0425143,4.300758,3.1023126,3.82736,4.179198,3.0143664,3.802989,3.2849863,4.2694945,3.9985623,3.6547818,5.053976,3.8388069,4.2651825,3.7964056,3.3167179,3.9516735
2023,3.2019315,3.7922003,3.9981716,3.678942,3.9076946,3.8226054,3.737484,3.252906,3.9419641,2.810222,3.7118242,2.9192615,3.7916024,3.333694,4.3011622,3.9166043,3.712159,3.2944577,3.5892649,4.1837583,3.7699664,3.2433977,3.4222653,3.4632194,4.0876837,3.5677373,3.301802,3.3205285,5.26151,3.2525656,3.731862,2.7457132,3.5163143,3.547794,3.0519156,3.884545,3.9244375,2.8930295,3.5556588,4.5058722,2.6375368
2024,3.070125,3.848445,3.3367589,3.559008,3.8037415,3.52532,3.1547482,3.7995818,4.5712276,4.164565,4.084395,3.5065696,3.22681,4.0835576,4.0889597,4.8152013,3.9465933,3.63592,3.957888,4.178243,3.5385025,3.5498755,3.2885685,3.9550686,3.6888702,3.844326,3.1717563,3.2583973,4.626466,3.1244729,3.6425023,3.0356576,4.140306,3.1415286,3.5626886,3.515263,3.9522223,3.9996452,3.1619773,3.874432,3.650319
2025,3.0648685,2.7565653,3.0852354,3.4176643,3.5358984,4.4239273,2.7596247,4.5699143,3.933419,4.3728266,3.3765342,3.662262,3.5937912,3.4308417,3.7786686,3.3565032,4.139724,4.025524,3.9191413,3.4848871,3.795311,3.927641,3.7756026,3.6366866,3.7167532,4.1334386,4.6157517,3.7005029,3.361988,4.494059,4.29771,3.2387428,3.725253,3.6814141,3.829326,3.6272295,3.2397976,2.955406,2.765019,3.8141706,4.2432566
2026,3.4899065,3.3561926,3.9294412,4.2363133,3.4175453,4.3113985,3.3005345,4.0227914,3.6967618,4.671408,3.9558356,3.8283572,2.845898,3.3748126,4.0413823,3.715968,3.5345697,3.0801432,4.238816,3.4695234,3.3832393,3.188732,3.5181274,4.81627,3.2847707,3.686942,4.3102546,3.9067655,3.6158137,3.5764225,3.854607,3.8181827,3.7601302,3.5801272,3.6253312,3.3882232,3.3693833,2.8508139,3.1509771,2.9896166,3.8769844
2027,4.363522,3.7323422,4.287565,3.6974192,4.678929,3.436091,4.5308223,3.5177805,3.0267804,3.4634087,2.8356822,4.4317656,2.3468153,4.5864577,4.1464777,3.5381737,3.9307656,3.3973775,2.3208616,3.9234655,3.9358435,2.5151477,2.5330563,3.0658143,3.2369053,4.6927342,3.3661258,4.2764416,3.857487,4.0049376,3.3747706,3.2305171,3.8236105,2.907201,3.6002476,3.9401457,4.3945584,3.082838,3.729249,3.4932268,4.67627
2028,3.581604,3.3881645,3.5975313,3.7285974,3.6722596,4.0990386,3.818837,4.2182546,3.2313716,3.0378573,3.0491228,4.0471625,4.1866245,3.5821278,3.6897767,3.1406078,3.7778456,3.6313555,3.1653166,3.110731,3.1469398,4.0960917,3.0843484,3.750372,3.451564,4.0731354,3.281368,2.6774616,4.0411882,3.8128114,2.9954824,3.6300743,3.5991282,2.8883219,4.1397943,4.1895504,3.8987844,3.1087332,3.3426213,4.3370814,3.535206
2029,3.4812238,4.477653,3.4264054,4.203142,3.1178184,3.864073,4.46189,4.1425433,3.1970015,3.9143653,3.977217,4.3165307,3.9917414,3.3022685,4.1659055,4.5558257,4.221958,3.3998702,3.6716938,3.4692745,3.071956,3.7208962,3.0391514,3.665372,3.8058565,3.6753397,3.5801501,2.9861584,4.2923646,3.5893972,3.4076033,2.9555092,3.8146553,3.057683,3.6580186,3.3221483,4.0826974,3.3088667,4.477552,3.4986753,4.5024815
2030,3.439969,3.5111592,3.313843,3.6550636,3.7926157,3.9150004,3.3151197,4.086053,3.7242756,3.8463795,2.6016047,4.0461526,4.2706327,3.6083167,4.540319,4.5325356,3.8626413,3.0672126,3.2202513,3.4667041,4.2069883,4.184011,4.117335,3.7450318,3.8393774,3.7218628,4.0504246,4.0299463,3.085105,3.4272053,3.5217245,3.3747687,4.091303,3.2535853,3.2174768,4.2733107,3.6766205,3.4949455,2.9878845,2.8360465,2.8831122
2031,3.581344,3.2646382,3.5167117,4.7440586,3.8907712,4.0765715,3.5092518,4.2250175,3.6234274,4.113829,3.7441862,3.705737,3.4782329,4.734225,2.749384,4.303856,3.2382507,3.0762227,4.035535,3.0318413,4.1022134,3.6380851,3.314269,3.4247603,4.0729218,4.2838154,3.6250906,4.1067867,3.018463,3.7650511,3.6627448,4.1389422,3.938461,3.8575647,3.357435,4.325202,3.2363908,3.8183343,3.7274754,3.1132932,3.2892802
2032,3.40281,3.3468094,3.514896,4.126499,4.7873154,4.108338,3.5874853,3.6809158,4.0980453,4.448288,4.322264,3.7499864,3.1779144,4.526852,4.0278754,4.1109333,3.7514017,3.4510207,3.1560442,4.1380286,4.542818,3.574211,3.9289289,3.4608097,3.6327958,4.445185,4.4906487,4.488344,4.837234,4.3046975,3.4368484,3.666679,3.51182,3.5446239,3.8330884,4.3038664,4.68772,3.6455386,3.105301,2.6730833,3.260196
2033,3.857327,3.2449021,3.1854792,4.345734,3.8466089,3.5145907,4.073067,3.7994728,3.090077,3.6265554,3.5125213,4.478299,3.0107088,3.1051733,4.1138744,3.6449301,4.040585,3.5406804,3.2968345,3.4155037,3.027941,4.210812,2.7473414,3.205832,4.108963,3.5293334,3.7183893,3.6433024,3.6189559,5.0062594,5.1257234,3.0207372,2.8788285,3.7958624,3.369492,3.8569038,3.6008532,2.6690261,3.8594363,3.6593912,3.3116207
