year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,0.308,0.000,2.123,0.058,1.517,0.676,0.000,2.268,0.069,1.364
2007,0.384,0.016,1.255,0.058,1.093,0.714,0.000,2.196,0.016,1.475
2008,0.753,0.000,2.347,0.126,1.855,0.456,0.000,3.103,0.029,1.588
2009,0.479,0.000,1.983,0.112,1.551,0.767,0.029,3.180,0.166,2.084
2010,0.419,0.000,1.761,0.026,1.359,0.813,0.071,2.672,0.198,1.787
2011,0.510,0.055,2.339,0.105,1.556,0.486,0.016,2.269,0.069,1.114
2012,0.630,0.000,2.363,0.068,1.812,0.617,0.032,2.042,0.092,1.073
2013,0.537,0.000,2.529,0.016,2.260,0.300,0.000,2.092,0.016,1.307
2014,0.606,0.016,2.468,0.124,1.980,0.749,0.016,2.121,0.045,1.809
2015,0.782,0.039,2.941,0.143,2.135,0.421,0.029,3.434,0.088,1.751
2016,0.617,0.027,2.771,0.054,2.007,0.427,0.000,2.668,0.071,1.681
2017,0.534,0.000,2.451,0.081,1.794,0.549,0.000,3.334,0.032,1.846
2018,0.983,0.000,2.165,0.244,1.679,0.940,0.000,2.308,0.153,2.208
2019,0.311,0.016,3.032,0.096,1.482,0.427,0.016,3.134,0.039,2.050
2020,0.706,0.000,3.319,0.109,1.525,0.846,0.016,1.581,0.055,1.298
2021,0.642,0.055,2.143,0.139,1.442,0.445,0.000,2.087,0.137,1.215
2022,0.931,0.108,3.012,0.181,2.103,0.792,0.048,1.910,0.210,1.861
2023,0.656,0.016,1.972,0.051,1.784,0.594,0.039,3.092,0.139,2.183
2024,0.563,0.016,2.725,0.138,1.519,0.547,0.039,2.543,0.139,1.664
2025,0.417,0.000,1.323,0.062,0.980,0.631,0.000,2.937,0.254,1.245
2026,0.484,0.016,2.344,0.049,1.575,0.873,0.072,2.465,0.084,1.329
2027,0.800,0.039,2.607,0.190,2.034,0.755,0.039,3.017,0.108,2.029
2028,0.647,0.000,2.086,0.067,1.371,1.068,0.159,2.910,0.166,1.959
2029,0.902,0.016,2.934,0.054,1.699,0.801,0.032,3.175,0.186,2.298
2030,0.445,0.000,1.225,0.101,1.038,0.994,0.176,2.439,0.422,1.999
2031,0.499,0.126,2.987,0.190,1.935,0.612,0.000,3.204,0.039,2.764
2032,0.450,0.074,4.485,0.108,2.606,0.991,0.126,4.388,0.255,2.322
2033,0.778,0.000,3.003,0.081,1.539,1.101,0.016,3.471,0.055,1.960
2034,0.626,0.072,3.569,0.247,2.072,0.703,0.084,2.956,0.169,2.184
2035,0.506,0.000,3.000,0.014,2.643,0.999,0.071,5.778,0.182,1.817
2036,0.613,0.000,1.986,0.000,1.393,0.501,0.000,2.262,0.032,1.705
2037,1.259,0.055,2.873,0.326,2.143,0.408,0.029,1.930,0.047,1.695
2038,0.499,0.032,2.072,0.093,1.404,0.556,0.000,4.232,0.126,2.162
2039,0.874,0.000,2.408,0.016,1.841,0.390,0.000,2.831,0.100,1.956
2040,0.858,0.055,2.065,0.245,1.318,0.561,0.000,2.739,0.032,1.658
2041,0.933,0.013,2.411,0.084,2.051,0.736,0.084,3.308,0.110,1.954
2042,1.057,0.045,2.690,0.366,1.749,1.013,0.098,2.355,0.298,2.223
2043,0.584,0.000,2.800,0.113,2.074,0.897,0.016,3.341,0.232,2.202
2044,0.955,0.129,2.142,0.271,1.689,0.934,0.000,3.362,0.118,2.074
2045,1.042,0.000,2.405,0.192,1.444,0.999,0.000,3.333,0.055,2.104
2046,0.506,0.055,1.853,0.158,1.588,0.662,0.000,3.069,0.137,2.474
2047,0.816,0.084,2.285,0.183,1.804,0.758,0.065,3.052,0.150,1.858
2048,0.771,0.039,2.996,0.133,2.063,0.975,0.029,4.789,0.055,2.416
2049,1.006,0.000,3.373,0.016,2.024,0.932,0.069,3.243,0.126,2.115
2050,0.959,0.016,2.160,0.121,1.673,0.690,0.188,2.171,0.225,1.881
2051,0.547,0.016,3.094,0.137,2.744,0.922,0.055,2.036,0.179,1.744
2052,1.012,0.000,3.105,0.051,1.718,0.744,0.017,4.729,0.149,2.095
2053,0.943,0.016,3.943,0.452,2.437,1.071,0.239,4.206,0.504,2.044
2054,1.172,0.016,3.838,0.065,2.239,0.878,0.029,3.357,0.061,1.916
2055,0.621,0.017,2.424,0.215,1.594,1.059,0.094,3.120,0.395,1.803
2056,0.743,0.000,2.359,0.086,1.564,1.119,0.000,3.538,0.079,2.076
2057,0.886,0.000,3.178,0.079,2.944,0.964,0.000,3.150,0.039,1.681
2058,0.666,0.000,1.890,0.028,1.207,0.677,0.055,2.727,0.181,1.709
2059,0.621,0.000,3.226,0.016,1.899,1.205,0.000,4.238,0.454,2.168
2060,1.254,0.056,3.267,0.710,2.579,1.127,0.000,2.938,0.296,2.637
2061,0.795,0.016,3.353,0.065,2.461,0.795,0.000,3.470,0.039,2.282
2062,0.745,0.045,3.408,0.292,1.952,0.850,0.087,3.874,0.110,2.328
2063,0.786,0.055,3.268,0.138,2.082,1.045,0.220,5.898,0.570,2.710
2064,0.914,0.000,3.080,0.099,2.886,1.183,0.032,2.728,0.217,2.444
2065,0.778,0.016,2.550,0.053,2.015,0.399,0.000,1.759,0.182,1.560
2066,0.456,0.084,2.443,0.109,1.851,1.128,0.016,3.062,0.250,2.441
2067,0.644,0.016,1.876,0.123,1.507,0.979,0.071,3.416,0.260,2.119
2068,0.657,0.016,2.643,0.065,1.455,1.044,0.000,3.740,0.087,2.175
2069,0.705,0.045,2.517,0.180,1.572,1.097,0.032,3.255,0.298,2.701
2070,0.861,0.125,3.559,0.232,2.701,0.926,0.000,3.892,0.124,3.034
2071,0.958,0.055,2.439,0.270,2.130,1.306,0.032,4.209,0.241,3.631
2072,1.041,0.000,2.513,0.135,1.813,0.956,0.094,2.677,0.301,2.162
2073,1.030,0.072,2.597,0.368,1.580,1.016,0.000,4.970,0.094,2.545
2074,0.906,0.016,2.469,0.055,2.220,0.958,0.055,4.493,0.116,2.027
2075,0.764,0.016,3.058,0.055,2.170,0.790,0.029,2.367,0.084,2.128
2076,0.777,0.071,2.542,0.153,1.879,1.257,0.013,3.421,0.360,2.532
2077,0.980,0.016,2.478,0.038,1.663,0.897,0.466,2.130,0.541,1.694
2078,0.866,0.134,3.830,0.406,1.804,0.883,0.125,3.200,0.149,2.063
2079,0.267,0.000,2.749,0.050,2.101,1.103,0.032,4.220,0.403,2.408
2080,1.032,0.000,4.173,0.221,2.480,1.152,0.244,3.475,0.733,2.550
2081,0.957,0.247,3.875,0.355,2.112,1.478,0.139,3.919,0.444,3.262
2082,0.676,0.013,3.134,0.143,2.092,1.036,0.476,3.497,0.632,2.605
2083,1.038,0.201,2.090,0.284,1.937,1.348,0.029,3.672,0.100,2.772
2084,0.616,0.000,2.411,0.153,1.108,1.319,0.045,3.262,0.169,2.182
2085,0.911,0.092,2.451,0.201,2.342,1.357,0.045,5.311,0.061,3.083
2086,1.063,0.103,2.747,0.340,2.323,0.992,0.000,4.475,0.130,2.709
2087,0.592,0.045,1.738,0.055,1.429,1.491,0.000,3.569,0.225,2.777
2088,0.915,0.000,3.643,0.094,2.060,1.389,0.084,6.074,0.165,3.074
2089,1.035,0.131,3.123,0.164,2.047,1.082,0.110,4.003,0.315,2.019
2090,1.122,0.108,3.896,0.389,2.521,1.168,0.000,2.956,0.124,2.506
2091,1.281,0.281,3.777,0.487,2.417,1.562,0.094,2.974,0.491,2.827
2092,1.019,0.017,2.363,0.239,2.164,1.748,0.114,3.724,0.426,2.784
2093,0.954,0.061,2.402,0.164,2.074,0.884,0.071,7.177,0.175,2.367
2094,0.926,0.045,4.079,0.185,2.176,1.348,0.000,3.635,0.278,2.641
2095,0.815,0.000,3.067,0.172,1.890,0.979,0.140,3.410,0.361,2.532
2096,0.916,0.000,3.359,0.014,2.277,1.792,0.025,3.465,0.300,3.098
2097,1.046,0.000,3.319,0.162,2.555,1.430,0.055,4.664,0.252,3.253
2098,0.939,0.000,2.993,0.163,2.277,1.498,0.000,5.505,0.059,3.023
2099,0.655,0.100,2.912,0.219,1.444,1.528,0.071,2.924,0.851,2.281
