year,growing_degree_day
1950,644.05365
1951,714.6818
1952,759.61365
1953,782.4623
1954,797.63873
1955,720.9534
1956,704.2231
1957,772.42236
1958,704.4361
1959,787.34985
1960,730.1104
1961,598.02637
1962,717.5842
1963,565.0775
1964,654.8283
1965,669.7212
1966,584.4451
1967,455.11218
1968,606.4813
1969,659.6938
1970,755.3885
1971,718.27563
1972,561.52344
1973,715.95184
1974,577.29315
1975,696.517
1976,514.2742
1977,779.80176
1978,741.51917
1979,581.8864
1980,785.7598
1981,666.83215
1982,667.5777
1983,650.82556
1984,651.217
1985,718.2838
1986,838.6744
1987,804.7655
1988,694.1624
1989,692.9617
1990,738.64465
1991,793.04956
1992,589.0467
1993,807.9612
1994,634.9808
1995,724.7423
1996,695.4957
1997,592.7884
1998,912.8302
1999,729.2723
2000,731.03864
2001,689.9465
2002,889.98517
2003,661.3768
2004,767.3193
2005,784.2595
2006,737.19147
