year,days_tmax_abv
1950,6.8621125
1951,6.674021
1952,8.609976
1953,1.8510826
1954,0.0
1955,2.8603492
1956,5.6016665
1957,1.1562485
1958,11.844899
1959,6.4275546
1960,7.0783377
1961,9.468732
1962,4.0645633
1963,3.1139238
1964,3.9187508
1965,4.2734656
1966,2.654847
1967,15.710996
1968,4.786324
1969,3.1270008
1970,6.9940314
1971,7.663702
1972,16.856117
1973,6.986752
1974,11.483688
1975,2.7022376
1976,1.0903872
1977,9.921003
1978,8.970906
1979,5.245851
1980,3.193544
1981,9.862334
1982,3.111264
1983,1.0165002
1984,2.9459617
1985,7.989567
1986,5.15672
1987,8.567528
1988,8.896755
1989,1.827234
1990,9.252093
1991,5.062964
1992,10.9023285
1993,3.6526897
1994,4.7057447
1995,5.5725884
1996,12.721674
1997,3.4796023
1998,10.293652
1999,1.4670897
2000,2.5770438
2001,2.1478186
2002,6.220762
2003,16.923456
2004,10.834851
2005,11.752582
2006,14.477823
