year,days_tmin_blw
1950,4.6557846
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.1714849
1956,0.049786057
1957,2.6881738
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,1.2065458
1963,0.7383056
1964,1.8019627
1965,0.0
1966,0.0
1967,0.0
1968,0.05975291
1969,0.3578545
1970,0.0
1971,0.0
1972,5.279797
1973,0.0
1974,3.8631961
1975,0.0
1976,0.0
1977,0.0
1978,0.89757776
1979,1.3289058
1980,1.9018614
1981,0.0
1982,0.0
1983,1.8367256
1984,0.0
1985,0.062082976
1986,0.0
1987,0.0
1988,0.0
1989,4.133971
1990,5.3900805
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.38525802
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
