year,days_prcp_abv
1950,4.302858
1951,2.0347946
1952,0.04059556
1953,3.037825
1954,1.976173
1955,2.9160733
1956,2.7843642
1957,2.0938926
1958,1.4789934
1959,3.5011177
1960,2.5737228
1961,3.2041972
1962,1.2212771
1963,3.049016
1964,5.1222854
1965,4.1272864
1966,3.278381
1967,2.367926
1968,3.106672
1969,2.1577604
1970,3.4119942
1971,3.2274613
1972,4.4091344
1973,4.7343884
1974,5.840479
1975,2.73681
1976,1.9489905
1977,2.979194
1978,0.37412468
1979,1.9494214
1980,5.1948066
1981,3.5060964
1982,4.3290315
1983,2.346927
1984,2.937259
1985,0.6901766
1986,2.2213817
1987,3.2967646
1988,3.4183805
1989,1.6505005
1990,2.6424508
1991,0.8078445
1992,2.412235
1993,2.140947
1994,2.1604772
1995,4.577744
1996,10.494511
1997,3.2575061
1998,6.134728
1999,5.8965
2000,0.23299588
2001,2.6022577
2002,2.7999833
2003,1.5045747
2004,1.3565798
2005,3.9594145
2006,6.131275
