year,days_prcp_abv
1950,0.14048548
1951,0.0
1952,0.0
1953,0.0
1954,0.027344616
1955,0.11186904
1956,0.09535403
1957,0.0
1958,0.0
1959,0.0
1960,0.2917407
1961,0.44746932
1962,0.0
1963,0.0
1964,0.47361866
1965,0.45496908
1966,0.13197216
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.4905702
1973,0.0
1974,0.82780284
1975,0.49372178
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.4835855
1981,0.3876507
1982,0.0
1983,0.1549699
1984,0.25985426
1985,0.0
1986,0.0
1987,0.32974344
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,1.6001061
1997,0.0
1998,0.95780236
1999,0.16731797
2000,0.0
2001,0.0
2002,0.0
2003,0.027344616
2004,0.068009414
2005,0.10882993
2006,0.32645482
