month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,12.744,9.724,5.943,7.888,11.855,13.164,9.761,6.351,7.775,11.672,13.738,10.678,6.681,8.334,12.266,14.018,10.666,7.599,8.900,12.631,13.508,10.899,7.271,9.040,12.640,14.434,12.156,8.337,10.277,13.789
4,22.620,19.920,17.553,18.503,21.338,22.553,20.097,17.243,18.171,21.399,22.848,20.683,18.015,19.332,22.283,23.842,21.040,18.800,19.830,22.757,23.711,21.068,18.365,19.603,22.620,24.847,22.396,19.808,21.040,23.909
7,30.787,28.870,27.490,27.953,29.843,30.770,28.954,27.358,28.087,30.010,31.361,29.786,28.307,28.851,30.768,32.278,30.289,28.645,29.182,31.536,31.705,30.288,28.717,29.340,31.321,34.036,32.049,30.121,30.763,33.048
10,22.815,20.764,18.924,19.554,21.907,23.083,20.944,18.804,19.584,22.094,23.468,21.535,19.590,20.338,22.656,24.275,22.030,19.783,20.717,23.439,23.597,22.047,19.855,20.640,22.955,25.916,23.578,21.065,22.282,24.980
