year,median,min,max,p10,p90
1950,0.069,0.000,2.905,0.000,2.186
1951,0.057,0.000,1.970,0.000,1.602
1952,0.122,0.000,2.055,0.000,0.650
1953,0.214,0.000,2.979,0.000,2.175
1954,0.102,0.000,2.588,0.000,0.673
1955,0.027,0.000,5.171,0.000,0.867
1956,0.084,0.000,3.015,0.000,1.971
1957,0.013,0.000,1.460,0.000,0.854
1958,0.044,0.000,2.640,0.000,2.482
1959,1.039,0.000,4.768,0.000,3.103
1960,0.091,0.000,2.232,0.000,1.538
1961,0.079,0.000,3.651,0.013,2.011
1962,0.381,0.000,1.951,0.000,1.660
1963,0.043,0.000,4.451,0.000,1.888
1964,0.249,0.000,7.031,0.000,1.749
1965,0.323,0.000,4.386,0.000,1.983
1966,0.027,0.000,7.120,0.000,0.894
1967,0.111,0.000,3.759,0.000,2.287
1968,0.428,0.000,3.914,0.000,2.035
1969,0.152,0.000,2.482,0.000,2.387
1970,0.057,0.000,4.412,0.000,1.528
1971,0.110,0.000,2.212,0.016,2.000
1972,0.131,0.000,2.188,0.000,1.558
1973,0.040,0.000,4.982,0.000,1.205
1974,0.523,0.000,3.747,0.013,2.044
1975,0.077,0.000,3.592,0.000,1.076
1976,0.211,0.000,7.714,0.000,1.360
1977,0.027,0.000,4.955,0.000,0.480
1978,0.027,0.000,1.477,0.000,1.065
1979,0.044,0.000,5.422,0.000,1.661
1980,0.147,0.000,3.469,0.000,1.595
1981,0.040,0.000,1.562,0.000,1.094
1982,0.292,0.000,3.654,0.013,1.987
1983,0.420,0.000,2.646,0.013,1.606
1984,0.206,0.000,2.987,0.000,1.611
1985,0.174,0.000,2.270,0.000,1.528
1986,0.013,0.000,2.446,0.000,1.199
1987,0.027,0.000,3.094,0.000,1.471
1988,0.189,0.000,2.131,0.000,1.195
1989,0.027,0.000,1.965,0.000,1.291
1990,0.043,0.000,3.203,0.000,1.515
1991,0.013,0.000,1.199,0.000,0.149
1992,0.040,0.000,2.919,0.000,1.307
1993,0.013,0.000,1.091,0.000,0.581
1994,0.252,0.000,3.527,0.000,1.114
1995,0.027,0.000,3.018,0.000,1.342
1996,0.148,0.000,3.779,0.000,1.349
1997,0.107,0.000,2.076,0.000,1.441
1998,0.060,0.000,4.736,0.000,1.088
1999,0.013,0.000,1.844,0.000,0.983
2000,0.000,0.000,2.598,0.000,1.444
2001,0.212,0.000,1.922,0.000,1.028
2002,0.027,0.000,2.469,0.000,0.562
2003,0.054,0.000,2.344,0.000,0.937
2004,0.093,0.000,3.129,0.000,1.348
