year,median,min,max,p10,p90
1950,0.000,0.000,0.055,0.000,0.000
1951,0.000,0.000,0.105,0.000,0.000
1952,0.000,0.000,0.055,0.000,0.032
1953,0.000,0.000,0.221,0.000,0.016
1954,0.000,0.000,0.246,0.000,0.055
1955,0.000,0.000,0.282,0.000,0.029
1956,0.000,0.000,0.055,0.000,0.000
1957,0.000,0.000,0.000,0.000,0.000
1958,0.000,0.000,0.039,0.000,0.000
1959,0.000,0.000,0.094,0.000,0.000
1960,0.000,0.000,0.405,0.000,0.016
1961,0.000,0.000,0.013,0.000,0.000
1962,0.000,0.000,0.502,0.000,0.016
1963,0.000,0.000,0.000,0.000,0.000
1964,0.000,0.000,0.504,0.000,0.000
1965,0.000,0.000,0.092,0.000,0.055
1966,0.000,0.000,0.126,0.000,0.016
1967,0.000,0.000,0.262,0.000,0.016
1968,0.000,0.000,0.069,0.000,0.016
1969,0.000,0.000,0.110,0.000,0.084
1970,0.000,0.000,0.108,0.000,0.013
1971,0.000,0.000,0.069,0.000,0.000
1972,0.000,0.000,0.443,0.000,0.000
1973,0.000,0.000,0.139,0.000,0.016
1974,0.000,0.000,0.115,0.000,0.039
1975,0.000,0.000,0.190,0.000,0.013
1976,0.000,0.000,0.055,0.000,0.029
1977,0.000,0.000,0.039,0.000,0.000
1978,0.000,0.000,0.039,0.000,0.000
1979,0.000,0.000,0.053,0.000,0.000
1980,0.000,0.000,0.153,0.000,0.013
1981,0.000,0.000,0.016,0.000,0.000
1982,0.000,0.000,0.129,0.000,0.016
1983,0.000,0.000,0.202,0.000,0.016
1984,0.000,0.000,0.139,0.000,0.016
1985,0.000,0.000,0.520,0.000,0.084
1986,0.000,0.000,0.069,0.000,0.000
1987,0.000,0.000,0.129,0.000,0.039
1988,0.000,0.000,0.346,0.000,0.016
1989,0.000,0.000,0.239,0.000,0.000
1990,0.000,0.000,0.055,0.000,0.016
1991,0.000,0.000,0.053,0.000,0.000
1992,0.000,0.000,0.803,0.000,0.055
1993,0.000,0.000,0.039,0.000,0.000
1994,0.000,0.000,0.329,0.000,0.000
1995,0.000,0.000,0.147,0.000,0.055
1996,0.000,0.000,0.029,0.000,0.013
1997,0.000,0.000,0.071,0.000,0.000
1998,0.000,0.000,0.055,0.000,0.000
1999,0.000,0.000,0.013,0.000,0.000
2000,0.000,0.000,0.039,0.000,0.000
2001,0.000,0.000,0.147,0.000,0.092
2002,0.000,0.000,0.459,0.000,0.016
2003,0.000,0.000,0.032,0.000,0.000
2004,0.000,0.000,0.147,0.000,0.039
