year,median,min,max,p10,p90
1950,0.000,0.000,0.145,0.000,0.055
1951,0.000,0.000,0.732,0.000,0.098
1952,0.000,0.000,0.670,0.000,0.110
1953,0.000,0.000,0.854,0.000,0.100
1954,0.000,0.000,0.891,0.000,0.502
1955,0.000,0.000,0.941,0.000,0.211
1956,0.000,0.000,0.124,0.000,0.055
1957,0.000,0.000,0.129,0.000,0.032
1958,0.000,0.000,0.346,0.000,0.163
1959,0.000,0.000,0.423,0.000,0.039
1960,0.000,0.000,0.902,0.000,0.126
1961,0.000,0.000,0.626,0.000,0.095
1962,0.000,0.000,0.757,0.000,0.204
1963,0.000,0.000,0.483,0.000,0.084
1964,0.000,0.000,1.169,0.000,0.202
1965,0.013,0.000,0.616,0.000,0.114
1966,0.000,0.000,0.799,0.000,0.238
1967,0.016,0.000,0.899,0.000,0.234
1968,0.001,0.000,0.516,0.000,0.251
1969,0.000,0.000,0.452,0.000,0.311
1970,0.000,0.000,0.561,0.000,0.217
1971,0.000,0.000,0.683,0.000,0.071
1972,0.016,0.000,1.122,0.000,0.446
1973,0.016,0.000,0.697,0.000,0.255
1974,0.016,0.000,0.586,0.000,0.160
1975,0.000,0.000,1.038,0.000,0.248
1976,0.016,0.000,0.561,0.000,0.327
1977,0.000,0.000,0.197,0.000,0.153
1978,0.000,0.000,0.577,0.000,0.098
1979,0.000,0.000,0.719,0.000,0.190
1980,0.000,0.000,0.641,0.000,0.368
1981,0.000,0.000,0.316,0.000,0.085
1982,0.016,0.000,0.706,0.000,0.649
1983,0.000,0.000,0.858,0.000,0.323
1984,0.000,0.000,0.833,0.000,0.430
1985,0.000,0.000,0.974,0.000,0.810
1986,0.000,0.000,0.404,0.000,0.176
1987,0.055,0.000,0.762,0.000,0.272
1988,0.039,0.000,1.280,0.000,0.357
1989,0.016,0.000,0.749,0.000,0.106
1990,0.000,0.000,0.575,0.000,0.406
1991,0.000,0.000,0.716,0.000,0.268
1992,0.016,0.000,1.345,0.000,0.220
1993,0.000,0.000,0.310,0.000,0.055
1994,0.000,0.000,0.753,0.000,0.176
1995,0.000,0.000,0.618,0.000,0.367
1996,0.016,0.000,0.549,0.000,0.147
1997,0.016,0.000,0.550,0.000,0.164
1998,0.016,0.000,0.235,0.000,0.175
1999,0.000,0.000,0.353,0.000,0.069
2000,0.000,0.000,0.201,0.000,0.071
2001,0.000,0.000,0.803,0.000,0.443
2002,0.029,0.000,1.055,0.000,0.400
2003,0.000,0.000,0.500,0.000,0.381
2004,0.039,0.000,0.674,0.000,0.307
