year,median,min,max,p10,p90
1950,0.865,0.003,3.140,0.007,2.110
1951,1.020,0.007,5.883,0.010,3.186
1952,0.518,0.000,4.464,0.003,3.165
1953,1.717,0.000,4.829,0.265,3.421
1954,0.429,0.000,4.257,0.010,2.973
1955,0.650,0.000,3.492,0.007,2.305
1956,0.276,0.000,4.884,0.003,3.223
1957,0.944,0.000,9.831,0.000,3.280
1958,0.510,0.000,11.939,0.003,4.288
1959,0.409,0.000,11.436,0.003,2.618
1960,0.556,0.000,7.468,0.000,1.875
1961,0.904,0.000,9.069,0.007,3.886
1962,0.732,0.000,7.860,0.048,3.352
1963,0.750,0.003,9.425,0.003,2.002
1964,0.504,0.000,8.754,0.003,7.643
1965,0.201,0.000,6.542,0.000,2.332
1966,0.398,0.000,5.273,0.003,2.646
1967,0.483,0.000,5.502,0.007,3.870
1968,0.850,0.000,6.124,0.007,2.093
1969,0.140,0.000,3.711,0.003,1.871
1970,0.826,0.003,4.908,0.014,2.720
1971,0.513,0.000,8.416,0.003,4.478
1972,0.435,0.000,1.288,0.000,1.080
1973,0.559,0.007,4.918,0.017,1.382
1974,0.600,0.000,6.068,0.003,5.486
1975,0.773,0.000,7.511,0.003,2.018
1976,0.368,0.000,3.536,0.000,2.764
1977,0.951,0.000,5.066,0.011,3.595
1978,0.865,0.000,6.795,0.000,3.898
1979,1.324,0.000,7.603,0.007,4.912
1980,0.333,0.003,4.688,0.007,2.168
1981,1.865,0.003,7.388,0.164,5.233
1982,0.385,0.003,3.188,0.010,2.999
1983,0.201,0.000,4.424,0.007,1.290
1984,0.119,0.000,5.597,0.000,4.717
1985,0.882,0.003,3.250,0.031,1.695
1986,1.020,0.010,9.315,0.398,5.471
1987,1.059,0.000,10.617,0.007,8.254
1988,0.296,0.007,11.917,0.010,3.386
1989,1.154,0.000,9.483,0.017,5.149
1990,1.554,0.003,15.193,0.078,5.201
1991,1.742,0.003,7.254,0.102,5.782
1992,0.133,0.000,4.746,0.007,1.632
1993,0.538,0.010,6.584,0.211,2.292
1994,1.211,0.086,13.505,0.123,7.648
1995,0.897,0.003,8.604,0.017,4.567
1996,0.909,0.003,9.390,0.007,3.547
1997,2.069,0.003,14.132,1.148,4.397
1998,0.814,0.000,11.096,0.010,4.877
1999,2.883,0.027,9.488,1.585,6.343
2000,2.866,0.214,20.289,0.641,13.036
2001,2.689,0.000,9.918,0.296,6.705
2002,2.052,0.014,10.466,0.038,6.153
2003,3.336,0.371,12.690,0.504,9.245
2004,4.644,0.007,18.724,0.293,13.439
