year,BCCA_0-125deg_pr_day_ACCESS1-0_historical_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_historical_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_historical_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_historical_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_historical_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_historical_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_historical_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_historical_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_historical_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_historical_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_historical_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_historical_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_historical_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_historical_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_historical_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_historical_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_historical_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_historical_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_historical_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_historical_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_historical_r1i1p1
1960,3.7557833,4.079106,4.0069056,3.2709684,4.507669,3.2650654,3.774972,4.35312,2.9003954,3.6063824,4.3408437,4.0338182,3.8416307,3.7107687,3.3768742,3.3609664,3.0091248,3.3433688,3.7663264,3.0234768,3.7596257
1961,3.4178987,2.7065346,4.2895555,3.7418983,2.7916603,2.8144686,3.7073922,3.35937,3.47789,4.3771057,3.5656667,2.5095925,3.7678027,2.9363053,3.2268622,4.041511,3.1338186,3.3907125,2.8624947,3.0162883,2.5874856
1962,3.5490587,3.52762,3.639281,3.260948,4.3154497,2.5424933,3.1656594,4.2438726,3.924243,2.6153255,3.3777566,2.2881343,3.6201015,3.7723808,2.7350366,3.5892441,3.8984742,3.2298646,3.3799202,4.0627418,3.813159
1963,3.0605245,3.5216935,3.569735,2.8313444,4.112207,3.6766143,2.731689,3.7886734,3.2395933,3.0079005,3.5540278,2.6099482,4.3076324,4.1404757,2.301245,4.3839025,2.9049356,3.8072548,3.1132295,3.2651002,3.3995597
1964,3.121698,3.149794,3.1266205,3.8368673,3.6663888,3.9911027,3.7946885,3.423602,3.702089,2.7276893,3.4942803,3.5459065,3.0117872,3.285406,3.0821462,4.8247757,2.7949283,3.488037,3.4824312,3.2811081,3.301577
1965,3.40458,3.233622,3.7921805,3.501605,2.310338,3.612617,3.9442759,3.8054225,3.8103821,3.9417846,3.4474275,4.4158115,3.4584074,3.7774968,4.665228,3.4615586,2.7319117,4.041101,3.6401298,2.9194329,3.402547
1966,3.5685906,3.2047594,3.4789412,3.1391194,3.4295585,3.644002,3.4713483,2.5505867,3.6171434,3.7687392,3.3809774,3.3784597,3.337921,3.3949447,3.8226318,2.986077,3.3923438,3.6602128,4.1547475,3.7862856,3.700693
1967,2.5225601,2.698937,3.4350538,3.023913,3.7727523,2.8302178,3.201015,2.958612,2.919355,2.783008,3.6173348,3.5051863,3.392479,3.2380104,3.123072,2.9401479,3.042567,3.8034883,3.249883,3.935834,3.9124117
1968,4.368621,3.206717,3.6897159,3.1109848,3.2473807,4.32028,3.4579253,4.1096573,3.471965,2.8999977,2.954022,3.5541027,3.956787,3.5964265,2.9616075,3.1627994,3.8704736,3.6172209,3.2998948,2.995653,2.6533785
1969,3.485116,2.8995829,2.7740958,4.561123,3.3092713,3.2795346,2.6208432,3.3121552,2.926963,3.7174735,3.6059823,3.9649808,4.0132008,3.827764,3.3498843,3.1278307,3.387639,3.871984,3.1655953,3.3562522,4.9650245
1970,3.0545003,3.1214147,4.450918,3.9568696,2.8166957,3.6150763,3.6354609,3.3888423,3.274515,3.6501331,3.8288844,3.7908907,3.9773252,2.7563007,3.4000843,3.6302035,4.3291883,3.565546,2.713201,3.2583418,2.9189274
1971,3.3828201,3.5319088,3.1512372,3.458454,3.398284,2.829706,2.3556392,2.6654007,2.7928238,2.8046596,2.8460991,3.3411953,3.4585693,3.6433072,4.094169,3.5073812,3.8142424,3.9258945,3.0019603,3.636915,2.6262305
1972,2.5317993,4.2975197,3.4988275,3.3612201,3.2575984,3.6524642,2.813935,3.6304202,3.4377644,3.685273,3.5220916,4.50802,2.8143258,3.4763086,3.4067037,3.7576964,3.8482978,3.1573656,3.3708522,3.1915507,3.4665952
1973,3.2938783,3.5333867,3.3706405,3.5322347,3.1742952,3.2269347,2.9429152,3.9188507,3.0637577,4.2065477,2.7611594,2.8625531,3.3758435,2.7147005,3.3909526,3.7497754,3.1932456,3.4040122,4.081931,3.1216834,4.3200574
1974,3.1065571,3.5018325,3.3737845,3.2020245,4.1628256,3.7168617,4.4825892,3.3558726,3.7201867,3.6118917,2.7794993,3.3091047,3.1166096,4.1639085,3.4525242,3.6595135,3.504572,2.9219365,3.6263494,2.434853,3.904213
1975,3.7660925,4.050368,3.9390273,3.8808336,3.3984764,4.031243,3.245951,4.1072917,4.599666,2.6512616,3.9349897,2.9158144,3.3862185,3.4924445,3.949646,2.725134,3.7675648,3.5152466,4.2806997,3.2415805,3.2893004
1976,3.28865,3.7235267,3.3676362,3.30993,3.5567737,4.421903,3.896878,2.5306063,2.849697,3.4366655,3.8084226,4.5022993,3.7115948,3.5734901,4.209323,3.1336365,3.4520106,3.573329,3.2255068,3.1465232,3.3589094
1977,3.7689533,3.1226397,3.111379,3.3900332,2.788806,3.4159417,4.588152,2.8779655,3.3827474,2.794907,4.159521,3.5695884,3.7163048,3.0421658,2.8367565,3.1972115,3.4233837,2.928663,2.6968539,3.9348757,3.166646
1978,3.7936025,3.1981053,3.7334063,3.7507174,3.1570158,2.8969436,3.5557156,4.075507,3.448548,3.0069754,3.6040084,3.0522776,4.5277443,4.039748,3.3886416,2.8864427,3.3345578,3.2408671,3.6652868,3.568249,3.3638258
1979,2.933803,3.4856215,3.3356571,2.98212,3.4210038,3.2985404,2.5037336,3.2560203,3.07905,3.154435,2.551241,3.2128897,4.3107247,3.9075725,3.3401427,3.5431366,3.1832945,3.362287,3.6777887,4.45475,3.5789027
1980,3.9631932,3.9532874,3.5688334,3.9821465,3.7642019,3.3672698,2.4339688,4.00446,3.7543612,4.039769,3.333305,3.5044467,3.6396222,2.8063843,2.9453926,3.1186237,3.4749718,2.861044,3.1041994,2.4804363,3.1575842
1981,3.4813461,2.6342447,2.938985,4.1368766,2.7974198,3.1138825,3.0444672,3.4802518,3.531119,3.2944,3.0635297,3.6839523,3.6448252,3.4960494,3.0029943,3.7730849,3.4228778,3.7551649,3.01637,3.9222186,2.4515529
1982,3.2329926,3.437846,3.7782347,4.216756,3.0147805,3.2863955,4.267272,3.1799932,2.51027,3.6550481,3.412037,3.6248462,3.146752,3.7152817,3.8510413,3.2116842,3.1032794,4.3185167,3.1465316,3.1981604,4.238618
1983,2.7166388,4.0767426,3.3446367,3.38284,4.168372,4.9699984,3.097867,3.3532014,2.1334093,3.7370028,3.7673652,5.08917,3.4210062,4.0474296,3.223976,2.7997797,3.3133307,3.3964415,3.7858586,3.6002688,4.138855
1984,2.8856494,4.3505197,3.4239824,3.3095376,2.898959,3.5496182,4.0143266,3.5620258,3.6501648,4.0528064,2.9014196,3.6084225,3.1131995,3.3277366,3.3661902,3.2200072,3.0657604,3.792127,3.63423,3.6456296,4.409679
1985,3.0226474,3.48981,3.1482635,4.106501,3.2937486,3.5060627,4.034124,3.8735979,3.8095975,2.7569466,3.2403173,4.0723605,3.0113645,3.9053462,3.964383,3.4166696,3.535515,3.762451,2.758294,2.7576141,3.3012972
1986,3.6621115,4.2023873,3.9745579,3.731365,3.1101334,2.815715,3.1988366,2.7138975,3.1864853,3.8436182,3.8240118,3.1296477,3.4365268,3.7168682,4.596384,2.8390512,3.6951802,2.8554034,3.1204455,3.2234282,4.874288
1987,4.6172137,3.8954837,3.4554496,3.3573933,4.104599,3.0234692,3.4776406,3.8579137,3.3273442,4.612014,3.5590599,3.928494,3.713309,3.9462297,3.4155529,3.8923056,2.9755723,3.0087175,3.1727717,2.7005339,3.048446
1988,3.8397088,3.3244004,2.2100146,3.4072824,3.435133,3.6869047,3.882057,3.5717545,3.1430755,4.165844,3.4782348,3.3904831,3.6297727,2.9155064,3.0625737,4.064029,3.496895,4.0111704,3.294683,4.392757,3.3808398
1989,4.7539864,3.4942598,3.4027991,3.7907424,3.1655512,4.310682,3.7117076,3.5190747,3.8584864,3.6407585,4.052174,2.8736444,3.6139586,3.3830366,3.627298,3.7140415,3.331879,3.7737737,3.7279072,3.9841337,3.1282542
1990,3.8746572,3.8657453,3.8165846,3.2640672,3.3222785,3.5515313,3.694813,2.921383,3.5473797,3.5635605,3.457567,3.7673118,4.0159245,3.530914,4.0491405,4.7556233,3.5692146,3.0087874,3.9235477,3.0128987,3.255717
1991,3.3072836,3.10016,3.0400665,3.224655,3.144383,2.999181,3.584959,3.4119794,3.4074566,3.297985,2.72985,3.261532,3.247107,3.500687,4.2596674,3.9485676,3.953695,4.112292,3.1075218,3.2382379,3.0944488
1992,3.9868848,3.4944406,3.9351368,2.8571613,3.275366,3.244156,4.178055,3.4288547,3.7466428,4.434044,3.4341986,3.5678325,3.811773,2.9747322,3.9163096,2.2173197,3.5457325,3.6652536,2.9813082,3.7746902,3.4022725
1993,2.7442753,3.3790977,3.9011278,3.7258093,3.346254,2.7208204,3.9666023,2.515555,3.1430671,3.0780642,3.926189,3.4049516,3.5614412,3.6457465,3.6519067,3.3513088,3.9009202,3.6554027,3.548983,3.208128,3.8226578
