year,ACCESS1-0_historical_r1i1p1-days_prcp_abv,bcc-csm1-1_historical_r1i1p1-days_prcp_abv,BNU-ESM_historical_r1i1p1-days_prcp_abv,CanESM2_historical_r1i1p1-days_prcp_abv,CCSM4_historical_r1i1p1-days_prcp_abv,CESM1-BGC_historical_r1i1p1-days_prcp_abv,CNRM-CM5_historical_r1i1p1-days_prcp_abv,CSIRO-Mk3-6-0_historical_r1i1p1-days_prcp_abv,GFDL-CM3_historical_r1i1p1-days_prcp_abv,GFDL-ESM2G_historical_r1i1p1-days_prcp_abv,GFDL-ESM2M_historical_r1i1p1-days_prcp_abv,inmcm4_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_historical_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_historical_r1i1p1-days_prcp_abv,MIROC-ESM_historical_r1i1p1-days_prcp_abv,MIROC5_historical_r1i1p1-days_prcp_abv,MPI-ESM-LR_historical_r1i1p1-days_prcp_abv,MPI-ESM-MR_historical_r1i1p1-days_prcp_abv,MRI-CGCM3_historical_r1i1p1-days_prcp_abv,NorESM1-M_historical_r1i1p1-days_prcp_abv
1950,0.01580128,0.039256636,0.0,0.0,0.0,0.055057917,0.0,0.01580128,0.0,0.0,0.0,0.14521739,0.0,0.0,0.097868145,0.0,0.025901103,0.0,0.0,0.0,0.0
1951,0.0,0.0,0.0,0.0,0.097868145,0.0,0.31563726,0.0,0.055057917,0.0,0.7317972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.013487731,0.055057917,0.42103767,0.0,0.0,0.6703149,0.0,0.029322492,0.0,0.013487731,0.11011583,0.0,0.0,0.0,0.07019015,0.0,0.0,0.039256636,0.10542783
1953,0.8543621,0.0,0.0,0.10774138,0.10018169,0.055057917,0.0,0.0,0.0,0.0,0.055057917,0.0,0.0,0.0,0.09431455,0.0,0.0,0.0708592,0.0,0.0,0.0
1954,0.01580128,0.2213562,0.5023757,0.0,0.0,0.0,0.0,0.0,0.31415972,0.0,0.029289013,0.0,0.10009361,0.891065,0.01580128,0.0,0.0,0.0,0.0,0.61822885,0.06854565
1955,0.0,0.0,0.18447402,0.0,0.0,0.0,0.0,0.0,0.16883363,0.21148296,0.0,0.9410992,0.0,0.0,0.0,0.0,0.0,0.5197904,0.0,0.0,0.1299453
1956,0.0,0.055057917,0.0,0.01580128,0.0,0.0,0.0,0.0,0.0,0.12363279,0.039256636,0.01580128,0.0,0.0,0.01580128,0.0,0.03160256,0.0,0.055057917,0.0,0.01580128
1957,0.12941611,0.03160256,0.01580128,0.0,0.0,0.0,0.0,0.01580128,0.0,0.01580128,0.0,0.0,0.0,0.0,0.055057917,0.0,0.0,0.0,0.013487731,0.0,0.0
1958,0.0,0.0,0.3458444,0.1627993,0.0,0.0,0.0,0.12360357,0.0,0.013487731,0.0,0.01580128,0.0,0.23893811,0.0,0.06854565,0.08012429,0.055057917,0.039256636,0.0,0.0
1959,0.0,0.06854565,0.0,0.0,0.0,0.42321098,0.0,0.0,0.0,0.0,0.0,0.01580128,0.0,0.0,0.0,0.029322492,0.0,0.0,0.01580128,0.039256636,0.0
