year,ACCESS1-0_historical_r1i1p1-cooling_degree_day,bcc-csm1-1_historical_r1i1p1-cooling_degree_day,BNU-ESM_historical_r1i1p1-cooling_degree_day,CanESM2_historical_r1i1p1-cooling_degree_day,CCSM4_historical_r1i1p1-cooling_degree_day,CESM1-BGC_historical_r1i1p1-cooling_degree_day,CNRM-CM5_historical_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-cooling_degree_day,GFDL-CM3_historical_r1i1p1-cooling_degree_day,GFDL-ESM2G_historical_r1i1p1-cooling_degree_day,GFDL-ESM2M_historical_r1i1p1-cooling_degree_day,inmcm4_historical_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_historical_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_historical_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-cooling_degree_day,MIROC-ESM_historical_r1i1p1-cooling_degree_day,MIROC5_historical_r1i1p1-cooling_degree_day,MPI-ESM-LR_historical_r1i1p1-cooling_degree_day,MPI-ESM-MR_historical_r1i1p1-cooling_degree_day,MRI-CGCM3_historical_r1i1p1-cooling_degree_day,NorESM1-M_historical_r1i1p1-cooling_degree_day
1974,224.44354,392.22217,315.3968,276.99875,381.39084,336.84506,370.79037,256.35626,290.72787,262.5392,303.30298,321.2012,354.25604,354.59573,345.7113,278.38126,239.92564,328.86978,425.3534,378.2828,350.4264
1975,291.10394,325.73376,374.28452,293.03848,230.06517,273.42816,286.57877,321.82837,265.69727,241.62276,308.27307,438.57776,392.99344,314.17062,293.9878,326.48334,328.96088,320.14594,344.9887,296.90317,252.9692
1976,332.18405,293.74353,222.82858,318.2321,255.58234,282.52878,272.6862,233.12688,411.10358,276.6936,377.86124,360.61884,238.25554,246.616,259.6735,247.44974,302.5104,398.38275,288.98154,320.00696,332.5584
1977,240.72754,326.54633,291.69345,251.40958,355.612,324.85013,344.8632,320.54346,302.19788,338.14133,452.04642,280.27713,294.538,263.94064,325.5206,291.80603,397.99002,372.1737,383.71146,365.20264,251.30856
1978,346.83548,256.88574,250.92506,357.7059,328.77026,348.35278,419.0175,315.90482,294.76923,286.0821,334.76385,338.80432,260.34842,275.5301,300.7552,294.96323,276.72324,406.05856,269.47684,377.85904,303.66803
1979,344.68185,181.80037,254.58029,303.87543,257.89813,245.45567,291.77838,302.40387,273.6729,399.80557,348.4262,321.39178,310.956,343.60977,327.82272,273.17868,317.6098,370.1994,367.6262,313.85754,438.4551
1980,292.01956,416.87015,331.995,258.5631,300.74628,263.95142,293.94098,348.98642,314.36072,385.67215,298.1105,364.34125,304.12015,386.67694,326.30765,336.31125,307.82114,302.3589,386.7655,326.09848,307.2111
1981,425.69492,350.01752,376.921,342.94128,383.90118,365.88943,422.62085,299.8959,332.42566,254.55852,431.00925,382.38608,325.96683,267.8203,274.55594,340.0901,376.92108,315.82938,252.53668,361.77396,321.28043
1982,316.49088,298.47455,310.9187,288.92233,261.65625,329.22833,316.04782,323.56332,288.3844,307.61835,364.0716,294.11542,258.8287,319.47318,328.30667,310.3806,279.10132,317.30484,346.57266,309.4569,380.55038
1983,289.63452,289.1092,277.82794,325.21228,293.09094,276.48544,291.58215,250.69931,231.03139,339.88943,300.28134,299.865,272.34335,192.32454,243.40216,242.1095,286.14886,253.41515,307.75174,344.9702,316.74243
1984,299.6579,311.71124,307.98843,265.34564,228.0603,415.62964,397.8782,333.91245,273.97116,318.0852,235.39589,308.9464,242.09512,272.18152,294.519,213.16463,286.1149,339.4876,408.3701,271.67474,313.84808
1985,232.20934,365.94003,378.62973,229.53806,343.9761,275.40094,309.42532,285.14325,304.27652,367.09238,371.93884,315.97424,311.5133,257.54782,344.53424,262.57538,278.59106,309.25458,310.29932,394.97363,338.68082
1986,357.80307,429.65906,400.72574,400.66367,332.04642,282.0639,303.52997,312.98767,382.94788,395.32715,342.5995,363.60846,371.97415,427.60797,356.62625,290.08636,322.86057,337.68835,297.56326,338.93674,279.7906
1987,264.17096,402.9699,312.0185,342.57965,336.97452,358.61313,269.18933,339.15146,281.33978,365.91873,286.34198,386.62897,356.86624,422.84586,311.90442,261.60922,318.32303,317.9395,439.6612,280.15884,372.49026
1988,319.27914,278.97412,380.05032,311.90277,321.88382,321.46854,367.35785,238.93411,241.8556,368.7389,316.6759,339.93283,541.6341,313.40594,305.60715,354.62277,295.8204,307.57852,342.6409,287.78247,330.316
1989,306.6226,323.524,318.96588,344.57236,462.92892,360.49344,316.59692,310.93292,299.37003,306.1095,342.9295,405.41415,472.79556,431.851,339.96536,346.60083,380.89584,406.17346,296.53125,304.44843,371.49707
1990,358.38425,365.32178,425.34555,354.90723,371.2275,355.82162,285.6615,388.79895,527.6802,287.30777,325.84064,353.48904,387.92175,376.589,267.50238,332.65167,283.14526,377.682,372.1185,316.2542,439.34244
