year,ACCESS1-0_historical_r1i1p1-growing_season_lngth,bcc-csm1-1_historical_r1i1p1-growing_season_lngth,BNU-ESM_historical_r1i1p1-growing_season_lngth,CanESM2_historical_r1i1p1-growing_season_lngth,CCSM4_historical_r1i1p1-growing_season_lngth,CESM1-BGC_historical_r1i1p1-growing_season_lngth,CNRM-CM5_historical_r1i1p1-growing_season_lngth,CSIRO-Mk3-6-0_historical_r1i1p1-growing_season_lngth,GFDL-CM3_historical_r1i1p1-growing_season_lngth,GFDL-ESM2G_historical_r1i1p1-growing_season_lngth,GFDL-ESM2M_historical_r1i1p1-growing_season_lngth,inmcm4_historical_r1i1p1-growing_season_lngth,IPSL-CM5A-LR_historical_r1i1p1-growing_season_lngth,IPSL-CM5A-MR_historical_r1i1p1-growing_season_lngth,MIROC-ESM-CHEM_historical_r1i1p1-growing_season_lngth,MIROC-ESM_historical_r1i1p1-growing_season_lngth,MIROC5_historical_r1i1p1-growing_season_lngth,MPI-ESM-LR_historical_r1i1p1-growing_season_lngth,MPI-ESM-MR_historical_r1i1p1-growing_season_lngth,MRI-CGCM3_historical_r1i1p1-growing_season_lngth,NorESM1-M_historical_r1i1p1-growing_season_lngth
1974,359.08282,348.5579,354.33557,348.7824,349.86633,343.76257,303.7455,308.50388,348.8026,340.65173,354.25955,335.51636,318.2208,342.74078,342.9151,350.94806,340.4248,330.76416,333.0805,364.00342,333.84152
1975,339.54996,349.85602,335.082,353.24698,343.87323,364.4335,357.27225,358.71634,365.0,318.85947,356.88736,364.15573,325.83896,347.9842,334.83096,350.17667,314.79813,339.04327,323.88324,365.0,360.96454
1976,354.87692,344.19373,346.18506,361.9619,324.7705,365.0395,292.47226,306.25452,362.0481,365.19092,345.05957,350.87024,335.02832,339.18588,364.42816,347.65317,356.1448,364.5669,337.44153,356.94073,365.44623
1977,342.6741,356.3683,337.33615,306.2871,337.60056,364.24265,333.47632,292.03348,330.65372,338.28085,339.21283,336.43542,316.1495,340.02197,359.1501,344.72586,311.49258,355.9132,364.71298,329.92685,331.11963
1978,340.3215,358.56067,341.02924,361.86188,360.72366,323.80435,335.86505,365.0,346.16876,343.90753,352.95898,341.5215,347.80493,338.49835,360.62766,340.98224,364.35214,350.8518,364.50095,360.77948,344.70102
1979,345.88632,365.0,331.30786,336.7894,361.82864,359.39618,310.4564,330.21323,363.9048,362.27014,355.88205,354.57306,344.28088,336.72058,320.14462,362.63245,336.21985,365.0,345.9091,336.85367,364.7957
1980,344.42963,357.2112,315.6198,315.93777,357.27737,362.43756,346.7485,348.77393,336.38385,356.5883,344.16638,337.81628,321.15933,353.0854,366.0,354.16464,365.75308,317.99985,344.9503,323.34735,365.687
1981,347.01404,362.90244,337.39383,356.1105,336.6904,321.32538,363.54898,331.06866,347.41525,296.4096,342.77036,358.8162,351.35907,362.73633,352.8314,344.49823,338.8576,363.24112,354.09552,331.11075,338.34702
1982,358.40445,342.43448,332.25955,355.60785,353.38608,348.01367,355.18774,344.58667,340.49304,345.5903,337.07257,328.94934,346.8651,326.90732,324.0854,306.72437,349.47498,337.70547,332.86783,355.35596,364.97302
1983,318.4123,345.81464,365.0,363.66608,344.2772,355.75577,349.35358,348.9741,345.99838,334.65347,347.6723,335.42596,358.80948,364.51184,327.64795,356.7204,340.58337,337.72964,365.0,350.99234,332.20175
