year,ACCESS1-0_historical_r1i1p1-longest_run_prcp_blw,bcc-csm1-1_historical_r1i1p1-longest_run_prcp_blw,BNU-ESM_historical_r1i1p1-longest_run_prcp_blw,CanESM2_historical_r1i1p1-longest_run_prcp_blw,CCSM4_historical_r1i1p1-longest_run_prcp_blw,CESM1-BGC_historical_r1i1p1-longest_run_prcp_blw,CNRM-CM5_historical_r1i1p1-longest_run_prcp_blw,CSIRO-Mk3-6-0_historical_r1i1p1-longest_run_prcp_blw,GFDL-CM3_historical_r1i1p1-longest_run_prcp_blw,GFDL-ESM2G_historical_r1i1p1-longest_run_prcp_blw,GFDL-ESM2M_historical_r1i1p1-longest_run_prcp_blw,inmcm4_historical_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-LR_historical_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-MR_historical_r1i1p1-longest_run_prcp_blw,MIROC-ESM-CHEM_historical_r1i1p1-longest_run_prcp_blw,MIROC-ESM_historical_r1i1p1-longest_run_prcp_blw,MIROC5_historical_r1i1p1-longest_run_prcp_blw,MPI-ESM-LR_historical_r1i1p1-longest_run_prcp_blw,MPI-ESM-MR_historical_r1i1p1-longest_run_prcp_blw,MRI-CGCM3_historical_r1i1p1-longest_run_prcp_blw,NorESM1-M_historical_r1i1p1-longest_run_prcp_blw
1982,365.0,365.0,365.0,359.21893,365.0,327.70288,363.24606,362.3698,365.0,365.0,305.21283,359.24854,360.21848,361.4763,365.0,309.18127,365.0,365.0,311.76477,281.9995,365.0
1983,365.0,351.5781,363.2727,365.0,365.0,365.0,321.67697,364.27167,365.0,363.89392,363.83072,345.9087,365.0,327.02148,365.0,365.0,365.0,365.0,362.8375,365.0,361.25186
1984,366.0,302.13638,365.61438,359.2071,363.4123,366.0,365.44696,365.39954,359.75616,366.0,366.0,364.27878,366.0,366.0,366.0,286.0451,366.0,366.0,366.0,366.0,366.0
1985,365.0,311.5333,302.28644,365.0,365.0,363.42374,362.25204,365.0,358.98148,271.2324,363.6569,365.0,365.0,365.0,365.0,320.07834,349.8583,365.0,365.0,365.0,365.0
1986,365.0,362.97745,358.84024,362.52682,365.0,339.948,365.0,365.0,365.0,365.0,365.0,360.65042,365.0,347.36838,365.0,365.0,365.0,365.0,322.81494,365.0,356.32712
1987,354.05573,365.0,355.33505,355.89105,359.87518,341.30783,363.48114,365.0,365.0,307.09576,359.98972,365.0,343.3442,348.19568,363.2932,364.02887,365.0,365.0,365.0,365.0,363.2067
1988,341.78305,268.05374,363.48758,359.96603,366.0,366.0,363.79767,366.0,340.24664,366.0,358.82767,328.53818,366.0,365.25735,365.13635,366.0,361.8156,366.0,308.65228,366.0,366.0
1989,365.0,363.35666,364.13678,365.0,304.31192,365.0,365.0,363.51468,363.6885,361.71964,365.0,365.0,361.96048,365.0,364.02887,365.0,357.2553,364.9842,362.77203,363.50165,356.5933
1990,365.0,363.43567,365.0,359.99127,356.40918,363.02484,365.0,365.0,333.9429,365.0,318.96527,333.35028,365.0,365.0,365.0,365.0,357.07166,357.44516,365.0,365.0,362.74338
1991,365.0,365.0,365.0,331.63422,365.0,363.75015,365.0,365.0,309.14545,340.5883,361.98325,365.0,360.59537,365.0,360.74838,365.0,359.85507,365.0,363.7726,365.0,365.0
1992,366.0,366.0,327.6664,366.0,361.33856,366.0,348.72635,364.51343,359.214,349.58508,362.30988,365.00452,366.0,366.0,259.6175,366.0,363.46735,366.0,366.0,364.35666,364.48306
1993,365.0,365.0,365.0,361.30988,357.56717,365.0,365.0,365.0,365.0,365.0,351.58286,364.14673,365.0,360.59537,365.0,363.70587,365.0,365.0,365.0,365.0,363.7675
1994,361.4763,365.0,365.0,365.0,365.0,365.0,310.93875,365.0,365.0,365.0,365.0,364.64853,292.84775,355.30167,361.71588,365.0,365.0,365.0,351.5803,365.0,365.0
1995,365.0,359.37924,365.0,334.86877,340.04788,318.79218,320.6889,365.0,365.0,359.722,359.65616,365.0,364.2292,365.0,365.0,365.0,365.0,365.0,362.4123,365.0,361.65012
1996,310.22668,308.87488,366.0,365.52893,366.0,358.74045,363.7246,366.0,366.0,366.0,366.0,362.31607,366.0,366.0,365.30475,366.0,364.58493,357.0436,357.47412,359.0467,365.83484
1997,348.83023,354.1008,365.0,365.0,363.24606,365.0,365.0,365.0,357.64484,365.0,364.76447,364.39954,325.25842,365.0,365.0,363.83072,365.0,364.00897,362.68387,361.68704,361.62634
1998,360.92572,362.65253,361.8987,365.0,356.71158,365.0,365.0,365.0,365.0,365.0,363.30927,350.08954,343.64487,360.48526,365.0,352.77573,365.0,364.06772,364.84198,363.40408,340.04837
1999,365.0,362.95865,350.1452,365.0,365.0,365.0,365.0,365.0,363.8149,359.4451,365.0,339.94067,365.0,358.7234,365.0,365.0,365.0,365.0,364.8736,365.0,361.63177
2000,366.0,366.0,359.41962,366.0,362.57162,366.0,366.0,366.0,351.71765,366.0,363.40906,366.0,364.90274,366.0,366.0,366.0,366.0,366.0,362.45557,366.0,358.24136
2001,365.0,341.20853,365.0,358.88858,365.0,365.0,365.0,365.0,364.0519,326.61264,365.0,355.2366,365.0,365.0,358.4703,365.0,365.0,275.3212,363.74896,295.11618,356.97482
2002,365.0,281.07852,365.0,365.0,334.181,365.0,365.0,365.0,362.15613,357.1943,360.59094,365.0,307.45245,365.0,359.56976,345.7417,363.89883,364.7946,365.0,349.70074,358.49393
2003,365.0,365.0,353.53915,365.0,362.99792,365.0,360.73856,363.56207,365.0,365.0,365.0,365.0,340.215,365.0,338.00204,332.25305,365.0,363.70517,365.0,363.6727,365.0
2004,360.85907,335.65634,363.48758,342.9887,362.6279,366.0,314.47147,366.0,364.86703,354.05243,361.94785,366.0,362.70245,366.0,364.22916,366.0,364.71866,364.07257,358.95258,366.0,365.447
