year,ACCESS1-0_historical_r1i1p1-heating_degree_day,bcc-csm1-1_historical_r1i1p1-heating_degree_day,BNU-ESM_historical_r1i1p1-heating_degree_day,CanESM2_historical_r1i1p1-heating_degree_day,CCSM4_historical_r1i1p1-heating_degree_day,CESM1-BGC_historical_r1i1p1-heating_degree_day,CNRM-CM5_historical_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-heating_degree_day,GFDL-CM3_historical_r1i1p1-heating_degree_day,GFDL-ESM2G_historical_r1i1p1-heating_degree_day,GFDL-ESM2M_historical_r1i1p1-heating_degree_day,inmcm4_historical_r1i1p1-heating_degree_day,IPSL-CM5A-LR_historical_r1i1p1-heating_degree_day,IPSL-CM5A-MR_historical_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-heating_degree_day,MIROC-ESM_historical_r1i1p1-heating_degree_day,MIROC5_historical_r1i1p1-heating_degree_day,MPI-ESM-LR_historical_r1i1p1-heating_degree_day,MPI-ESM-MR_historical_r1i1p1-heating_degree_day,MRI-CGCM3_historical_r1i1p1-heating_degree_day,NorESM1-M_historical_r1i1p1-heating_degree_day
1971,2802.358,2460.978,2788.917,2645.51,2630.3975,2658.5605,2893.0635,2707.0374,2694.3755,2523.979,2744.6965,2817.5083,2734.6377,2475.9888,2787.405,2321.164,2785.3652,2655.28,2921.7222,2878.0195,2965.4402
1972,2610.8774,2524.7068,2640.8538,2681.5498,2591.9714,2819.1885,2577.3425,2703.4368,2643.245,2585.2861,2811.1199,2622.196,2397.4158,2582.185,2679.0212,2733.6309,2300.2056,2722.0823,2635.8252,2595.276,2372.8816
1973,2519.8572,2479.4077,2216.435,2914.8389,2568.242,2507.6082,2607.9487,2627.3887,2557.9016,2681.9556,2991.3188,2460.9182,2614.1958,2842.675,2398.2239,2288.309,2534.7993,2675.5125,2552.493,2558.3396,2742.9006
1974,2335.7551,2825.6235,2771.477,2642.4746,1995.9307,2235.8262,2756.517,3111.5752,2798.3745,2702.468,2685.3945,2679.0618,2757.8723,2691.7808,2766.4236,2382.0637,2813.7383,2670.634,2826.2383,2552.4236,2604.2227
1975,2727.7664,2718.559,2636.244,2616.7676,2288.5134,2439.9114,2251.0635,2667.2302,2701.7278,2610.8372,2554.032,2184.5806,2921.119,2742.2722,2981.123,2852.7527,3032.6116,2682.7473,3089.2942,2565.6284,2533.1438
1976,2682.131,3075.0144,2091.682,2496.3286,2729.2786,2234.4268,3000.0225,2923.625,2611.6152,2710.4868,2183.3352,2856.6833,2489.3462,2832.8904,2609.8286,2801.8372,2936.5034,2399.2625,2930.9766,2697.3596,2797.8923
1977,2921.2146,2627.9622,2427.2678,2681.3726,2601.8013,2476.4346,2680.9944,2908.764,2403.8875,2831.3503,2564.5706,2843.0217,2699.6973,2736.9932,2343.8892,2548.6887,2643.6204,2616.6946,2547.3633,2918.99,3204.4087
1978,2921.8547,2399.8887,2544.3523,2769.3494,2353.3938,2570.662,2614.2268,2654.195,2579.2861,2568.9297,2684.829,2508.7297,2544.0015,2648.6401,2705.2458,2678.6067,2581.0225,2668.3167,2594.607,2333.6755,2644.8835
1979,2341.949,2683.376,2384.028,2651.9534,2671.6313,2357.34,3190.638,2787.0757,2579.7805,2180.417,2619.9316,2687.6392,2309.1995,2599.4736,2696.6406,2210.0527,2449.638,2217.143,2596.4807,2389.411,2439.361
1980,2469.2166,2196.9941,2820.6882,2819.827,2967.109,2415.3406,2587.8608,2817.3877,2651.8296,2729.3027,2798.2998,2774.499,2613.0293,2406.8862,2408.1072,2526.036,2488.3433,2670.5706,2372.268,2581.9705,2749.1406
1981,2699.8098,2499.088,2518.3916,2501.3499,2669.0212,2743.4592,1911.2673,2617.222,2518.09,2807.801,2581.3364,2382.9824,2487.91,2232.7104,2528.1414,2892.7168,2528.7961,2523.2676,2629.7383,2351.8938,2243.2615
1982,2611.8071,2654.7195,2663.8088,2914.7175,2517.0413,2860.0183,2316.695,2610.7097,2653.9453,2243.503,2854.2817,2665.7146,2484.1008,2612.119,2195.6206,2781.5696,2791.7505,2350.6604,2787.3044,2643.8499,2174.693
1983,2676.8047,2832.025,2789.1794,2455.0212,2877.7424,2689.9739,2765.6274,2583.5508,2424.1677,2740.784,2761.4233,2538.1587,2664.8335,2839.7202,2551.527,2569.5237,2737.2258,2957.304,2306.646,2859.1057,2585.8792
1984,2244.1987,2698.8088,2582.0073,2675.705,2859.1719,2631.697,2556.152,2471.1028,2767.7258,2613.9976,2893.135,2305.0237,2748.8374,2947.34,2230.3708,2850.293,2635.0356,2420.5493,2277.2192,2851.6694,2638.345
1985,2962.2144,2384.9482,2454.5266,2425.126,2656.488,2735.8943,2550.7449,2623.3865,2671.9844,2671.9558,2508.7422,2507.8894,2600.7212,2721.6372,2511.2373,2842.7217,2436.0916,2239.1697,2676.3413,2749.424,2540.212
1986,2441.779,2557.7258,2265.374,2312.0066,2197.0776,2323.9531,2988.074,2316.5781,2478.5747,2715.2393,2158.71,2338.3333,2683.1392,2896.1982,2407.362,2705.3564,2348.4192,2476.72,2546.4343,2697.0469,2743.081
