year,ACCESS1-0_historical_r1i1p1-days_tmin_blw,bcc-csm1-1_historical_r1i1p1-days_tmin_blw,BNU-ESM_historical_r1i1p1-days_tmin_blw,CanESM2_historical_r1i1p1-days_tmin_blw,CCSM4_historical_r1i1p1-days_tmin_blw,CESM1-BGC_historical_r1i1p1-days_tmin_blw,CNRM-CM5_historical_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_historical_r1i1p1-days_tmin_blw,GFDL-CM3_historical_r1i1p1-days_tmin_blw,GFDL-ESM2G_historical_r1i1p1-days_tmin_blw,GFDL-ESM2M_historical_r1i1p1-days_tmin_blw,inmcm4_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_historical_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_historical_r1i1p1-days_tmin_blw,MIROC-ESM_historical_r1i1p1-days_tmin_blw,MIROC5_historical_r1i1p1-days_tmin_blw,MPI-ESM-LR_historical_r1i1p1-days_tmin_blw,MPI-ESM-MR_historical_r1i1p1-days_tmin_blw,MRI-CGCM3_historical_r1i1p1-days_tmin_blw,NorESM1-M_historical_r1i1p1-days_tmin_blw
1950,0.0,0.2588568,2.1857138,0.0,1.7121996,0.13115184,0.086416915,0.0,0.06870654,0.026975462,0.5096614,0.013487731,2.9045875,0.0,0.0,1.643838,0.057991326,1.3023934,0.0,2.438204,0.04364017
1951,0.25732735,0.0,0.0,0.013487731,0.355564,0.013487731,0.0,0.388579,0.0,1.7566419,0.0,0.25440282,1.601738,0.013487731,0.0,0.11997767,0.0,1.9700845,0.6086478,0.0571279,0.21480854
1952,0.4627568,0.64989585,0.026975462,0.12209254,0.013487731,0.5378336,0.0,0.1205846,0.013487731,0.10839902,0.44444814,0.27678895,0.4755995,0.8084328,0.0,0.0,0.0,0.14695312,0.0,0.622811,2.0549893
1953,1.2068807,0.18126784,0.013487731,0.34070793,2.1753893,0.10417639,0.013487731,0.026975462,0.21359415,0.51870346,0.49703586,0.3374061,0.7833939,1.3516604,0.013487731,0.0,0.0,0.0,0.20660035,2.7895598,2.9787455
1954,0.1699842,0.15692075,0.029289013,0.0,0.0,0.0697522,0.026975462,0.05944145,0.0,0.058578026,0.5811674,0.102218196,0.20960422,0.598548,0.25228795,0.0,0.45034346,1.0871,0.08887843,0.67257965,2.5879078
1955,0.030152438,5.170869,0.8669044,0.0,0.84207624,0.0,0.013487731,2.0601866,0.0,0.2405696,0.013487731,0.12084109,0.013487731,0.026975462,0.013487731,0.0,0.0,0.013487731,0.32207364,0.030152438,0.23889323
1956,0.0,0.0,3.0152895,0.06870654,1.9711908,1.8388774,2.8149538,0.013487731,0.01580128,0.24005166,0.013487731,0.0,0.04277674,0.4676027,0.08410336,0.29527047,1.3154334,0.2605043,0.056264475,0.04364017,0.22933644
1957,0.0,0.24627142,0.0,0.0,0.013487731,0.5816724,0.0,0.0,0.04277674,0.040463194,0.0,1.3831583,0.029289013,0.8544195,0.57087654,0.0,0.0,0.013487731,1.4604429,0.0,0.040463194
1958,0.21332937,2.639728,0.04364017,1.164369,1.8868042,2.4840102,0.34207627,0.0,0.026975462,0.04364017,0.026975462,0.99658287,2.482369,0.0,0.031015864,0.0,0.0,0.13335593,0.0,0.01580128,0.013487731
1959,0.026975462,1.8664821,0.36847848,1.2826788,0.0,0.026975462,0.07465603,0.0143511575,0.0,1.0393877,0.040463194,1.8242759,3.102615,0.0,1.2269348,1.0705576,3.56379,4.7679343,1.1197212,0.4953425,2.4688263
1960,1.3988898,0.09068865,1.1052048,0.04364017,0.013487731,1.5571387,0.0,0.0,0.0,0.09068865,2.2322593,0.0,0.5883825,0.46143824,0.0,0.72783864,0.0,0.0,0.08203338,1.5375409,0.3497214
1961,0.07911001,0.26552555,3.6507456,0.013487731,0.5661699,0.056264475,0.05947493,0.040463194,0.0,0.0,1.0871211,2.0108278,0.053950924,0.06870654,0.39747435,2.7375612,0.013487731,0.35541603,0.013487731,0.9382352,1.7861886
