year,ACCESS1-0_historical_r1i1p1-days_tmax_abv,bcc-csm1-1_historical_r1i1p1-days_tmax_abv,BNU-ESM_historical_r1i1p1-days_tmax_abv,CanESM2_historical_r1i1p1-days_tmax_abv,CCSM4_historical_r1i1p1-days_tmax_abv,CESM1-BGC_historical_r1i1p1-days_tmax_abv,CNRM-CM5_historical_r1i1p1-days_tmax_abv,CSIRO-Mk3-6-0_historical_r1i1p1-days_tmax_abv,GFDL-CM3_historical_r1i1p1-days_tmax_abv,GFDL-ESM2G_historical_r1i1p1-days_tmax_abv,GFDL-ESM2M_historical_r1i1p1-days_tmax_abv,inmcm4_historical_r1i1p1-days_tmax_abv,IPSL-CM5A-LR_historical_r1i1p1-days_tmax_abv,IPSL-CM5A-MR_historical_r1i1p1-days_tmax_abv,MIROC-ESM-CHEM_historical_r1i1p1-days_tmax_abv,MIROC-ESM_historical_r1i1p1-days_tmax_abv,MIROC5_historical_r1i1p1-days_tmax_abv,MPI-ESM-LR_historical_r1i1p1-days_tmax_abv,MPI-ESM-MR_historical_r1i1p1-days_tmax_abv,MRI-CGCM3_historical_r1i1p1-days_tmax_abv,NorESM1-M_historical_r1i1p1-days_tmax_abv
1970,4.9083233,0.013668521,1.9796138,0.82551163,0.013816493,0.68854105,3.8110902,0.442452,0.41900802,2.6090565,0.013668521,2.720074,2.037172,0.034161985,0.0034171303,0.017085653,0.6679614,2.1660764,1.1634588,1.1536485,1.3462605
1971,0.030754173,0.0,2.4287508,1.6179954,0.102191485,0.0034171303,0.051238317,1.1613061,2.8445158,0.6774347,0.09877436,0.7760934,1.6842585,0.3968596,0.0,0.013668521,0.010251391,5.68888,0.51327634,4.477595,8.41573
1972,0.6670298,0.9613501,0.030744854,1.2880911,0.23854496,0.51945055,0.7200547,1.4797082E-4,0.0,0.81085473,0.36426792,0.34995517,0.9799349,0.4190749,0.10560862,1.2311378,0.0,0.577804,0.43497166,1.0798408,0.1296765
1973,1.1576893,0.55831486,0.11244288,0.45633587,1.3830469,0.10560862,4.918214,0.062121343,0.78588986,0.024067884,0.0068342607,0.09877436,1.1993495,0.94712454,0.017085653,0.7892873,0.55885106,1.3819873,1.2729491,1.1336939,0.013668521
1974,0.0034171303,6.068396,1.9076526,0.6798476,0.54580504,0.051238317,0.8207704,0.27574494,0.10210683,0.0,0.29267332,0.42623198,2.2257257,5.4858494,0.7698833,0.013816493,0.0034171303,2.2165587,5.803709,0.6003879,1.5053105
1975,0.28357133,0.2008812,3.4835393,0.0034171303,0.0,1.3512081,0.09877436,0.9819662,0.010399362,0.0,0.2995076,7.511076,1.2018807,0.87260795,0.7934119,0.74156994,1.7475636,1.0867169,0.7727919,2.0179124,0.013668521
1976,0.41257277,1.0147735,0.0,0.040996246,0.0,0.3158756,0.010251391,0.0,3.536465,0.36753708,1.6530648,1.0342097,0.2860717,0.0,0.0034171303,0.19071446,3.3630178,2.7637413,0.51645154,1.468333,1.1079241
1977,0.010251391,0.020502781,0.10894109,0.0,2.2762506,0.017381594,2.1146152,1.4208664,1.0100513,0.34933287,4.3453817,0.9514943,0.010695304,3.0394802,0.49362984,0.578745,3.594962,5.065991,2.2054265,3.1656356,0.10233946
1978,1.1068988,0.0,0.0034171303,0.8646567,0.08161337,1.2562519,6.794502,0.53012,0.20437366,1.1258647,1.0995212,1.6305363,0.0,0.18380485,1.3822988,0.0,0.7361808,5.650026,1.2236415,3.8983946,0.122832924
1979,0.010251391,0.0,0.32760558,2.895016,0.6695962,0.0068342607,0.5503889,0.47328436,0.0068342607,4.912097,2.8459535,0.22144999,2.4864693,2.2436523,5.2287807,0.22144999,2.7903872,2.3222146,1.324163,1.3430535,7.603167
1980,0.0068342607,0.91873103,2.168324,0.0919401,0.33280396,0.0034171303,0.0068342607,2.581365,0.0068342607,1.8758763,0.0034171303,0.23362082,1.9296783,1.966771,1.1025201,0.29609978,0.5243747,0.8440813,4.6883497,0.010251391,0.31231982
1981,5.2330694,4.4866633,4.5171466,4.0622053,7.3876605,3.2347069,2.2834795,0.56143606,0.37101752,0.0034171303,5.579652,1.4862216,1.1947411,0.0068342607,0.7415415,2.3751185,2.0304873,0.16397715,0.81575555,1.86502,0.18075754
1982,0.72170156,0.0034171303,0.08198317,0.11576603,0.09877436,2.3981068,0.7523738,3.1654427,0.0034171303,2.9990451,0.010251391,0.38802123,0.09565317,0.29632306,0.38453808,0.5992478,0.027327724,2.296584,1.5996085,0.027337043,3.1875126
1983,1.2898779,0.09877436,0.10575659,2.8154197,0.0068342607,0.010251391,0.017085653,0.23233302,0.0068342607,4.423965,0.20111382,0.6848913,0.0,0.0,0.09535723,0.013668521,1.169164,0.32023367,1.0188353,0.6602197,0.5128582
1984,1.402532,1.9376913,0.0919401,0.0068342607,0.017076332,4.7165923,5.119086,4.0371647,0.11927714,0.010399362,0.0,0.59553903,0.0034171303,0.0,0.94571114,0.0,0.037569795,1.0630217,5.59691,0.19154657,0.091864765
1985,0.030744854,0.017233623,1.6954379,0.09877436,1.4746932,0.88244,0.8556681,0.7521412,0.42878485,1.1683395,3.0452442,1.0613334,1.5526516,0.0034171303,1.0186362,0.22486712,0.2754819,0.35454363,1.5076762,3.2500393,1.3466784
1986,1.5598965,8.426443,4.41825,9.3146925,0.013668521,1.0202459,0.74887204,1.4859138,1.2541518,3.6029294,0.63288265,0.010251391,0.4292501,5.4709487,1.8477137,0.4767015,0.6462689,2.5280328,0.9103994,0.3984299,0.7088112
1987,0.0068342607,5.516991,1.0594106,0.817196,1.0728061,1.623137,0.013668521,2.0193105,0.11926782,1.7984523,0.0,10.425091,1.6808269,10.61703,0.24576892,0.2995076,0.5209576,0.6398649,8.253525,0.0068342607,2.7226002
1988,0.010251391,0.023910593,8.069071,1.0831639,0.7317082,0.09877436,1.2942965,0.102191485,0.29608113,2.5469913,0.09877436,1.5542091,11.917022,0.010251391,0.74838555,1.1233039,0.08739507,0.21462505,3.3859649,0.0068342607,0.09877436
1989,0.0034171303,0.044413377,0.69707185,1.3219833,8.453953,1.0899981,0.017233623,1.1528944,0.0,0.39144766,1.2637116,1.7727995,3.5008907,9.48327,0.33366957,1.1544766,1.4509941,5.1486034,1.5316032,0.20073321,1.5139097
1990,1.5507412,1.5539988,2.263992,5.200934,1.2221415,4.4199495,0.07819624,3.4568632,15.192779,0.0068342607,0.44587848,1.4940358,5.987382,2.2383149,0.52173716,1.409054,0.0034171303,2.429704,2.6465688,1.2702665,5.030058
1991,5.101265,7.254229,0.115850694,1.0418384,0.5141326,1.7415595,0.102191485,5.739594,5.7817464,2.3356912,1.999081,0.0068342607,4.866576,4.066038,0.0034171303,0.150022,0.22829357,4.062558,6.946643,0.115784675,0.5682703
1992,0.102191485,0.0068342607,0.96503615,0.13292703,0.010251391,0.59331167,1.363464,0.0069822315,0.115850694,0.3030727,0.0,0.0068342607,4.746414,0.010251391,0.0850305,0.4213269,0.0,0.5041019,0.38452876,1.6324639,3.6111
1993,0.22486712,0.53827584,0.21120793,1.5568025,0.010251391,0.010251391,0.41849312,0.46266168,6.583991,0.51055413,0.51761305,0.78443444,0.47329366,2.9917006,0.24195278,0.7327878,2.2923737,0.7193399,2.111284,1.446994,1.3472438
1994,0.8211508,11.602991,13.504682,0.5659086,0.122684956,0.96365297,1.210913,1.5979201,2.7378821,0.1636812,7.360167,4.0098276,0.4018377,1.2809899,0.122832924,0.36426792,1.5749575,6.542015,0.8526119,0.086031936,7.648374
1995,0.9718491,0.5887638,1.8230408,0.0034171303,5.435233,0.017076332,0.37072158,2.255642,4.566775,0.0068342607,0.5857272,2.5189407,8.603699,3.9856331,0.89738417,0.020493463,0.5851159,4.179212,1.4725777,0.73977935,0.8304854
1996,2.5267065,0.102191485,0.9086881,2.4904666,5.5024967,0.13635348,0.0034171303,1.859581,0.40510687,0.9713945,0.0034171303,0.7339276,2.7465663,2.139155,0.13293634,2.1646733,0.0068342607,9.390214,0.46607882,3.5472999,0.82322466
1997,3.6904864,0.0034171303,1.5509582,4.4408336,1.1700808,2.7082243,0.0068342607,1.5956455,1.7965256,14.131592,2.0689807,2.2893598,1.432645,2.2579014,1.1479847,4.3971853,2.2437167,3.0295966,1.9590746,2.6579435,1.4102173
1998,0.41870007,0.010251391,0.11586001,1.7132149,2.97474,11.095641,0.60014594,0.0,0.1628249,0.7555676,0.0,4.876903,10.461687,1.7513621,2.0539162,0.8139175,0.010251391,1.7751477,1.3067188,0.28948882,1.0920656
1999,1.7730893,4.1475253,2.9405513,1.8038079,7.1174855,2.8493857,0.027337043,6.3426623,2.8830142,0.29283062,1.6706927,1.5845221,9.488203,3.8545117,2.841329,3.671152,4.9026303,1.6852329,4.181794,2.0510588,4.6380067
2000,2.0392601,0.79244775,13.494357,9.832046,20.289217,1.1512903,6.6846356,6.472859,1.5904156,0.4296491,2.8658175,13.035525,2.8606727,0.6406652,3.7887127,1.1617408,4.876725,3.5543988,6.183953,1.8358992,0.21354546
2001,0.29609045,3.4545698,9.917757,0.4601429,0.7749539,0.017085653,0.46341208,2.7570984,0.0,9.105463,2.6885993,4.700441,1.9455961,6.705181,0.70583797,1.1131371,6.1347218,6.2968764,2.722105,1.485114,2.7379048
2002,1.1380928,0.037588432,2.0524747,10.465624,6.1525326,5.7082086,0.013668521,1.9954171,2.147976,0.017085653,0.5972086,0.30656514,1.9199502,2.7249358,0.12610207,2.2458897,5.4695187,4.5782413,7.29441,1.1119124,2.8089051
2003,3.6616015,1.605768,7.3124285,3.198822,2.344487,3.33595,0.3711748,4.2789893,0.4605326,1.8790641,6.159861,1.1945384,12.68999,3.38869,3.6840947,1.4480273,2.6658359,9.245346,5.0686755,9.812534,0.5041865
2004,6.642313,5.8244815,15.086169,6.348905,1.3812039,2.888247,0.37451932,4.644365,10.073856,0.115627386,6.789367,18.723742,5.650875,3.9473603,2.423436,0.0069822315,1.4498246,4.7213507,13.438865,0.5235184,0.2928213
