year,ACCESS1-0_historical_r1i1p1-days_prcp_abv,bcc-csm1-1_historical_r1i1p1-days_prcp_abv,BNU-ESM_historical_r1i1p1-days_prcp_abv,CanESM2_historical_r1i1p1-days_prcp_abv,CCSM4_historical_r1i1p1-days_prcp_abv,CESM1-BGC_historical_r1i1p1-days_prcp_abv,CNRM-CM5_historical_r1i1p1-days_prcp_abv,CSIRO-Mk3-6-0_historical_r1i1p1-days_prcp_abv,GFDL-CM3_historical_r1i1p1-days_prcp_abv,GFDL-ESM2G_historical_r1i1p1-days_prcp_abv,GFDL-ESM2M_historical_r1i1p1-days_prcp_abv,inmcm4_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_historical_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_historical_r1i1p1-days_prcp_abv,MIROC-ESM_historical_r1i1p1-days_prcp_abv,MIROC5_historical_r1i1p1-days_prcp_abv,MPI-ESM-LR_historical_r1i1p1-days_prcp_abv,MPI-ESM-MR_historical_r1i1p1-days_prcp_abv,MRI-CGCM3_historical_r1i1p1-days_prcp_abv,NorESM1-M_historical_r1i1p1-days_prcp_abv
1971,4.0268297,9.107982,3.791883,3.2389896,4.7738366,4.992988,4.7082257,4.46033,4.3125415,1.4165126,6.088987,4.773212,2.874853,5.12106,8.380921,6.790699,8.608443,7.8700466,6.4635696,10.137169,4.91776
1972,3.1801732,8.868741,9.516239,2.8047242,6.656389,9.006595,5.3976603,8.462806,7.5925875,6.145245,7.510173,4.496414,7.00301,7.4093976,3.5420675,7.6496477,8.028578,10.006196,7.3435373,4.125782,4.3253064
1973,4.575263,7.30075,7.475835,4.831275,7.374984,6.2198606,5.964,10.205462,11.208353,5.3669653,13.706365,7.6020546,4.1057696,1.9376637,4.614861,4.260268,6.3171463,7.5914116,7.1511526,5.960597,10.336662
1974,4.141267,4.040599,5.6641493,13.259471,3.98347,4.5126486,11.017404,6.2462134,5.7826104,4.924431,5.87761,10.02035,2.8921726,3.2463872,3.9599762,9.553121,6.776519,9.32861,5.7146473,5.23352,5.8148594
1975,8.573447,4.7466335,11.605769,4.172607,6.56606,9.141387,5.186747,7.68168,11.632906,14.045163,1.7139137,4.7739706,10.073094,4.6895714,4.828044,6.815057,9.14526,4.0720396,7.2046385,4.290629,11.108054
1976,5.7589393,6.374422,8.654752,7.422832,4.967787,1.6632849,9.288835,13.049589,4.943526,5.128137,5.4624014,7.1506214,6.6068797,8.3798,6.878799,7.9946957,10.513349,4.089903,5.78681,6.961834,6.651958
1977,7.5968294,9.274657,4.0655785,9.204384,3.966531,5.170832,6.1616197,4.293681,2.895,6.853058,2.9800465,5.5615826,9.754414,8.519916,10.243315,5.076404,4.818963,6.7938733,8.267789,3.4304469,4.800066
1978,9.608378,7.0249,7.205516,11.410824,5.8891215,5.4237084,6.125369,3.673606,7.2674785,3.7334442,3.8848188,2.3424952,2.1419585,3.218912,11.509697,9.529526,5.6440177,3.1814368,7.2405224,4.427543,6.400971
1979,4.325922,14.767963,7.2494483,2.721814,5.656901,3.4835145,6.2325573,5.86421,4.485622,4.5818586,5.231883,8.644921,3.067247,6.363141,9.691496,7.0110083,6.9756985,5.193174,5.7923465,4.8970275,5.696432
1980,5.9397807,1.7744912,8.432637,4.0750175,6.0975094,7.840546,7.4649825,6.688087,8.685259,6.7292247,9.464293,3.6744757,4.6047583,6.822475,9.402168,6.424848,3.5734758,5.094281,5.8980722,2.6297874,3.678586
1981,7.0808225,5.141423,4.005944,7.134916,4.059061,9.3621,3.1893244,6.0590944,6.025795,4.9864078,7.1798344,2.855773,5.3167133,3.3994036,10.549284,11.12371,3.6333673,9.022169,3.8019078,5.3121786,5.607345
1982,2.5947392,4.189272,5.9367137,9.836923,5.5864673,10.384238,2.713958,6.75828,6.50033,2.0297227,8.017836,6.927513,2.9007063,7.603672,7.1388125,8.106439,8.918275,5.5797477,5.072668,8.420014,4.532895
1983,3.0858488,7.5888824,13.020727,3.453647,4.4993525,4.416963,9.153069,10.465802,4.720995,3.471229,8.115396,9.258637,6.667233,15.549604,4.421933,9.757356,6.930421,3.496876,4.8182054,4.806501,7.80386
