year,ACCESS1-0_historical_r1i1p1-days_prcp_abv,bcc-csm1-1_historical_r1i1p1-days_prcp_abv,BNU-ESM_historical_r1i1p1-days_prcp_abv,CanESM2_historical_r1i1p1-days_prcp_abv,CCSM4_historical_r1i1p1-days_prcp_abv,CESM1-BGC_historical_r1i1p1-days_prcp_abv,CNRM-CM5_historical_r1i1p1-days_prcp_abv,CSIRO-Mk3-6-0_historical_r1i1p1-days_prcp_abv,GFDL-CM3_historical_r1i1p1-days_prcp_abv,GFDL-ESM2G_historical_r1i1p1-days_prcp_abv,GFDL-ESM2M_historical_r1i1p1-days_prcp_abv,inmcm4_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_historical_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_historical_r1i1p1-days_prcp_abv,MIROC-ESM_historical_r1i1p1-days_prcp_abv,MIROC5_historical_r1i1p1-days_prcp_abv,MPI-ESM-LR_historical_r1i1p1-days_prcp_abv,MPI-ESM-MR_historical_r1i1p1-days_prcp_abv,MRI-CGCM3_historical_r1i1p1-days_prcp_abv,NorESM1-M_historical_r1i1p1-days_prcp_abv
1950,0.57727516,0.2002753,0.0708592,0.01580128,0.14290383,0.70952755,0.082822144,0.20444708,0.12710255,0.60731435,0.031631783,1.237597,0.56812155,0.055057917,0.9018217,0.09431455,0.5888033,0.57211083,0.04509029,0.03160256,0.0
1951,0.3233185,0.8080789,0.0,1.2731335,1.3539457,0.82961696,3.3337312,0.01580128,0.63640904,0.03160256,1.6829644,0.50424284,0.3918325,0.0,0.055057917,0.31106657,0.4292204,0.4468904,0.18690062,0.09431455,0.8045214
1952,0.06857913,0.3280841,0.82954764,0.40398496,1.4736187,0.3650496,0.0,1.9089729,0.44861597,0.47773585,0.0,0.6816755,0.55350125,0.25991032,0.12941611,0.01580128,1.6548902,0.48107642,0.326784,0.8446611,0.98657155
1953,1.4214872,0.0708592,0.12591712,0.82706326,0.86481947,0.99211615,0.039256636,0.29409042,0.0,0.63315946,0.9777673,0.12363705,0.08438041,0.4795611,0.77510595,0.74294883,0.0,0.39705652,0.10783576,0.12360357,8.6342625E-4
1954,0.08666048,1.2833267,1.2340984,0.16104789,0.52775306,0.2458964,0.15295954,0.0708592,1.4231124,0.12354266,0.6166734,0.14182948,1.7186644,1.7042837,0.42161855,0.14699802,0.0,1.3757356,0.35264102,1.2424046,0.30003038
1955,0.29817265,0.13119674,2.0472791,0.19449624,0.54823977,0.0,0.19212179,0.055057917,1.5172019,1.8418486,0.0,2.1316059,0.68625593,0.0,0.052744366,0.59478354,0.097868145,1.0621561,0.055057917,0.24486616,1.110091
1956,0.146102,0.35425833,0.0,0.29043102,0.26822713,0.0,0.10018169,0.21464765,0.28738472,1.8121544,0.32776588,1.1047189,0.01580128,0.045123775,0.21874987,0.015830502,0.7601851,0.01580128,0.45035592,0.0,0.29494867
1957,0.9716977,0.3171052,0.99531925,0.097868145,0.10944679,0.0,0.3529093,1.044105,1.5036865,1.3803159,0.70459735,0.19688739,0.2007285,0.15292606,0.6574855,0.19218269,0.22603995,0.08438041,0.65808743,0.26153088,0.2930788
1958,0.0,0.10018169,1.9136624,1.54251,0.3433563,0.08434693,0.3630746,1.5314058,0.15523961,0.6160786,0.0,0.20797972,0.055057917,1.5038302,0.06857913,0.63179183,0.4842669,0.6457559,0.38184196,0.27641413,0.12360357
1959,0.0708592,0.80773306,0.241812,0.01580128,0.70279515,0.8677943,0.10944679,0.56640804,0.32919195,0.0708592,0.058475047,0.2294244,0.9427701,0.8567073,0.1744518,0.91252095,0.11369865,0.055057917,0.38672432,0.3549503,0.21557714
1960,0.30376056,0.29047978,0.22373065,0.11011583,0.22649741,0.10018169,0.7841241,0.08434693,1.5171937,0.08438041,0.47539937,1.9265023,0.8493822,0.78885764,1.4463899,0.8164607,0.40670016,0.50784713,0.3888218,0.6130515,0.03160256
1961,0.5322038,0.6364929,0.0,0.14295843,1.4310215,0.14035928,0.12719063,0.063751705,0.06854565,0.055057917,1.5706195,0.039256636,1.3288013,0.0,1.1304915,0.4555594,0.055057917,1.78171,0.2512079,0.08327257,0.4852994
1962,0.5106642,2.509645,0.28760943,0.42622617,0.0,1.0179434,0.6506312,0.0,1.2764142,0.9971175,0.13943833,1.6111358,0.09431455,0.0,0.16039751,0.85529304,0.01580128,0.18194954,0.28224778,0.12591712,0.10014821
1963,0.90164196,0.07940502,1.2458001,0.0,0.1710409,0.01580128,0.906907,0.11750322,0.7857312,1.017428,0.0708592,0.06854565,0.43261594,0.0,1.1164553,1.1188924,0.25002405,2.3537426,0.055057917,0.13940485,0.6280376
1964,0.055057917,0.51222646,0.0,0.18984172,0.32153788,0.14870343,2.1193554,2.1068985,0.23992424,2.28655,0.0017268525,0.23437083,0.19968148,0.0,0.2022602,0.23044893,0.40403956,4.0342236,0.24486616,0.7780042,0.01580128
1965,0.5412415,1.0292279,0.5824701,1.0626285,1.1378592,0.43850425,0.08438041,0.7310175,0.5162449,0.7715993,1.0602411,0.892507,0.097868145,2.0890622,1.1413957,0.755898,2.255205,0.7724197,0.55014354,1.4017458,0.3165888
1966,0.10774138,0.08206686,0.16101867,1.3855875,0.6388501,0.25898492,0.01580128,0.35724175,0.23376957,0.09783466,0.5708557,0.6156948,1.0889612,1.1715772,0.8523491,0.316893,0.69325167,0.27410057,1.878491,0.6950031,2.381868
