year,ACCESS1-0_historical_r1i1p1-growing_degree_day,bcc-csm1-1_historical_r1i1p1-growing_degree_day,BNU-ESM_historical_r1i1p1-growing_degree_day,CanESM2_historical_r1i1p1-growing_degree_day,CCSM4_historical_r1i1p1-growing_degree_day,CESM1-BGC_historical_r1i1p1-growing_degree_day,CNRM-CM5_historical_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-growing_degree_day,GFDL-CM3_historical_r1i1p1-growing_degree_day,GFDL-ESM2G_historical_r1i1p1-growing_degree_day,GFDL-ESM2M_historical_r1i1p1-growing_degree_day,inmcm4_historical_r1i1p1-growing_degree_day,IPSL-CM5A-LR_historical_r1i1p1-growing_degree_day,IPSL-CM5A-MR_historical_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-growing_degree_day,MIROC-ESM_historical_r1i1p1-growing_degree_day,MIROC5_historical_r1i1p1-growing_degree_day,MPI-ESM-LR_historical_r1i1p1-growing_degree_day,MPI-ESM-MR_historical_r1i1p1-growing_degree_day,MRI-CGCM3_historical_r1i1p1-growing_degree_day,NorESM1-M_historical_r1i1p1-growing_degree_day
1974,589.36444,772.1354,663.9048,618.13,795.52246,730.49384,735.9184,570.67615,669.88916,619.7914,668.99036,705.7639,725.09406,724.94006,717.34076,666.30743,571.68677,665.15234,809.3888,743.27185,685.5245
1975,650.3234,686.5289,728.0325,652.9421,611.44574,589.1927,662.15936,692.2667,608.89215,579.79724,677.8604,847.06976,740.4408,713.79706,630.0177,673.702,718.4513,701.6674,716.8985,641.77234,579.44336
1976,704.9942,638.24695,583.0487,675.5855,585.05524,653.84656,633.4674,562.3357,827.45795,618.4499,803.4746,735.99817,584.94354,607.3173,589.55255,613.14526,631.82764,789.3817,615.8345,660.41907,697.0474
1977,561.69183,684.7033,650.86206,607.0878,762.21173,663.7818,710.07587,677.7169,673.6794,694.0418,850.60956,627.0306,675.5781,599.72614,709.2786,667.7319,787.25696,769.49866,754.0416,716.6872,540.31573
1978,739.6374,605.5364,603.0398,713.7185,713.07556,726.9509,827.2691,646.95154,682.1715,656.65094,706.16406,742.1273,632.1484,649.5373,667.3397,643.9091,614.203,755.17145,600.9021,766.5774,674.7373
1979,711.3007,490.48526,620.835,654.4069,594.75916,621.364,625.61487,682.83685,637.31195,799.2747,745.73126,696.7593,683.9369,706.2325,675.8291,610.56586,681.76166,756.87915,737.3532,686.31213,832.1406
1980,683.7947,842.8342,681.05237,643.7158,649.86523,639.5312,653.29364,718.37054,720.0387,763.0001,638.5071,755.5777,656.8483,790.4296,684.3341,703.4933,648.4192,653.12744,787.52124,731.14856,647.8945
1981,812.61786,707.36633,742.8454,680.8443,742.3649,735.10126,863.80975,682.7389,701.84894,613.7985,811.9391,754.9995,721.20483,656.0589,656.3567,704.8648,752.0635,671.754,611.6405,764.0982,695.1986
1982,694.40015,671.87805,691.9111,636.50433,630.33453,705.797,669.27496,693.544,658.7928,682.7124,745.0451,684.05164,621.21533,660.7342,719.6832,660.69763,645.81573,660.2511,693.20465,684.04266,819.1431
1983,631.3202,647.7737,625.37683,673.2813,671.97516,635.6203,638.0851,595.2095,580.3054,698.4398,683.2378,660.24774,637.2941,527.271,593.7436,600.73676,642.7462,574.64294,666.6184,733.31934,682.3917
