year,ACCESS1-0_historical_r1i1p1-days_tmin_blw,bcc-csm1-1_historical_r1i1p1-days_tmin_blw,BNU-ESM_historical_r1i1p1-days_tmin_blw,CanESM2_historical_r1i1p1-days_tmin_blw,CCSM4_historical_r1i1p1-days_tmin_blw,CESM1-BGC_historical_r1i1p1-days_tmin_blw,CNRM-CM5_historical_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_historical_r1i1p1-days_tmin_blw,GFDL-CM3_historical_r1i1p1-days_tmin_blw,GFDL-ESM2G_historical_r1i1p1-days_tmin_blw,GFDL-ESM2M_historical_r1i1p1-days_tmin_blw,inmcm4_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_historical_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_historical_r1i1p1-days_tmin_blw,MIROC-ESM_historical_r1i1p1-days_tmin_blw,MIROC5_historical_r1i1p1-days_tmin_blw,MPI-ESM-LR_historical_r1i1p1-days_tmin_blw,MPI-ESM-MR_historical_r1i1p1-days_tmin_blw,MRI-CGCM3_historical_r1i1p1-days_tmin_blw,NorESM1-M_historical_r1i1p1-days_tmin_blw
1950,2.0020301,4.2452736,3.858684,1.7497522,6.354701,4.688327,8.973653,0.0,5.752655,4.337597,4.1112757,5.56006,9.935675,0.93795896,3.403317,14.079938,3.976557,17.003975,2.7997785,12.625091,5.430264
1951,6.6566505,1.9438548,1.697806,1.482753,5.0475698,3.7378826,0.026975462,5.9635577,6.0145245,8.543665,2.5871348,4.8175817,7.862812,6.7970157,3.1372309,3.9272122,0.3275976,7.1318383,7.429062,4.7881136,2.7465904
1952,2.7756774,11.632166,5.272,3.775452,2.7564476,2.4866872,1.8648477,8.606574,5.7051425,3.0917304,4.953322,8.219955,6.631337,10.785963,0.93624675,4.193291,0.3658057,6.2711463,3.7594686,2.3252723,11.504722
1953,15.146066,3.7161844,4.126746,4.733794,11.4094515,4.0711646,1.9421339,2.5450974,3.9039488,4.8609114,5.381333,5.7452583,11.5159645,7.2819157,2.7257128,1.4600606,0.28796315,2.5664806,7.5843353,10.965024,8.562565
1954,6.025619,3.8436742,3.3112862,1.3925253,3.207189,7.9736285,8.051014,4.549101,2.0156908,5.480634,3.5312316,6.650715,2.8575666,7.91813,10.220389,1.5926299,4.1340995,6.8926296,7.357897,4.6717205,7.031006
1955,3.7129376,15.800944,8.986028,1.6958202,10.335376,5.7443132,4.1888804,7.5466843,0.5296607,4.986977,3.5825891,8.501298,5.8240476,5.8330884,3.408532,0.7648481,2.4797559,2.5544002,12.722925,5.430003,6.926997
1956,3.571162,0.64157283,14.66649,4.7172756,6.6945844,10.029386,16.915688,2.4385197,3.2636814,2.261486,2.4762688,3.5566642,4.0936823,7.1865263,10.450882,8.626102,5.8243785,10.346309,8.230702,6.4171205,10.116262
1957,0.9287639,5.2828765,0.28754342,2.0719266,3.5306365,4.376581,1.3191272,1.3475235,2.9553432,4.4627695,1.535618,14.020352,2.2239203,7.8595862,4.3015704,4.1755667,3.977809,1.456247,7.9299192,0.98837805,5.8370667
1958,8.673675,17.429918,4.7518177,10.091948,9.378866,12.905062,3.2717159,3.9433217,3.4453588,3.416063,7.650403,4.820992,11.683871,0.58901495,2.6402905,1.1294885,0.82909167,6.6865015,0.4138743,3.5538902,2.121723
1959,2.345546,8.985914,12.147305,4.3988004,4.700123,11.307386,8.811854,2.6438038,2.3170564,7.465863,4.8579116,13.189398,24.964886,3.2267482,6.7835803,9.539072,7.9925985,16.058302,7.6725407,6.422028,12.077814
