year,ACCESS1-0_historical_r1i1p1-longest_run_tmax_abv,bcc-csm1-1_historical_r1i1p1-longest_run_tmax_abv,BNU-ESM_historical_r1i1p1-longest_run_tmax_abv,CanESM2_historical_r1i1p1-longest_run_tmax_abv,CCSM4_historical_r1i1p1-longest_run_tmax_abv,CESM1-BGC_historical_r1i1p1-longest_run_tmax_abv,CNRM-CM5_historical_r1i1p1-longest_run_tmax_abv,CSIRO-Mk3-6-0_historical_r1i1p1-longest_run_tmax_abv,GFDL-CM3_historical_r1i1p1-longest_run_tmax_abv,GFDL-ESM2G_historical_r1i1p1-longest_run_tmax_abv,GFDL-ESM2M_historical_r1i1p1-longest_run_tmax_abv,inmcm4_historical_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-LR_historical_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-MR_historical_r1i1p1-longest_run_tmax_abv,MIROC-ESM-CHEM_historical_r1i1p1-longest_run_tmax_abv,MIROC-ESM_historical_r1i1p1-longest_run_tmax_abv,MIROC5_historical_r1i1p1-longest_run_tmax_abv,MPI-ESM-LR_historical_r1i1p1-longest_run_tmax_abv,MPI-ESM-MR_historical_r1i1p1-longest_run_tmax_abv,MRI-CGCM3_historical_r1i1p1-longest_run_tmax_abv,NorESM1-M_historical_r1i1p1-longest_run_tmax_abv
1950,2.0989954,0.1734055,0.0034171303,1.1450642,1.0951003,0.098689705,0.37436202,1.1169088,0.0035651012,1.3885076,0.92241335,0.30205908,0.38033998,0.6330818,0.33785698,0.0034171303,0.21353613,0.0034171303,0.9150223,0.7680036,0.53917235
1951,0.0068342607,0.56127423,1.5432775,2.7704217,1.2306842,0.08844763,0.0034171303,0.7387658,1.3553048,1.9586477,0.09535723,0.14381005,0.5089262,1.1326991,0.28598702,1.4528741,0.19413158,0.6402349,0.0034171303,2.4996512,0.0034171303
1952,0.14317842,0.19746406,0.22720465,0.3158756,0.44872022,0.7085889,0.0,0.50451285,0.487605,0.032739624,0.0,0.0034171303,0.43305692,0.19071446,0.69855046,0.010251391,0.024058564,2.297882,1.5216283,1.3878341,0.89991534
1953,0.0,1.7183251,1.2161194,0.47672197,0.31379843,0.0,1.1764662,1.4497695,1.1224748,0.28598702,0.96746117,1.1861556,0.52841413,0.87562627,0.27217984,1.3911748,0.26549357,0.4398912,2.7764177,0.7239023,2.772519
1954,0.28598702,0.09535723,0.14517318,3.311941,0.017076332,0.46986723,0.08161337,1.7618729,1.4008213,0.0,0.9232228,0.0,0.6922324,0.6714852,0.14532116,0.0068342607,0.20095652,0.4253757,0.28242192,1.4437836,0.45355037
1955,0.99974304,0.0034171303,1.2971187,0.35743368,0.45014256,0.8041591,0.0,0.0034171303,2.7307243,0.0034171303,0.38325155,0.53183126,0.098689705,0.010251391,0.44586915,0.115850694,0.0068342607,1.1047958,1.1764996,0.53780925,0.0068342607
1956,0.7933047,0.19413158,2.4908867,0.0068342607,0.7383295,1.8477495,0.08161337,0.36426792,0.19048183,1.0405538,0.27217984,0.09535723,0.19389896,0.09535723,0.20779079,0.0034171303,0.3240405,0.0,0.0,2.3696928,0.54797596
1957,1.846387,0.0,2.3192356,1.8283975,0.12516114,0.51832,3.0906355,0.5908972,0.45270342,0.0034171303,0.0,0.8270654,0.0034171303,0.5285714,0.42623198,0.0,3.933319,2.0216796,0.0034171303,0.652571,0.66917807
1958,0.0034171303,0.0,0.0068342607,1.5204164,0.69855046,0.7352128,2.2299814,0.0034171303,4.0566187,1.2292417,0.09877436,0.020493463,0.0035651012,0.0,0.42281485,0.10560862,1.2454419,0.5064328,0.34491456,1.4919952,0.09826878
1959,0.37436202,0.21462505,0.010251391,0.5446435,0.0034171303,0.48162705,0.64674103,0.09982979,0.6519114,1.7217771,6.235212,0.43305692,1.6508828,2.411355,0.19413158,0.09535723,0.2653456,0.0034171303,0.9802539,1.4797082E-4,0.010251391
