year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,7.142,1.408,18.630,1.968,11.999,5.765,1.313,19.907,2.510,11.500
2007,7.138,0.894,15.488,1.764,12.602,7.661,0.688,21.236,1.883,12.294
2008,6.369,0.600,24.262,1.466,16.196,5.624,2.929,22.711,3.282,13.763
2009,6.935,0.366,16.048,2.094,11.251,5.989,0.553,10.776,2.341,9.395
2010,6.375,0.334,17.229,2.812,9.969,5.934,1.418,21.120,2.471,12.541
2011,5.622,1.731,13.382,2.007,11.185,5.537,1.167,24.442,1.849,11.092
2012,7.155,0.000,17.361,1.970,13.962,8.258,0.165,19.905,2.936,14.884
2013,4.446,0.831,17.256,1.372,12.104,6.089,0.337,14.509,2.183,10.306
2014,8.180,1.296,18.852,3.207,15.337,7.939,0.328,21.932,5.080,13.664
2015,7.025,1.864,17.061,2.473,13.648,9.591,1.319,20.032,4.337,19.481
2016,6.170,2.579,16.214,3.705,13.270,7.281,0.606,27.253,3.178,11.897
2017,5.904,1.102,17.523,1.335,12.588,8.594,2.362,20.111,4.272,14.085
2018,8.736,0.896,20.076,4.413,14.885,6.924,2.382,14.178,2.605,11.967
2019,6.626,0.097,12.554,3.854,11.442,7.779,1.473,11.757,2.701,10.262
2020,4.541,1.041,13.138,1.871,9.563,8.123,0.076,20.938,2.841,14.783
2021,6.333,0.390,14.767,1.844,13.744,5.720,0.260,23.474,2.310,14.271
2022,7.565,1.359,19.583,3.606,13.624,5.602,0.529,17.341,0.914,14.436
2023,7.093,1.960,17.864,3.292,13.530,10.173,2.004,18.118,5.663,16.775
2024,6.614,1.218,18.704,2.769,13.746,7.854,2.453,28.095,4.751,11.711
2025,8.808,0.746,25.338,3.114,15.395,8.446,1.926,21.177,4.227,14.984
2026,10.472,2.540,28.911,3.498,21.037,10.310,2.860,16.630,6.117,15.989
2027,7.268,1.683,14.381,2.501,13.237,12.777,3.098,18.564,5.237,16.841
