year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2078,0.000,0.000,0.060,0.000,0.029,0.000,0.000,0.873,0.000,0.013
2079,0.000,0.000,0.985,0.000,0.309,0.000,0.000,0.549,0.000,0.091
2080,0.000,0.000,0.683,0.000,0.163,0.000,0.000,0.073,0.000,0.000
2081,0.000,0.000,1.072,0.000,0.040,0.000,0.000,0.055,0.000,0.000
2082,0.000,0.000,0.327,0.000,0.044,0.000,0.000,0.232,0.000,0.013
2083,0.000,0.000,2.078,0.000,0.406,0.000,0.000,0.000,0.000,0.000
2084,0.000,0.000,1.416,0.000,0.130,0.000,0.000,0.306,0.000,0.242
2085,0.000,0.000,2.541,0.000,0.257,0.000,0.000,0.030,0.000,0.000
2086,0.000,0.000,1.979,0.000,0.239,0.000,0.000,0.013,0.000,0.000
2087,0.000,0.000,0.682,0.000,0.014,0.000,0.000,0.013,0.000,0.000
2088,0.000,0.000,1.765,0.000,0.467,0.000,0.000,0.016,0.000,0.000
2089,0.000,0.000,1.296,0.000,0.455,0.000,0.000,0.013,0.000,0.000
2090,0.000,0.000,0.042,0.000,0.015,0.000,0.000,0.114,0.000,0.013
2091,0.000,0.000,1.161,0.000,0.088,0.000,0.000,0.013,0.000,0.000
2092,0.000,0.000,0.493,0.000,0.237,0.000,0.000,0.159,0.000,0.013
2093,0.000,0.000,0.312,0.000,0.028,0.000,0.000,0.059,0.000,0.000
2094,0.000,0.000,3.022,0.000,0.642,0.000,0.000,0.131,0.000,0.013
2095,0.000,0.000,1.485,0.000,0.246,0.000,0.000,0.416,0.000,0.000
2096,0.000,0.000,0.637,0.000,0.296,0.000,0.000,0.000,0.000,0.000
2097,0.000,0.000,0.636,0.000,0.091,0.000,0.000,0.013,0.000,0.000
2098,0.000,0.000,2.322,0.000,0.370,0.000,0.000,0.938,0.000,0.253
2099,0.000,0.000,0.030,0.000,0.013,0.000,0.000,0.997,0.000,0.000
