year,BCCA_0-125deg_tasmin_day_ACCESS1-0_historical_r1i1p1,BCCA_0-125deg_tasmin_day_BNU-ESM_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CESM1-BGC_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CNRM-CM5_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CSIRO-Mk3-6-0_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CanESM2_historical_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-CM3_historical_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_historical_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_historical_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-LR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-MR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_historical_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_historical_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_historical_r1i1p1,BCCA_0-125deg_tasmin_day_inmcm4_historical_r1i1p1
1960,5.1008286,5.1197596,6.311857,5.8046136,5.672208,5.9158177,6.512779,5.4318132,5.3133893,5.2778487,6.4124107,5.160534,5.85785,6.2139206,6.56355,5.9524665,6.11425,4.6530294,5.855029,6.183418,5.8030353
1961,5.72176,4.89342,5.7238703,4.6671658,5.7601056,5.5985928,5.555574,6.276834,5.3019867,4.4543266,4.1732306,4.908961,4.612335,5.433687,5.3225846,5.4675584,5.8433785,5.266604,5.2283645,7.4302797,5.8428392
1962,5.170512,5.000509,6.087403,4.69678,6.303441,5.625834,4.539019,5.7550664,5.755603,5.254275,5.111089,4.8984094,5.634538,5.0769906,5.1035028,5.7853546,5.615024,5.7858434,6.3985567,4.7831316,5.361812
1963,4.459696,4.998661,5.1664343,4.945808,4.991343,6.485424,4.7980027,5.95576,5.819777,5.454511,4.174844,4.955868,5.122377,5.259393,5.202256,4.1750026,5.394885,4.7033134,5.950339,5.294218,5.4338665
1964,4.558903,4.953002,4.588688,4.941392,5.5072856,4.6628814,5.8821373,5.0997186,5.0607476,5.9595175,3.0135808,6.153115,5.6337714,6.2696486,5.0308785,5.5231953,5.9121146,5.0927873,6.655758,4.3875747,5.326521
1965,4.9273834,4.1077204,4.299855,5.342848,5.4234843,4.169534,5.446213,4.79582,5.3523726,5.6916714,4.6202216,5.48218,5.910358,4.374759,5.3981314,5.231048,5.2418237,5.4210653,4.219076,5.6609488,5.5404825
1966,5.476369,5.042426,5.1302786,5.698992,6.672601,5.485787,4.5670714,4.0135336,5.9781895,4.39528,5.773687,5.7759714,5.5293493,5.671626,5.4348607,4.9065075,5.033147,5.962647,4.858552,6.056537,6.075497
1967,5.2679496,5.0944285,4.979773,6.0670643,5.0013585,5.245556,4.4841714,5.8065314,5.2415566,5.835994,4.624949,4.793635,5.8638663,5.2565184,6.00206,4.906965,5.3619585,5.6865335,5.161609,5.8709598,6.5846806
1968,6.1340647,5.624175,5.218432,5.265769,4.856147,6.0737786,4.790898,4.8249226,5.132324,5.5301986,5.6949325,4.548354,4.8832397,3.7891886,5.4292684,4.43378,4.8114257,5.599819,5.2582026,5.4687557,6.224073
1969,4.9241033,4.864036,5.129946,4.6645255,4.2195826,5.8602767,4.5541635,5.6673164,5.2183375,4.8161154,5.1920443,5.0637503,5.9970155,5.3361325,5.8318925,4.7087173,5.036073,7.147488,6.507462,5.715359,5.9851723
1970,5.306389,6.392261,5.5154433,5.441196,5.245544,5.7741957,5.0523524,5.7824435,5.922717,4.9734917,6.169154,4.978821,5.1890483,5.6935573,5.2103157,4.954178,5.1549606,4.820161,5.1057158,4.602551,5.465694
1971,5.0929465,5.131632,5.3574467,5.528325,4.867747,5.242298,5.218131,5.2289033,5.7076387,5.0404816,5.347484,6.0417995,4.8157206,6.2224984,5.14806,5.327888,4.985368,4.9325747,4.900278,5.771147,4.7947717
