month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,5.434,3.524,1.848,2.490,4.536,5.678,3.441,1.950,2.528,4.722,5.935,3.581,1.985,2.497,4.970,6.190,3.622,1.847,2.425,4.834,5.897,3.573,1.881,2.490,4.932,6.258,3.714,2.044,2.652,4.973
4,5.770,3.708,2.231,2.670,4.983,6.114,3.713,2.258,2.833,5.066,6.159,3.950,2.159,2.782,5.045,6.014,3.865,2.197,2.816,5.147,6.178,3.853,2.281,2.900,5.125,6.818,4.048,2.112,2.809,5.221
7,5.764,3.752,2.250,2.862,4.910,5.982,3.740,2.172,2.841,4.891,5.910,3.818,2.213,2.779,4.917,6.147,3.743,2.450,2.901,5.050,5.903,3.846,2.351,2.811,4.909,5.842,3.914,2.201,2.997,4.960
10,5.614,3.333,1.514,2.311,4.602,6.025,3.161,1.543,2.039,4.672,5.912,3.182,1.760,2.215,4.846,6.061,3.280,1.637,2.109,4.700,5.480,3.342,1.688,2.269,4.494,5.979,3.363,1.727,2.283,4.870
