year,median,min,max,p10,p90
1950,0.000,0.000,0.889,0.000,0.000
1951,0.000,0.000,0.000,0.000,0.000
1952,0.000,0.000,0.000,0.000,0.000
1953,0.000,0.000,0.000,0.000,0.000
1954,0.000,0.000,0.000,0.000,0.000
1955,0.000,0.000,0.000,0.000,0.000
1956,0.000,0.000,0.000,0.000,0.000
1957,0.000,0.000,0.000,0.000,0.000
1958,0.000,0.000,0.248,0.000,0.000
1959,0.000,0.000,0.000,0.000,0.000
1960,0.000,0.000,0.000,0.000,0.000
1961,0.000,0.000,0.000,0.000,0.000
1962,0.000,0.000,0.190,0.000,0.000
1963,0.000,0.000,0.000,0.000,0.000
1964,0.000,0.000,0.000,0.000,0.000
1965,0.000,0.000,0.050,0.000,0.000
1966,0.000,0.000,0.537,0.000,0.000
1967,0.000,0.000,0.000,0.000,0.000
1968,0.000,0.000,0.000,0.000,0.000
1969,0.000,0.000,0.000,0.000,0.000
1970,0.000,0.000,0.186,0.000,0.000
1971,0.000,0.000,0.000,0.000,0.000
1972,0.000,0.000,0.000,0.000,0.000
1973,0.000,0.000,0.000,0.000,0.000
1974,0.000,0.000,0.000,0.000,0.000
1975,0.000,0.000,0.000,0.000,0.000
1976,0.000,0.000,0.000,0.000,0.000
1977,0.000,0.000,0.000,0.000,0.000
1978,0.000,0.000,0.058,0.000,0.000
1979,0.000,0.000,0.000,0.000,0.000
1980,0.000,0.000,0.405,0.000,0.000
1981,0.000,0.000,0.371,0.000,0.116
1982,0.000,0.000,0.000,0.000,0.000
1983,0.000,0.000,0.000,0.000,0.000
1984,0.000,0.000,0.000,0.000,0.000
1985,0.000,0.000,0.000,0.000,0.000
1986,0.000,0.000,0.000,0.000,0.000
1987,0.000,0.000,0.000,0.000,0.000
1988,0.000,0.000,0.000,0.000,0.000
1989,0.000,0.000,0.000,0.000,0.000
1990,0.000,0.000,0.138,0.000,0.000
1991,0.000,0.000,0.116,0.000,0.000
1992,0.000,0.000,0.000,0.000,0.000
1993,0.000,0.000,0.675,0.000,0.000
1994,0.000,0.000,0.000,0.000,0.000
1995,0.000,0.000,0.385,0.000,0.000
1996,0.000,0.000,0.000,0.000,0.000
1997,0.000,0.000,0.000,0.000,0.000
1998,0.000,0.000,0.000,0.000,0.000
1999,0.000,0.000,0.000,0.000,0.000
2000,0.000,0.000,0.000,0.000,0.000
2001,0.000,0.000,0.000,0.000,0.000
2002,0.000,0.000,0.140,0.000,0.000
2003,0.000,0.000,0.000,0.000,0.000
2004,0.000,0.000,0.000,0.000,0.000
