year,median,min,max,p10,p90
1950,216.626,144.810,313.438,150.968,305.926
1951,207.425,89.205,332.666,130.091,267.199
1952,184.938,117.690,300.774,134.256,250.609
1953,183.825,112.265,320.211,145.001,232.446
1954,208.368,101.999,363.964,158.159,309.111
1955,193.049,109.578,325.971,139.749,275.868
1956,219.928,122.011,349.263,156.984,276.025
1957,188.735,130.478,271.509,148.182,248.675
1958,206.814,100.344,303.540,132.385,261.659
1959,193.151,142.035,278.231,143.895,260.155
1960,202.756,121.005,307.083,143.832,256.127
1961,202.570,44.738,287.708,124.924,243.116
1962,201.097,109.326,287.801,129.463,278.033
1963,196.912,101.023,342.434,131.592,256.495
1964,162.591,88.003,283.843,102.395,241.672
1965,190.950,112.873,274.587,130.892,218.748
1966,176.548,122.599,237.715,133.572,214.344
1967,167.970,78.879,270.833,111.975,227.994
1968,172.386,104.816,218.515,138.401,202.716
1969,184.205,62.577,284.312,131.958,259.319
1970,207.605,108.602,285.622,139.300,244.172
1971,188.615,82.470,296.785,131.785,249.600
1972,172.215,124.153,321.444,147.781,223.033
1973,187.215,111.092,342.632,132.869,281.831
1974,180.887,94.370,286.782,117.370,266.309
1975,211.460,91.237,297.290,135.405,268.808
1976,193.395,132.073,305.450,169.871,278.630
1977,217.506,121.446,332.120,155.462,298.757
1978,230.041,164.542,291.271,189.514,277.284
1979,213.350,87.475,393.509,132.712,308.401
1980,192.640,64.928,372.303,156.629,269.469
1981,215.403,124.587,332.733,164.581,273.562
1982,204.863,65.102,277.599,142.910,251.838
1983,187.977,97.857,234.576,134.258,219.324
1984,201.936,106.508,320.435,142.361,310.589
1985,220.297,120.302,334.138,161.200,295.355
1986,207.687,150.369,349.423,161.582,272.924
1987,235.591,96.317,328.748,179.580,290.145
1988,249.844,109.707,331.200,159.816,310.452
1989,245.058,135.978,324.954,187.910,313.904
1990,216.611,148.199,319.962,156.852,293.507
1991,221.128,115.011,323.651,175.804,293.072
1992,196.790,61.597,326.988,168.473,280.045
1993,213.061,146.923,297.257,176.100,255.944
1994,217.521,128.815,291.617,152.540,261.456
1995,222.337,101.941,384.775,155.711,315.036
1996,228.396,169.793,396.579,190.391,315.286
1997,243.924,140.667,482.020,185.312,345.988
1998,288.902,121.260,377.232,172.917,353.444
1999,231.778,129.700,424.403,176.229,320.092
2000,245.681,150.863,409.341,176.767,382.180
2001,268.801,193.168,383.202,211.838,334.656
2002,277.190,163.209,389.461,221.065,347.503
2003,250.528,121.353,409.850,159.278,353.619
2004,265.845,174.943,375.199,194.104,333.072
