year,ACCESS1-0_rcp45_r1i1p1-cooling_degree_day,ACCESS1-0_rcp85_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp26_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp45_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp60_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp85_r1i1p1-cooling_degree_day,BNU-ESM_rcp45_r1i1p1-cooling_degree_day,BNU-ESM_rcp85_r1i1p1-cooling_degree_day,CanESM2_rcp26_r1i1p1-cooling_degree_day,CanESM2_rcp45_r1i1p1-cooling_degree_day,CanESM2_rcp85_r1i1p1-cooling_degree_day,CCSM4_rcp26_r1i1p1-cooling_degree_day,CCSM4_rcp45_r1i1p1-cooling_degree_day,CCSM4_rcp60_r1i1p1-cooling_degree_day,CCSM4_rcp85_r1i1p1-cooling_degree_day,CESM1-BGC_rcp45_r1i1p1-cooling_degree_day,CESM1-BGC_rcp85_r1i1p1-cooling_degree_day,CNRM-CM5_rcp45_r1i1p1-cooling_degree_day,CNRM-CM5_rcp85_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_rcp26_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_rcp45_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_rcp85_r1i1p1-cooling_degree_day,GFDL-CM3_rcp26_r1i1p1-cooling_degree_day,GFDL-CM3_rcp60_r1i1p1-cooling_degree_day,GFDL-CM3_rcp85_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp26_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp45_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp60_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp85_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp26_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp45_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp60_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp85_r1i1p1-cooling_degree_day,inmcm4_rcp45_r1i1p1-cooling_degree_day,inmcm4_rcp85_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp26_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp45_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp60_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp85_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp26_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp45_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp60_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp85_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp26_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp45_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp60_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp85_r1i1p1-cooling_degree_day,MIROC-ESM_rcp26_r1i1p1-cooling_degree_day,MIROC-ESM_rcp45_r1i1p1-cooling_degree_day,MIROC-ESM_rcp60_r1i1p1-cooling_degree_day,MIROC-ESM_rcp85_r1i1p1-cooling_degree_day,MIROC5_rcp26_r1i1p1-cooling_degree_day,MIROC5_rcp45_r1i1p1-cooling_degree_day,MIROC5_rcp60_r1i1p1-cooling_degree_day,MIROC5_rcp85_r1i1p1-cooling_degree_day,MPI-ESM-LR_rcp26_r1i1p1-cooling_degree_day,MPI-ESM-LR_rcp45_r1i1p1-cooling_degree_day,MPI-ESM-LR_rcp85_r1i1p1-cooling_degree_day,MPI-ESM-MR_rcp26_r1i1p1-cooling_degree_day,MPI-ESM-MR_rcp45_r1i1p1-cooling_degree_day,MPI-ESM-MR_rcp85_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp26_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp45_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp60_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp85_r1i1p1-cooling_degree_day,NorESM1-M_rcp26_r1i1p1-cooling_degree_day,NorESM1-M_rcp45_r1i1p1-cooling_degree_day,NorESM1-M_rcp60_r1i1p1-cooling_degree_day,NorESM1-M_rcp85_r1i1p1-cooling_degree_day
2026,515.7823,443.41776,477.21683,582.9454,512.08,542.55457,590.81683,475.99484,529.01166,701.3904,506.05157,507.03665,454.43457,497.79532,434.43613,491.83136,404.39713,508.70663,364.55954,533.6822,561.4088,484.6599,598.75867,628.85895,538.23047,518.73816,488.44427,539.88086,568.252,518.9785,516.2715,516.7872,422.89688,391.9423,316.0926,423.2189,508.42578,439.22824,587.2579,582.5034,568.94073,484.46594,522.79865,492.51093,452.14813,424.05774,553.52045,477.6807,468.79083,459.49533,434.716,509.14334,496.50616,510.90384,511.17355,434.03488,503.802,515.16693,504.84006,519.004,475.1158,418.97736,425.56854,418.14258,482.42606,569.72437,536.8496,384.16797,602.8445
2027,560.65845,533.3055,587.34485,578.80817,394.22305,489.43167,616.5577,631.3009,545.62115,654.0979,590.6949,532.45654,496.2337,473.20245,495.9506,544.129,451.73962,473.84,416.32693,456.25427,422.19608,435.98737,527.7779,545.28064,546.78125,356.52728,424.27478,493.29022,375.64084,518.91754,505.4057,417.0711,596.21893,389.98575,390.5478,546.5375,592.5034,506.2429,498.78015,562.9037,532.7074,370.59842,540.632,532.2963,568.168,446.12595,572.2471,470.95523,460.84036,573.0398,519.96234,435.8154,513.926,496.57904,492.1351,610.74725,457.93127,550.96204,513.2541,547.88885,528.3446,414.91455,367.46152,372.08807,418.36218,465.93378,566.33997,518.15155,501.51633
2028,516.88135,607.70374,478.45343,546.0919,480.20587,516.0713,524.24414,612.80005,494.71698,545.3624,557.8483,498.17645,532.60736,479.17007,460.87988,525.9768,456.54504,603.07465,554.28284,575.55444,466.54282,487.40115,707.79443,480.98215,646.35516,564.2181,527.40356,407.36465,514.37384,432.48615,494.30212,409.70718,482.45013,365.726,421.40344,446.86923,540.23254,480.18912,513.4071,446.1819,523.85986,507.6221,582.1984,454.82727,454.52112,459.19113,596.13184,518.3006,498.72305,520.0094,545.0857,480.40552,567.5899,545.55536,472.16055,569.64105,497.13937,570.2104,494.33453,497.3353,574.6568,437.97,370.6562,373.90195,404.2867,489.68546,446.82898,511.2131,573.10516
2029,503.04297,549.19995,569.53253,508.26816,526.13495,419.45105,520.36005,578.6254,462.09842,599.43134,610.06885,463.85315,510.36502,440.06525,550.3254,443.8236,501.8346,422.8107,477.15222,522.2922,410.0487,483.47733,677.1215,451.36908,569.90796,446.601,379.68857,351.31656,484.3711,570.05096,451.23694,619.28345,426.40366,347.96048,262.84103,530.84564,675.56354,613.0363,548.33734,575.5852,541.77795,485.69162,573.32446,535.7507,554.94415,497.51575,542.9068,520.6889,428.03748,485.63934,642.5636,514.1325,524.2689,488.82678,512.0721,531.887,434.5207,614.94055,579.2423,677.3058,463.83554,439.64944,398.51337,424.21155,431.49362,359.8961,580.08057,489.33398,483.9175
2030,530.8369,596.217,600.4495,471.79166,523.81165,578.3882,481.18933,582.868,545.962,521.0132,509.54553,449.44846,505.96014,404.69244,565.226,431.53503,499.85168,481.01358,425.49414,501.72162,570.9324,523.82947,522.23975,691.2936,598.6337,465.34946,536.5666,449.16058,494.71838,413.37112,477.6804,398.64743,666.53424,396.4488,544.24506,583.6248,476.001,495.00546,502.6801,465.50964,473.75934,545.1327,503.17157,496.45322,539.4207,405.10657,587.1032,507.45807,428.44025,504.75198,546.248,517.2284,461.75256,444.41382,604.41846,437.16742,580.0666,527.67865,505.62698,555.6588,526.8395,339.83936,407.47885,441.16147,506.7897,389.40915,582.56177,350.41577,525.7987
2031,564.09766,506.77463,619.5487,467.17432,428.2759,502.21365,782.7852,566.6685,486.7144,566.40497,602.7367,641.624,512.1559,461.77234,444.56616,406.9933,435.7749,416.2073,398.49844,533.9556,576.30566,508.24643,734.57965,602.191,750.3666,572.42816,382.20505,386.75308,652.9335,519.50867,572.9718,455.1826,496.8311,432.97913,461.0885,523.45905,565.8329,466.56226,623.7564,405.16855,621.23645,385.2667,536.19476,470.24655,487.68088,525.048,592.9522,497.4736,482.86237,520.9787,609.76605,482.24207,461.35443,465.44955,579.004,559.7264,475.85675,489.93323,362.34708,437.936,585.9727,384.53015,378.79675,382.26996,462.9389,539.5991,453.7317,446.89774,456.62796
2032,547.5674,599.4896,495.5466,570.9158,441.62595,614.8691,582.0017,739.46545,551.98456,550.10956,511.7857,542.2129,496.87787,503.00687,559.75775,551.847,494.14664,446.68246,361.64197,541.5672,535.3905,518.82623,562.11786,725.1767,730.924,535.51465,518.08954,471.41052,650.68866,647.0712,406.23587,458.20132,437.70514,577.1341,463.8754,622.9436,518.1126,574.7726,566.715,464.76923,651.3462,577.2352,441.77267,478.87256,554.17426,514.3453,574.1278,425.27914,444.63098,465.29752,480.06802,398.32895,469.54144,482.56586,495.85638,512.8585,454.587,587.819,489.06866,582.8116,541.7709,338.43637,486.1997,367.25912,422.04822,521.6084,567.3362,448.55908,421.89523
2033,602.08136,745.6168,674.6552,638.49194,490.84763,385.6105,533.20795,549.343,643.9627,561.30505,620.2159,458.17313,535.338,532.7011,468.01987,434.38635,431.11285,506.58566,420.95795,636.0248,529.30365,626.19196,700.1812,689.9734,589.0264,509.29575,516.6329,416.77048,503.51175,510.9189,471.36252,470.87128,458.07657,506.66568,585.9859,547.69806,635.0715,658.60754,602.66833,488.8885,543.5211,509.93942,717.8711,548.6862,568.5551,580.5333,561.70624,454.16974,491.12796,471.31613,557.2505,476.88843,490.10104,464.2038,576.41077,493.9731,456.02945,417.75845,464.20743,657.168,648.9798,440.5272,360.5235,325.91968,434.65192,532.34393,482.92688,439.1771,522.9625
2034,600.2102,600.8232,567.4782,593.1456,531.65735,555.91266,564.0309,577.2535,548.9867,631.4055,630.85724,496.965,535.2892,461.95773,547.59766,494.40768,549.8743,391.30945,374.44604,513.3711,552.66547,603.30597,686.94385,648.00916,708.3229,433.88556,508.34692,442.79764,549.8115,374.8223,568.29236,470.99783,434.2474,527.39996,417.11035,536.9375,583.44275,611.77234,579.08923,620.7904,523.0339,555.30505,533.3721,509.05417,589.40564,534.016,633.1603,498.0123,506.89682,534.85803,551.58856,497.69275,541.9243,472.1269,515.3469,475.348,529.2369,485.5808,572.9086,640.101,649.458,396.73047,362.0836,369.3015,400.17682,622.1625,537.1614,490.99576,511.61392
2035,477.0669,551.9908,607.5051,569.6799,587.3356,506.20804,564.5764,590.961,666.04663,618.44543,633.152,591.646,561.0384,465.24335,588.53735,608.03,575.76044,459.8444,507.67676,576.258,505.15195,524.0057,569.06946,681.9434,631.2972,504.4868,532.3806,501.10785,577.6345,368.64914,428.15588,432.77008,507.70328,475.6627,476.9501,588.9401,553.27454,463.6381,608.42236,645.99677,590.83167,527.82086,593.448,485.23184,567.2898,509.94968,551.16223,561.5011,552.8709,445.35168,611.816,480.54028,505.4045,513.03796,648.86414,455.20798,612.7366,520.05994,489.60107,572.66534,559.59607,410.27414,469.0229,444.73898,413.2702,499.62122,453.2318,438.59995,674.8968
2036,621.6793,718.1772,710.1982,653.25885,571.8105,642.08813,584.62897,699.88104,500.41058,592.62384,687.46265,515.801,542.8477,426.79663,581.7293,573.801,552.3781,356.3715,527.06396,449.98328,671.0242,461.47293,583.3569,609.32153,638.6703,425.51877,506.21088,613.50116,675.7673,491.2932,411.49277,626.52563,389.66705,406.22638,369.40704,595.519,647.4429,567.5774,544.75684,549.03174,555.4866,572.6186,652.371,545.82074,598.0816,515.15497,604.40924,490.41296,531.29504,504.82816,641.2887,537.1969,596.0955,443.03583,571.70746,498.10123,448.32605,755.12366,491.07413,511.67145,549.30273,442.0857,412.7158,416.58795,427.95178,502.90842,546.75586,585.6835,578.11993
2037,505.76733,581.61835,637.99567,619.73145,526.5339,540.9956,538.89087,680.69946,582.78644,582.98364,729.90546,497.0336,526.1974,416.2499,720.71533,520.02795,525.1295,548.92993,508.22488,497.90396,584.66473,549.4552,655.564,526.39526,629.8168,479.18643,680.75946,533.00226,572.12463,518.53265,404.5527,444.60464,573.11597,386.07025,415.0454,649.3264,552.53265,465.08502,730.9981,532.72644,531.8503,481.4519,710.8732,542.18665,524.02716,482.74017,579.9096,462.97647,520.4344,522.50385,609.13367,521.56995,512.3732,533.6938,520.6162,448.20853,484.52792,593.7102,679.43085,414.06866,630.56305,388.45914,458.50583,546.1675,454.50812,459.22934,527.62695,343.06802,574.17267
2038,606.74854,726.1374,583.02954,573.85626,653.9441,638.97284,506.07495,603.00586,545.6137,630.5326,746.74475,501.81393,615.847,552.0045,501.46985,563.4633,500.98474,493.93332,468.66772,453.3444,528.98486,585.6369,723.22955,706.2831,596.83167,492.28976,550.098,414.35052,500.25867,483.9832,466.22968,512.4814,451.79327,423.78098,258.00906,507.7129,511.24973,497.50266,621.87085,616.8015,538.80493,502.03638,719.7751,667.39984,643.41595,502.1445,605.95056,500.0139,541.52924,540.0638,662.3053,596.1773,561.678,485.01617,515.37634,535.2139,669.7482,677.1318,513.30457,569.03235,586.39056,458.79425,484.69788,380.74002,460.39005,464.0966,546.9484,575.1761,488.37985
2039,601.23926,639.9703,650.9633,471.54416,635.63245,558.4761,541.6429,606.68207,590.0244,602.5496,740.52216,442.38943,600.49493,583.74457,750.3867,527.71533,503.09195,508.11652,514.9851,448.28433,574.5694,605.3165,629.035,569.3136,588.7358,564.89,551.3243,485.37778,564.56415,461.11136,603.65436,521.6515,373.11584,461.67618,493.44122,608.61615,488.792,578.7232,759.2283,427.90924,664.3298,647.9801,548.46716,617.3048,524.8251,547.31494,599.68274,493.98923,518.61505,581.7124,644.5262,501.13925,588.69366,499.58545,566.8273,438.41452,558.27203,840.0752,457.48355,489.69235,575.4357,404.49008,503.13727,442.8194,556.30963,424.02112,783.42255,597.618,596.9082
2040,625.50745,653.86926,504.40756,654.6813,607.03613,686.5616,495.72418,567.0326,528.7143,665.8981,725.76385,486.13397,571.56085,547.93634,607.59503,531.875,502.8946,491.00555,528.3064,537.8501,467.5024,544.77234,702.15466,680.8699,665.45325,483.17322,582.29596,456.75534,511.13745,565.9325,720.21295,523.7283,503.77414,408.688,524.9032,650.16473,651.15283,598.94495,709.4671,478.88297,642.56683,589.8696,626.93524,644.6721,502.87936,574.6288,639.0394,548.0354,527.30206,572.20605,604.757,519.82355,666.37726,448.17227,521.32465,436.7143,638.3498,711.05334,527.39557,512.1403,609.1321,413.6364,423.45984,438.72333,432.66223,473.18842,757.1895,450.17355,648.3691
2041,739.76044,777.7291,523.4767,601.0135,671.0702,539.24664,576.2966,546.02484,625.873,646.0966,610.9336,641.01385,624.76526,486.69672,633.70465,530.4519,550.8379,405.2211,542.3765,514.5428,553.1709,539.17847,663.24646,590.029,721.95715,450.8487,537.33105,508.1502,658.7506,419.56635,569.41797,510.92825,480.48322,374.1908,335.76193,590.2835,578.1104,635.4561,690.3972,564.7856,517.48114,627.2539,664.01605,601.6028,540.4185,509.53635,653.994,521.5374,591.28125,522.3119,642.5524,579.4072,557.64685,402.94174,573.8243,529.7094,570.82434,606.6908,533.33435,532.5849,519.49603,354.61423,542.44196,333.185,546.78235,561.1907,597.49084,444.5526,540.5211
2042,587.5101,662.29926,489.1928,536.1584,632.9308,516.96545,690.0379,736.6537,699.1879,735.85706,832.61774,528.39795,574.10876,555.78534,677.51575,539.37036,589.2232,475.7647,436.9873,507.3631,518.85767,637.6079,670.37616,636.8221,839.16876,654.3685,371.5027,529.98596,673.2889,575.6028,381.95673,502.26605,663.6483,496.5519,492.71548,507.00455,545.0425,574.50275,676.40326,491.51556,530.1124,553.5535,626.6542,622.575,651.7773,549.8446,691.8025,539.8359,634.85144,494.97015,615.5298,489.6388,611.89496,454.52197,542.4637,542.0819,592.1722,588.7122,412.62164,532.95703,521.375,416.30743,450.61896,269.53485,512.641,654.69086,525.93945,498.8766,602.76697
2043,518.89526,665.94415,519.9154,492.84103,587.2607,636.6967,616.46466,689.2202,576.3808,642.3069,578.1538,601.1025,600.8304,564.3864,627.72986,626.57623,659.45654,433.83118,632.8369,441.55133,574.80505,564.9498,583.52246,639.4939,729.96625,525.67413,594.02875,531.26575,566.6401,466.69995,761.7163,472.21222,535.2578,313.76788,382.6828,602.79504,652.2442,545.33624,678.5309,549.43225,699.5532,587.01135,482.65277,628.39575,601.0358,599.852,677.8268,567.1831,663.6301,521.919,711.4267,552.3831,475.14508,417.84433,592.88916,574.8614,525.8406,563.71277,493.37253,404.98984,740.5885,354.4869,482.52313,411.67072,447.2909,491.8369,467.9874,513.6414,509.3317
2044,568.17645,684.7407,556.7844,510.31076,574.72644,555.16986,523.1044,650.3652,688.3384,590.1719,711.6205,474.01764,648.014,510.39594,572.3782,465.25436,667.48834,492.2431,553.6056,500.2245,562.18463,582.7411,637.7359,697.7011,662.76764,471.11078,439.14874,507.78906,678.5046,686.98553,521.142,593.79016,564.4236,332.71518,548.60767,501.09894,624.4794,532.7432,937.7823,642.0362,536.78357,543.80237,577.33704,605.98975,478.10547,609.3985,677.9435,665.49316,553.34454,573.8624,649.30853,613.43463,573.38965,520.29144,585.87305,464.4774,460.08463,670.9197,459.46805,617.4652,584.3659,389.40082,509.0279,345.32153,526.34894,482.63376,466.9183,438.78967,606.91815
2045,690.78577,668.04065,509.27637,506.34738,546.5097,539.847,522.9484,588.4782,594.2078,577.41925,797.4096,624.8664,510.8863,500.2868,568.3586,609.3324,608.0174,498.13565,516.62775,495.48538,598.19324,679.4334,592.15765,748.7376,822.6347,623.3932,591.6195,525.89575,492.59094,452.1199,456.76904,438.17227,497.1338,439.6385,649.238,631.5985,579.3564,571.67975,667.6363,510.58405,718.6747,657.1588,734.44574,588.21124,650.2908,577.7505,733.099,498.24457,656.96924,533.84125,711.79877,526.3472,593.1961,578.5576,567.871,561.4933,612.20605,735.8841,477.2851,585.5667,708.1552,424.42206,390.02896,483.54742,446.98264,522.348,654.9465,560.1172,771.0739
2046,600.19836,727.7345,701.71643,646.49457,549.6825,676.9732,609.3507,795.01324,561.87335,681.50806,760.4517,547.5211,636.59515,553.38245,594.15125,572.12604,639.1056,531.77203,441.37512,475.78647,622.8886,707.73737,695.2249,686.5031,863.5083,382.134,688.5672,463.0244,586.3586,526.16486,458.97836,621.88794,575.2843,438.31778,565.0896,524.3632,593.46924,700.4835,762.93823,515.69934,623.9806,608.80615,826.65955,593.40875,601.3972,597.1302,742.46344,639.14246,581.4559,669.94196,670.35126,445.336,533.6172,462.50452,539.05066,537.6025,432.62393,641.0262,486.79318,604.9729,579.5093,465.69934,458.0645,445.4845,560.7282,467.6896,798.2567,522.73553,606.5601
2047,712.39667,655.9205,676.1639,659.8741,545.1688,751.0507,639.23517,803.10803,623.6963,698.4984,726.18866,591.67017,569.6056,543.1146,611.15936,627.46545,731.62,467.8612,661.8059,539.0812,625.8645,651.3374,616.4965,674.37775,686.9848,568.41907,514.63885,532.8805,593.625,460.95895,515.10565,454.59518,555.3001,671.2099,617.9631,554.4816,623.0143,743.82074,554.94653,505.09274,696.78784,669.51215,803.62317,553.48175,613.41473,669.60394,763.49945,592.8105,619.33215,565.86615,660.48914,571.20105,612.5387,541.6993,607.21136,517.91437,486.13278,751.6171,566.08734,712.23206,761.5442,329.94186,474.75293,422.81836,421.2511,500.72052,492.26498,505.04095,610.4719
2048,743.4048,776.4283,439.1091,654.28125,590.54456,640.9683,618.6868,711.52216,678.70245,604.43524,725.7186,576.20905,493.5826,416.73642,708.9446,535.30475,571.94824,542.41174,615.2172,587.78406,642.20886,709.736,691.4059,496.18155,815.2937,583.1914,520.1529,532.7279,550.6425,389.04617,479.40485,446.98618,535.4899,488.43707,389.24545,608.4312,626.7666,687.2947,823.77374,532.6218,606.0236,569.3655,828.70807,564.7988,583.9624,572.47565,686.8177,659.4492,577.8469,613.543,812.07117,439.3015,582.136,511.7189,742.89514,596.4544,640.2613,725.22614,484.89948,713.08527,753.69965,343.60568,456.5363,539.591,511.71402,434.53284,630.193,538.8736,852.35455
2049,656.32715,772.5752,578.9966,723.1942,661.8835,764.85547,708.81525,661.74475,544.5608,692.0815,749.27875,468.3265,573.59296,552.3002,553.8929,561.3027,666.24805,427.7294,744.37756,612.28503,640.3834,658.61523,725.3588,630.5598,816.3767,506.77417,640.06635,641.2151,538.1215,450.85294,452.85342,581.8129,472.7157,646.6423,408.22833,493.9559,718.0767,558.3464,888.24457,610.8688,585.57025,748.7023,759.33246,553.8583,651.8017,574.58795,842.74774,611.76355,596.2187,623.2869,694.0332,559.0068,658.4907,532.52075,669.90424,609.20294,482.515,741.5575,659.6083,546.8136,649.8391,320.8059,478.02374,467.52283,544.66205,509.4192,500.30148,418.3966,651.0692
2050,809.9991,727.5118,471.33948,731.0808,725.5888,749.6076,671.19385,809.69806,579.89685,667.1141,731.93616,472.74182,739.0149,566.66846,498.71313,638.36145,654.5068,477.52277,506.06085,547.8569,676.276,723.305,701.08936,641.04224,858.6495,591.0587,555.2423,493.10452,626.0389,485.77985,594.2474,429.6708,589.4205,381.11313,466.0392,591.6748,642.29785,538.6364,740.0548,635.20685,624.7675,614.7143,694.87384,538.1158,672.7246,601.7064,738.85236,528.6973,626.9772,514.4322,764.1487,501.19977,632.7955,568.1042,658.6349,482.80966,662.4709,632.9494,658.2216,596.2661,646.1076,468.3044,460.55273,448.1382,487.34488,573.26337,435.41272,554.39,649.82446
2051,647.3806,825.6184,490.6823,649.05206,718.7819,712.90137,705.3723,720.162,635.3643,607.7593,872.6387,486.56357,606.9458,437.364,639.0392,603.32605,656.9174,476.3991,667.6121,615.26276,577.19403,631.17395,777.11053,663.2927,849.24963,416.40555,477.3979,590.0221,681.0222,607.1438,404.4798,546.876,534.43396,358.27695,411.95438,602.6082,680.6568,525.65906,815.87836,544.3542,666.6291,604.7183,755.8151,591.43463,611.8519,657.10205,747.6647,559.12286,595.8108,640.6065,690.37317,585.8162,670.2476,587.5488,689.00806,515.2128,496.70605,630.8834,662.73157,548.07806,749.3395,441.39124,487.37115,435.5008,491.44757,459.6323,693.9761,578.7312,633.6441
2052,697.0083,817.286,497.34164,762.63934,750.09424,700.0845,744.94916,641.26465,490.25186,615.371,852.12524,471.73547,496.10852,557.61755,704.0563,695.9451,577.12164,476.94315,583.8671,538.2462,636.758,710.9402,587.3099,658.642,822.20715,404.61063,560.647,615.62616,793.91534,456.1087,504.15237,462.31186,667.27814,394.60043,443.42938,527.36115,581.4556,661.5129,813.4644,499.9945,548.47833,535.10895,700.6748,575.8874,622.489,613.1845,881.09357,539.04376,616.37415,592.854,629.37604,472.27023,657.6963,501.35886,600.64954,520.6958,638.1947,708.0501,575.9406,711.31213,592.3171,347.58206,558.77936,451.13394,555.4809,461.2344,495.78217,523.2328,671.87683
2053,805.5955,798.936,562.1678,640.58905,604.22,766.53625,629.4054,765.2618,572.0945,619.6658,811.3161,490.56345,613.4664,597.9092,804.8985,607.5819,633.42804,407.36774,644.0539,556.89154,657.5075,637.0685,737.8306,538.7753,949.68945,535.7687,514.5593,541.8326,669.75543,521.3568,552.10254,496.63666,494.9082,385.66132,624.8489,609.27386,643.9312,681.0976,851.01184,515.18,637.6675,584.61865,787.91895,572.4293,646.37494,557.68884,794.6521,577.9079,660.0729,661.56805,784.4545,595.85156,580.3038,561.5869,725.8907,508.95673,603.7735,846.75684,480.28458,660.7221,667.1399,475.994,439.80035,400.1414,574.89136,574.7018,639.9411,510.25208,630.3231
2054,614.672,837.83984,579.3268,590.32336,591.70667,777.41864,714.5084,725.3403,649.5722,629.8579,850.1884,441.34006,565.83325,542.4268,627.1934,627.9843,767.13226,517.38354,584.4566,487.96405,623.806,802.5564,806.2744,673.3159,780.91693,506.01627,620.5992,484.08087,650.5976,380.58997,678.21625,647.3807,646.81104,344.92038,678.8617,419.68365,707.1562,651.6197,778.77045,582.2908,549.6204,605.2579,917.1818,575.43854,654.5094,647.6597,758.0708,647.3793,572.3017,606.2453,775.7016,636.7718,575.9265,455.4936,776.94446,529.1235,561.9524,629.2004,438.9287,565.4448,694.80023,455.30643,433.5321,499.595,561.0468,513.5101,617.2796,511.48456,777.4287
2055,729.6165,845.11316,475.43848,610.18097,660.175,833.85846,567.69366,887.5375,658.0003,759.2703,748.16876,450.89944,532.9246,527.77026,701.20325,562.7357,671.0397,459.98056,551.54565,554.05804,678.64185,650.3627,815.58563,574.5467,960.49994,437.291,592.80865,585.0232,718.9457,492.41385,498.35083,514.9803,625.34265,566.36194,680.92316,530.3927,567.92267,597.19775,766.29095,553.8435,718.6603,635.91345,778.0474,558.41327,704.6916,642.1001,830.13684,559.9,543.6113,597.73773,806.8845,574.123,601.0303,586.26245,614.32623,447.25296,572.889,674.36005,444.1216,662.7288,739.71375,513.67566,620.19226,466.69016,549.1596,649.641,590.28503,557.2547,750.71783
2056,632.51355,961.06006,519.7077,763.8748,543.9844,689.85785,768.61884,822.83167,659.2484,625.6175,791.1745,436.43277,644.1896,580.92505,639.64294,577.4402,713.93884,379.2883,677.94714,584.5234,647.4756,727.8437,577.9062,690.46857,959.5728,498.64246,550.928,544.87805,812.6063,403.931,446.59995,346.43796,821.65936,381.71133,565.63745,572.8317,733.28674,709.89825,831.5408,499.6233,716.8837,568.1563,781.7938,557.3999,654.2451,646.48083,866.11914,578.3273,646.8687,619.6445,737.2884,581.7498,737.5818,516.8511,694.183,559.0603,592.178,746.41473,419.80832,661.235,832.43994,364.3736,499.09735,422.66858,540.9529,493.73337,643.192,527.17255,616.07385
2057,692.2006,754.74866,585.6742,773.6132,662.3096,697.83575,635.48944,696.3936,662.8751,546.12946,874.0411,491.44644,574.66974,608.7116,813.56323,612.37524,657.2497,594.00214,628.2478,555.9113,742.75616,645.21295,702.3636,654.4843,896.95386,503.85208,528.42664,636.1593,678.2812,486.68164,491.39093,635.7514,640.3329,452.97635,746.4855,564.7015,709.17096,754.97974,776.8406,549.5142,709.7591,587.8188,823.3757,566.7965,718.2661,613.48315,868.0011,595.26514,603.47723,634.1677,828.5031,587.28156,600.5514,459.91354,608.77936,574.8576,611.73987,722.9693,545.2946,551.31976,712.74524,439.1403,480.3847,406.67072,561.7069,514.45807,668.0294,617.23145,807.3874
2058,738.7654,858.7251,484.2011,697.56067,507.0856,650.722,773.78046,771.8719,683.96906,742.81866,883.8468,423.71304,615.2415,535.9908,725.6341,621.96924,656.8355,581.302,732.92065,504.7652,741.3227,773.9155,730.51166,714.6299,937.3232,461.4209,601.3005,558.72107,796.35114,544.5936,669.23505,531.32855,607.0655,506.9897,629.0423,531.0276,584.27515,634.6108,866.0175,594.956,633.7392,691.09814,923.96075,566.7296,781.57776,577.45123,799.9424,596.2349,611.7291,637.41046,834.2849,576.0273,596.9474,481.0013,704.12286,669.0698,562.0248,863.50006,462.79498,737.6389,849.72784,412.179,514.3148,485.85785,606.14856,560.20654,589.4511,575.0089,766.4941
2059,733.4262,985.3248,586.5936,750.0435,708.0417,832.8487,596.8974,693.3353,671.1074,769.02466,812.8097,517.05707,614.2478,693.4987,742.69073,687.41724,769.0378,544.7786,574.4276,630.88776,670.5787,743.916,753.6198,754.5525,971.69763,406.79407,748.7198,633.9883,687.2804,567.3413,481.3833,360.3038,692.0689,486.8368,817.3742,585.8191,761.0373,727.72797,849.57874,496.6373,671.1731,730.37445,721.44037,610.4771,739.2733,577.48956,840.8482,600.66724,646.9236,738.0509,859.0879,563.9684,566.32196,508.1273,645.2679,573.12396,532.17004,918.43506,485.94083,637.75946,659.0656,388.56503,499.68665,506.94064,581.29834,481.93817,584.0024,538.00653,708.9161
