year,ACCESS1-0_rcp45_r1i1p1-cooling_degree_day,ACCESS1-0_rcp85_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp26_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp45_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp60_r1i1p1-cooling_degree_day,bcc-csm1-1_rcp85_r1i1p1-cooling_degree_day,BNU-ESM_rcp45_r1i1p1-cooling_degree_day,BNU-ESM_rcp85_r1i1p1-cooling_degree_day,CanESM2_rcp26_r1i1p1-cooling_degree_day,CanESM2_rcp45_r1i1p1-cooling_degree_day,CanESM2_rcp85_r1i1p1-cooling_degree_day,CCSM4_rcp26_r1i1p1-cooling_degree_day,CCSM4_rcp45_r1i1p1-cooling_degree_day,CCSM4_rcp60_r1i1p1-cooling_degree_day,CCSM4_rcp85_r1i1p1-cooling_degree_day,CESM1-BGC_rcp45_r1i1p1-cooling_degree_day,CESM1-BGC_rcp85_r1i1p1-cooling_degree_day,CNRM-CM5_rcp45_r1i1p1-cooling_degree_day,CNRM-CM5_rcp85_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_rcp26_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_rcp45_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_rcp85_r1i1p1-cooling_degree_day,GFDL-CM3_rcp26_r1i1p1-cooling_degree_day,GFDL-CM3_rcp60_r1i1p1-cooling_degree_day,GFDL-CM3_rcp85_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp26_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp45_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp60_r1i1p1-cooling_degree_day,GFDL-ESM2G_rcp85_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp26_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp45_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp60_r1i1p1-cooling_degree_day,GFDL-ESM2M_rcp85_r1i1p1-cooling_degree_day,inmcm4_rcp45_r1i1p1-cooling_degree_day,inmcm4_rcp85_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp26_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp45_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp60_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_rcp85_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp26_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp45_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp60_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_rcp85_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp26_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp45_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp60_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_rcp85_r1i1p1-cooling_degree_day,MIROC-ESM_rcp26_r1i1p1-cooling_degree_day,MIROC-ESM_rcp45_r1i1p1-cooling_degree_day,MIROC-ESM_rcp60_r1i1p1-cooling_degree_day,MIROC-ESM_rcp85_r1i1p1-cooling_degree_day,MIROC5_rcp26_r1i1p1-cooling_degree_day,MIROC5_rcp45_r1i1p1-cooling_degree_day,MIROC5_rcp60_r1i1p1-cooling_degree_day,MIROC5_rcp85_r1i1p1-cooling_degree_day,MPI-ESM-LR_rcp26_r1i1p1-cooling_degree_day,MPI-ESM-LR_rcp45_r1i1p1-cooling_degree_day,MPI-ESM-LR_rcp85_r1i1p1-cooling_degree_day,MPI-ESM-MR_rcp26_r1i1p1-cooling_degree_day,MPI-ESM-MR_rcp45_r1i1p1-cooling_degree_day,MPI-ESM-MR_rcp85_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp26_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp45_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp60_r1i1p1-cooling_degree_day,MRI-CGCM3_rcp85_r1i1p1-cooling_degree_day,NorESM1-M_rcp26_r1i1p1-cooling_degree_day,NorESM1-M_rcp45_r1i1p1-cooling_degree_day,NorESM1-M_rcp60_r1i1p1-cooling_degree_day,NorESM1-M_rcp85_r1i1p1-cooling_degree_day
2016,543.5935,370.6584,444.38474,396.57468,398.0433,515.7824,532.2136,469.95895,451.05115,442.04327,484.8453,517.3322,412.6225,478.48807,521.6832,453.32574,500.44333,417.63626,333.05087,388.12344,387.366,515.848,405.2752,431.75186,509.66632,465.8356,594.1203,450.1399,447.31992,500.90863,379.29913,422.97354,506.5467,418.06122,255.64284,433.6635,396.5242,556.3451,530.4175,523.48926,613.3184,505.53278,419.17316,459.5118,454.0762,401.42343,457.40317,292.37207,428.48746,378.71957,381.75885,419.20145,462.7582,425.39532,436.66446,588.79144,542.4152,542.3137,464.07928,448.75134,420.32034,421.1069,328.59628,303.52527,317.4667,301.61768,378.46936,565.9981,389.2332
2017,423.01352,444.21164,507.15292,415.20886,421.4981,517.908,577.5407,540.7161,512.9203,516.2234,538.00903,567.6292,380.0127,421.62683,471.02243,546.4073,490.46576,520.624,384.35297,419.69458,446.47687,478.03677,499.10428,497.72305,649.13293,568.10504,439.54678,459.50186,478.7099,605.7753,486.98956,353.23373,396.08777,383.81696,310.82214,523.63983,389.9722,474.42337,492.81085,387.14276,399.72617,473.91284,389.2895,480.3917,479.05762,385.3446,491.8494,391.58566,409.308,438.17603,483.62363,451.026,406.95712,396.49942,385.81888,467.69708,624.49603,548.9889,437.40332,386.26883,353.78662,356.4031,353.16208,369.9915,395.1466,465.00604,336.74573,411.78687,462.76636
2018,573.78375,534.556,431.36728,436.52634,477.75204,512.9151,513.04816,655.1727,373.41946,550.3323,590.0796,495.92477,441.47522,511.1315,562.8664,511.21368,456.0407,332.34958,428.63184,337.63983,358.03418,487.01596,504.50687,496.37302,559.0994,566.49243,476.16565,395.66925,426.33572,316.85336,461.6502,368.4165,370.0528,439.75552,529.6696,465.41928,507.00647,431.37408,442.56088,494.3694,404.8893,432.7854,500.48886,518.2789,443.35684,403.4901,479.045,409.51685,442.50745,464.83063,419.15326,413.19476,397.80414,511.8914,465.84412,493.77188,512.09515,520.59454,400.99564,441.57706,500.97546,426.71616,317.43307,340.59912,325.1096,399.90894,401.43564,537.64685,422.44647
2019,544.23694,614.3622,453.73044,447.44928,482.26932,507.06366,442.53067,489.11337,488.1124,530.04114,501.31348,452.42822,404.98758,432.2504,529.6763,474.3836,484.74063,367.49063,393.40045,478.67596,408.09995,474.36978,620.15576,541.7148,657.0366,481.63913,446.3852,507.91296,518.91656,545.99725,366.031,402.54584,516.4663,396.24374,544.1416,547.58044,412.00015,404.76178,576.95386,431.2241,566.99023,489.88428,526.76184,500.01523,426.1727,420.472,481.52032,435.62598,401.608,414.50208,442.79968,388.847,375.18488,391.94788,441.1468,435.65927,497.91757,478.09616,447.40195,454.70883,415.06296,383.49084,420.4723,356.3889,370.22205,492.96985,425.02127,422.52588,511.28702
2020,513.91547,645.4164,545.6229,481.1553,320.6316,467.4666,494.73065,461.1075,574.68195,504.2255,486.2668,588.8828,524.1399,440.46008,485.00027,609.84174,377.1492,349.31778,505.80783,464.90402,490.85522,619.4165,522.1079,620.7086,595.8113,468.2373,477.57184,354.5267,368.76135,548.1183,406.78018,568.0006,369.9769,463.68134,325.20865,479.35486,541.46204,518.4198,459.1875,451.81686,415.98608,537.0922,443.8053,493.40158,543.66296,404.60605,444.80063,381.1704,424.546,553.5774,489.02823,418.6719,380.5575,418.17792,452.879,458.06885,467.26706,575.21533,488.65164,510.5923,437.6636,397.99817,387.5144,501.56113,364.32382,499.2036,483.988,361.73553,456.20905
2021,384.10028,465.94907,573.5624,453.3672,412.8065,566.09576,576.478,574.06464,534.3685,536.07404,605.9306,479.0944,461.8828,462.8119,491.9059,558.3832,419.5151,482.49783,497.92706,434.05988,430.19156,508.25372,625.5438,513.7927,413.83975,560.49194,372.2022,483.96924,519.1257,426.74023,429.36066,501.69073,317.15512,390.42258,385.7069,497.39185,514.4313,514.0227,506.19305,448.16003,450.07935,429.84723,484.50684,465.6274,508.84454,484.52347,458.71915,369.34344,480.65564,454.12585,496.9843,384.0362,484.50684,403.19968,434.60614,555.45856,397.38858,527.45087,480.2267,469.04327,574.1626,383.64014,340.4118,428.04538,402.14136,363.92575,589.6812,437.84064,543.9703
2022,387.60318,574.41895,466.4269,484.99213,397.02875,394.76556,551.6685,539.6258,504.41898,499.7194,522.2267,517.0607,497.71777,381.2561,441.36716,498.66223,461.83923,369.87817,585.73785,413.8981,407.81488,484.62006,455.0207,440.93933,560.9523,469.43295,466.24686,324.70932,540.13007,545.3749,356.80847,410.28137,368.00494,350.75726,287.408,523.044,472.3167,502.68964,475.919,497.15323,420.6576,582.4012,474.81262,513.3102,425.97104,429.78552,469.43127,383.53317,411.97153,426.63623,508.72858,556.9158,382.80634,390.87524,468.15112,538.8966,433.03082,490.7263,491.0305,500.32278,510.5463,390.68057,433.6707,344.84555,387.36697,472.61383,494.22098,431.43213,547.9828
2023,458.66867,531.70624,422.6759,558.01733,398.7509,522.024,525.0726,513.5404,480.64413,383.11273,531.36914,501.38324,444.10312,497.19193,392.2128,535.99744,473.1783,464.38754,492.3439,409.0311,482.6814,546.78,614.3937,602.5529,523.065,563.21814,405.17313,379.22278,523.3721,405.01398,421.24194,593.19366,550.0275,354.10736,829.20685,594.5625,490.1224,417.04956,541.5261,512.4439,417.3,540.6162,449.65646,569.6744,425.82043,498.52548,440.27643,466.8341,445.55807,449.53156,496.54272,458.56558,420.32053,465.57693,397.99454,459.39694,561.6957,619.3202,425.22482,374.24002,540.167,455.5901,461.10333,423.09952,405.72342,602.4803,551.39075,461.28418,515.36383
2024,499.89548,454.6258,597.22894,421.84415,344.2554,520.9912,491.70987,634.6677,532.5146,581.0202,620.7839,569.0478,479.13528,471.05234,613.55365,457.5225,485.1496,395.77722,370.688,422.1081,385.13147,504.29532,572.4368,523.599,571.60284,391.95828,435.07513,386.9831,363.18192,477.71088,462.9667,414.70044,546.3582,308.64487,376.71936,482.06143,516.9396,574.1492,543.60956,462.92636,521.37646,381.43784,609.0927,511.99167,460.1027,441.55923,469.75363,457.39624,439.51373,389.0676,507.26993,450.24335,518.61426,439.37338,476.43066,570.23035,524.4091,439.41135,451.19995,474.01956,583.4255,344.9266,428.05142,363.32245,437.34613,599.4484,356.45633,488.9999,472.07755
2025,460.88336,666.6053,444.49234,611.87744,430.49734,533.81726,597.0506,558.857,501.76605,512.08856,565.04596,484.69055,525.2913,563.6054,475.4319,491.16138,505.82675,395.485,422.07086,482.58676,509.1013,536.8719,668.6545,566.6754,647.8322,496.3758,483.56174,428.98288,463.84442,359.61047,349.0345,554.3413,403.90903,350.55328,272.4323,588.7318,419.28442,460.29272,445.7022,454.43414,479.86542,437.06622,490.92203,512.56195,460.34793,428.42697,529.1423,466.0275,387.83112,440.0356,408.06262,539.7582,506.47717,563.22375,403.40314,496.66547,505.5202,481.13043,436.40485,602.0179,456.05054,402.2118,337.2881,451.96817,450.24908,514.5582,439.05527,390.13657,433.50763
