year,ACCESS1-0_rcp45_r1i1p1-heating_degree_day,ACCESS1-0_rcp85_r1i1p1-heating_degree_day,bcc-csm1-1_rcp26_r1i1p1-heating_degree_day,bcc-csm1-1_rcp45_r1i1p1-heating_degree_day,bcc-csm1-1_rcp60_r1i1p1-heating_degree_day,bcc-csm1-1_rcp85_r1i1p1-heating_degree_day,BNU-ESM_rcp45_r1i1p1-heating_degree_day,BNU-ESM_rcp85_r1i1p1-heating_degree_day,CanESM2_rcp26_r1i1p1-heating_degree_day,CanESM2_rcp45_r1i1p1-heating_degree_day,CanESM2_rcp85_r1i1p1-heating_degree_day,CCSM4_rcp26_r1i1p1-heating_degree_day,CCSM4_rcp45_r1i1p1-heating_degree_day,CCSM4_rcp60_r1i1p1-heating_degree_day,CCSM4_rcp85_r1i1p1-heating_degree_day,CESM1-BGC_rcp45_r1i1p1-heating_degree_day,CESM1-BGC_rcp85_r1i1p1-heating_degree_day,CNRM-CM5_rcp45_r1i1p1-heating_degree_day,CNRM-CM5_rcp85_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_rcp26_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_rcp45_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_rcp85_r1i1p1-heating_degree_day,GFDL-CM3_rcp26_r1i1p1-heating_degree_day,GFDL-CM3_rcp60_r1i1p1-heating_degree_day,GFDL-CM3_rcp85_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp26_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp45_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp60_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp85_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp26_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp45_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp60_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp85_r1i1p1-heating_degree_day,inmcm4_rcp45_r1i1p1-heating_degree_day,inmcm4_rcp85_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp26_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp45_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp60_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp85_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp26_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp45_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp60_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp85_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp26_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp45_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp60_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp85_r1i1p1-heating_degree_day,MIROC-ESM_rcp26_r1i1p1-heating_degree_day,MIROC-ESM_rcp45_r1i1p1-heating_degree_day,MIROC-ESM_rcp60_r1i1p1-heating_degree_day,MIROC-ESM_rcp85_r1i1p1-heating_degree_day,MIROC5_rcp26_r1i1p1-heating_degree_day,MIROC5_rcp45_r1i1p1-heating_degree_day,MIROC5_rcp60_r1i1p1-heating_degree_day,MIROC5_rcp85_r1i1p1-heating_degree_day,MPI-ESM-LR_rcp26_r1i1p1-heating_degree_day,MPI-ESM-LR_rcp45_r1i1p1-heating_degree_day,MPI-ESM-LR_rcp85_r1i1p1-heating_degree_day,MPI-ESM-MR_rcp26_r1i1p1-heating_degree_day,MPI-ESM-MR_rcp45_r1i1p1-heating_degree_day,MPI-ESM-MR_rcp85_r1i1p1-heating_degree_day,MRI-CGCM3_rcp26_r1i1p1-heating_degree_day,MRI-CGCM3_rcp45_r1i1p1-heating_degree_day,MRI-CGCM3_rcp60_r1i1p1-heating_degree_day,MRI-CGCM3_rcp85_r1i1p1-heating_degree_day,NorESM1-M_rcp26_r1i1p1-heating_degree_day,NorESM1-M_rcp45_r1i1p1-heating_degree_day,NorESM1-M_rcp60_r1i1p1-heating_degree_day,NorESM1-M_rcp85_r1i1p1-heating_degree_day
2026,2090.5312,2110.2722,2362.8198,2337.3586,2536.38,2253.4382,1994.7255,2309.386,2127.3625,2392.8955,2150.7605,2290.9163,2642.04,2383.6008,2361.6501,2145.611,2236.9338,2314.021,2177.1128,2329.5435,2168.8347,2519.714,2311.6714,2164.2878,2299.687,2585.8545,2161.4553,2535.014,2261.435,2457.895,2381.1501,2356.304,2468.1584,2390.1272,2615.9858,2235.3655,2189.0017,2324.824,2502.4807,2228.9688,2222.743,2230.8264,2251.3215,2495.5962,2221.7458,2526.2068,2283.9922,2005.6433,2194.2783,2492.5725,2271.9824,2096.0752,2171.7966,2084.4397,1975.6339,2572.0667,2471.0615,2111.744,2152.8984,2323.0125,2150.9712,2298.465,2401.475,2643.6675,2482.0566,2291.9023,2136.6929,2167.7803,2433.615
2027,2105.1665,2167.3003,2306.6973,1693.903,2353.5657,2306.5076,2370.1484,2207.2383,2300.7058,2156.2402,2362.2852,1935.5889,2209.039,2085.5068,2129.49,2260.3755,2669.8757,2459.8655,2456.7903,2292.5618,2663.0679,2477.7593,2487.7659,2096.5447,2180.8792,2489.8772,2380.868,2258.9758,2436.3657,1844.7008,2330.9333,2542.321,2295.9521,2462.66,2359.5518,2359.729,2177.264,2144.006,2229.9885,2138.218,2351.678,2554.761,2065.5964,2059.534,2381.526,2125.435,1941.4935,2249.971,2187.7485,2157.166,2127.2773,2290.1025,2201.376,2314.3728,2747.731,2239.6003,2597.583,2467.4648,2157.7612,2235.7563,2293.717,2672.7349,2321.8667,2574.7456,2451.9119,2762.7441,2386.2634,2506.725,2414.1702
2028,2037.4102,1840.0161,2306.7317,2350.039,2212.3853,2948.4197,2228.7183,2050.8423,2240.8857,2441.985,2136.2983,2270.623,2317.2114,2134.461,2100.7537,2119.2095,2471.591,2085.195,2299.2874,2400.6975,2483.7136,2695.0386,1968.0869,2762.5408,2256.4407,2610.2476,2298.8333,2541.7932,2233.848,2563.764,2546.4717,2618.2454,2541.6443,2158.0398,2565.2676,2684.8438,2226.9707,2582.4434,2249.386,2391.4062,2082.3635,2361.7766,2577.135,2135.622,1992.6857,2122.4656,2081.2412,2477.0872,2310.673,2117.2825,2304.8425,2370.1416,2353.6287,2085.129,2327.945,2497.4067,2513.6775,2014.9459,2041.5332,2706.8599,2576.047,2799.8015,2587.486,2592.6494,2632.5654,2354.243,2405.567,2501.2683,2357.4185
2029,2139.1711,2132.5254,2563.7837,2446.9873,2541.8308,2060.7239,2025.8049,2301.6084,2583.4353,2268.4524,2223.0317,2360.157,2416.5078,2360.4893,2585.1675,2229.798,1991.8337,2434.19,2403.151,2366.1482,2120.229,2176.7861,2411.6155,2267.2651,2376.5117,2201.3323,2554.7512,2474.224,2253.1536,2295.3828,2214.214,2138.8584,2582.8918,2460.152,2627.2798,2270.4294,2429.6665,2089.3892,2008.8507,2142.676,2173.2205,2695.451,2415.733,1995.3608,2040.0455,2235.5137,2049.6023,2233.0374,2534.9932,2368.977,1862.4098,2093.3438,2453.7964,2012.2513,2030.8523,2340.0884,2516.6196,2292.2498,2063.1936,2354.6843,2685.5635,2577.7776,2780.5413,2439.1934,2372.4407,2245.8735,2404.3948,2564.9707,1934.4159
2030,2234.2666,2037.5203,2154.3752,2664.0117,2206.5415,2037.8989,1825.6163,2085.0854,2070.3296,2015.3462,2344.4329,2268.6958,1724.2706,2588.3638,1823.1642,2135.6116,2230.2483,2234.0686,2159.6584,2632.0305,2010.5902,2136.4583,2522.333,2094.4902,2334.4873,2376.9062,2115.661,2180.2122,2415.023,2312.2136,2455.9656,2369.8467,2244.6833,2729.549,2270.669,2283.8064,2059.813,2615.4014,2253.6287,2540.6892,2149.2112,2212.1877,2186.3743,2235.9836,2099.63,2241.2217,2025.7686,2191.5234,2247.3606,2315.304,1921.217,2043.4113,2074.6592,2624.867,2115.5984,2381.8787,2475.6396,2147.572,2232.2478,2522.9841,2086.2195,2450.1946,2400.5881,2550.8103,2762.589,2517.1345,2194.7354,2269.8037,2361.3398
2031,2309.2021,2485.462,2098.585,2550.3635,2381.3013,2208.95,2214.8333,2802.9583,1854.3579,2284.9077,2595.1091,1893.7708,2389.6377,2510.9995,1919.5881,2560.1597,2183.402,2259.9138,2129.3804,2589.0059,2159.8623,2103.3484,2018.5105,2391.2131,1954.2246,2523.3992,2471.5654,2198.098,2066.3335,2483.895,2428.251,2476.7244,2328.1697,2569.5474,2471.814,1994.5967,2062.181,2375.235,2220.9578,2196.0098,1875.4485,2410.7964,2253.3027,2122.9788,2045.5117,2378.6035,1982.6945,2074.0442,2258.1147,2170.4177,2018.2576,2212.1938,2038.2191,2341.554,2019.0496,2361.97,2334.3313,2246.7864,2535.8176,2297.969,1821.6489,2333.582,2549.5864,2514.0784,2480.3015,2443.9382,1910.7109,2380.5977,2628.2969
2032,2225.6143,2172.463,2490.7734,2123.7158,2444.984,2405.3086,1936.7401,2095.8274,2193.8494,1834.9536,2529.7212,2081.0884,2341.5857,2264.5642,2194.2378,2134.0735,2126.28,2248.49,2342.6213,2467.918,2287.9763,2262.6829,2280.6116,2042.5148,1744.008,2514.6252,2412.6826,2685.8828,2166.0842,2115.0022,2255.9429,2660.2197,2158.8394,2559.484,2336.9421,2116.5554,2401.3137,2324.901,2248.9492,2678.1448,2416.6577,1980.9043,2337.6768,2020.346,2237.561,2304.831,1979.353,2269.1487,2063.2002,2389.3076,2505.8215,2302.295,2046.5338,2162.722,1940.2439,2263.8828,2558.3442,2005.0685,2364.3167,2218.7056,1975.3966,2865.1506,2804.9822,2786.5256,2809.0654,2229.273,2371.7256,2182.2336,2043.6989
2033,2190.913,2551.1636,2179.2048,2131.7502,2468.2712,2207.0942,2241.2673,1908.5214,2443.5625,2129.3682,1975.721,2184.4294,2149.6868,2290.3528,2290.3547,2509.158,2231.7136,2128.1445,2308.1733,2286.6887,2708.2808,2047.7845,2228.8347,2031.1746,1955.6257,2492.6074,1911.7166,2353.6128,2322.7458,2321.7266,2209.5376,2190.9421,2092.4473,2508.9844,2230.3364,2264.9033,2110.3542,2262.2017,2102.772,2049.674,1980.4929,2453.7822,2163.6975,2181.911,2027.0137,2106.2578,2174.7964,2342.7747,1951.0204,2265.1782,2211.4539,2275.6821,2552.248,2211.4685,1934.4899,2431.677,2693.615,2411.4185,2267.688,2172.8728,2169.9058,2391.2883,2458.641,2652.4028,2477.4827,2496.4978,2313.729,1898.8381,2228.797
2034,2281.1492,2195.9023,2192.0186,2361.1096,2602.8335,2277.0625,2460.3113,2252.969,2377.2317,2179.805,2181.5278,2297.0964,2371.9814,2257.3506,2389.4407,2302.7585,2356.8274,2541.1333,2166.4158,2124.5972,2427.2725,2095.631,2087.4585,2275.335,2024.16,2378.875,2132.0093,2431.8298,2331.7302,2363.469,2350.0413,2430.8013,2509.4019,2533.8604,2425.8188,2105.4963,2142.5435,2463.214,2287.2537,1917.2979,2314.063,2511.0713,2394.2869,1812.781,2355.0918,1955.1213,2120.263,2503.0986,2511.0303,2169.9827,1875.8875,2197.561,2225.4817,2308.3013,2242.359,2213.7957,2187.1938,2253.555,2326.3423,1783.8395,1760.2979,2578.8865,2392.2163,2656.993,2678.256,2274.4602,2185.3215,2367.2375,2234.6926
2035,2520.9907,2358.195,2131.9822,2368.9531,1991.6932,2179.9495,2304.158,2310.0989,2036.6257,2049.5415,1994.1144,2194.242,2501.4443,1900.3055,2287.0764,2571.313,2304.5732,2337.831,2546.7405,2112.148,2465.9019,2235.9263,2330.8088,2086.6206,2297.8833,2411.1611,2280.1707,2148.3977,2086.3208,2490.9675,2247.0166,2097.3054,2166.2,2162.7346,2487.1125,2233.5232,2141.222,2158.3188,2097.9426,2494.8713,2287.1462,2575.054,2120.5564,2247.8809,2062.2556,2280.6284,1782.2341,2325.2502,2037.2222,2392.4407,2111.3574,2549.4204,2439.1868,1994.0244,2173.9485,2430.5583,2216.6824,2080.0767,2291.5225,1815.8588,1992.7675,2372.657,2358.6255,2493.5771,2419.4915,2151.5906,1989.8738,2288.6804,2057.868
2036,1770.4065,1984.3741,2398.0786,2136.2349,2382.3372,2165.5227,1969.5507,1976.7358,2195.6763,2126.4607,2171.3171,2204.5486,1930.5061,2537.554,1836.3892,2070.1985,2188.6492,2260.6343,2395.842,2223.355,1983.6669,2188.627,2571.8225,2386.07,2167.147,2439.348,2529.4487,1963.2247,2310.12,2354.4185,2360.2876,2132.9917,2677.545,2373.7986,2368.0718,2251.1829,2024.1846,2117.2668,2155.8665,2088.2053,1972.4696,2479.9724,2251.5645,2205.7913,2150.0542,2275.6812,2289.3994,2096.693,2005.1509,1850.5967,1976.9662,2009.9454,2258.4292,2317.6697,2203.1306,2496.5671,2365.147,1760.2495,2288.9473,2117.4768,2175.453,2348.6406,2792.5383,2219.3438,2503.2249,2373.498,2095.8208,1847.1183,2319.9143
2037,2237.5117,2281.6885,2392.1016,2085.1194,2576.9119,2365.609,2151.1929,2115.0513,2149.7942,2326.3416,2517.35,2390.7507,2120.8105,2485.2034,2422.2512,2241.6345,2189.7734,2361.3882,2277.0725,2097.2517,2237.472,2545.7766,2312.015,2111.206,2248.8528,2577.392,2180.7168,2494.2705,2141.4717,2189.2148,2396.2844,2351.0735,2092.8706,2434.2495,2332.3787,2414.944,2015.5562,2423.1199,2175.337,2003.2368,2429.9065,2116.3914,2039.9344,1805.57,1956.1145,2433.7332,2103.2751,1882.4774,2086.409,1862.8226,1903.4512,2352.4858,2450.804,2381.6309,2098.1726,2296.503,2505.3274,1974.752,2226.0525,2050.7537,2312.2036,2330.9668,2743.15,2246.087,2477.1333,2040.2177,2632.2603,2185.274,1997.44
2038,3041.0237,2300.9287,2083.9778,2171.2703,2405.0435,2116.1218,2229.4207,2005.7014,1902.958,2260.2236,1976.1779,1947.1095,2275.6104,2305.7812,1730.8489,2170.894,2114.5767,2242.71,2210.3481,2656.394,2292.4084,2245.557,1438.2366,2112.819,2389.2742,2481.4553,2187.7366,2456.8958,2373.4,2449.9639,2642.5103,2450.9497,2059.8042,2317.9797,2240.5005,2249.705,2196.211,2313.9045,2091.914,2166.2283,1873.4551,2396.6338,2093.0522,2166.1611,2039.3689,2262.9277,1968.3712,2202.7493,1998.8667,2142.8855,1950.8915,2387.6548,2481.822,2605.8545,2321.12,2440.491,1763.4113,2041.2771,2337.1892,2243.7034,1933.8021,2033.1298,2497.1848,2661.6182,2461.9348,1945.7269,2076.529,2508.9304,2323.1125
2039,2142.3054,2405.815,2126.7246,2214.7747,1970.9475,2277.4553,1885.2842,2442.275,1996.8461,1915.6514,2105.7793,2282.8735,2241.589,2339.2202,1784.9182,1813.7123,2296.7246,2242.7603,2264.3296,2342.748,2026.6555,2360.9282,1991.2784,2400.5637,2263.5366,2351.559,2435.107,2212.9065,2119.2573,2082.564,1987.8673,2593.8203,2493.9783,2323.343,2225.3396,1868.122,2133.154,2121.9797,2283.3691,2192.7131,1868.2097,2150.9583,2072.6748,2105.3398,2267.9614,2385.9983,1987.667,2189.1924,1714.1257,2294.0745,2157.813,2314.64,2250.189,2403.048,2199.145,2170.8745,2237.4668,1989.0468,2484.3628,2266.0256,2008.4745,2702.6826,2544.3445,2314.3284,2194.382,2578.6863,2197.8625,1900.5493,2336.6135
2040,2196.357,2098.242,2476.2632,2442.4958,2056.939,2554.5945,1517.8608,2585.193,2285.4265,2070.168,1947.6322,2383.9043,1834.5934,2436.643,2186.8955,2306.4922,2041.492,2378.163,2152.6577,2214.3154,1980.4574,2104.7292,2110.712,1878.2212,1939.1836,2359.7576,2150.2368,2331.7698,2473.099,2110.6782,2165.064,2246.674,2457.6758,2487.5798,2174.4395,2172.758,2144.2256,2288.915,1993.0231,1993.0734,1830.969,2312.8875,2075.5232,2072.4214,2176.631,2177.1372,2229.7358,2093.2356,2338.9548,2190.1252,2062.3662,1974.1897,1952.6154,2209.9448,2152.1702,2195.2612,2157.7476,2130.1396,2171.5598,2416.0657,2352.75,2506.5476,2534.7512,2728.2195,2091.813,2287.1948,2201.3738,2030.1202,1913.0414
2041,1940.3936,2271.2427,2178.9744,2101.509,2501.456,2286.391,1704.7068,2216.4128,2268.674,2009.7472,2184.9363,1692.0573,2362.942,2347.4846,1903.2454,2178.3875,2209.7742,2340.0369,2403.2266,1774.2487,2574.8047,2324.9084,2182.6274,2633.5833,2061.9272,1890.7084,2142.378,2393.6807,1884.4268,2558.3901,2212.2021,2314.1377,2460.4646,2470.954,2450.7114,1963.3634,1938.0345,2155.9863,1787.3779,2019.7218,2014.5784,2243.5344,2403.3516,1953.1779,1816.1982,2156.9438,2210.6543,2255.493,2315.028,1953.266,1956.241,2102.8025,2172.889,1973.3037,1754.8497,2524.0315,2036.521,2126.2642,2140.9045,2293.4412,2130.2556,2402.4192,2139.1958,2935.036,2321.8347,2514.2478,2071.4285,2032.7351,1959.2747
2042,2644.742,2164.3455,2354.87,2102.8838,1947.009,2162.9993,2421.4072,2019.9346,1985.0123,2176.6968,2532.1206,2188.2588,1967.503,2332.274,2200.6514,2121.1677,2010.9573,2188.697,1908.8557,2177.784,2045.7649,2068.6997,2105.6123,2383.8352,1992.2957,2177.1145,2380.5781,2418.8416,2246.0361,2358.9915,2363.8967,2581.6377,2197.4604,2365.4866,2510.052,2455.1123,2289.3464,2164.7485,2018.6327,2139.321,2091.4858,2421.4521,2037.2412,1998.4185,1945.898,2160.8464,2109.032,2104.7288,2107.1428,2166.4104,1927.225,2192.724,1861.3794,2138.8179,2031.6366,2029.3025,2044.5167,1986.4738,2580.641,2527.9392,2120.478,2675.0208,2526.1553,2495.6545,2047.4512,2253.3079,2351.9229,2553.3806,1957.0262
2043,2625.2842,2066.4521,2124.135,2499.5725,2263.7593,1941.0168,1552.3362,1827.8632,2387.8157,2139.688,1873.9138,2606.915,1895.1489,2025.9144,1888.6858,2396.5103,1904.6028,2252.9814,1857.3641,2239.2654,2460.0002,2397.5535,1898.175,2010.2708,2187.736,2344.386,2427.596,2208.7278,2081.6665,2169.6553,2095.1416,2380.306,2440.7432,2308.5842,2350.3225,1764.9612,1755.5771,1887.1389,1849.8074,2084.793,2020.0454,2219.1658,2129.6824,1962.5895,2253.338,2155.793,2197.9482,1973.2051,2333.0735,2161.3467,2155.584,1672.8726,2337.9282,2083.8213,2129.0444,2207.4124,2102.9834,2455.3313,2700.0828,2259.3083,2013.3726,2363.9038,2188.7717,2440.595,2251.8604,2103.015,2387.0615,2497.3762,1766.1104
2044,2300.304,2025.1644,2597.7334,2269.9895,2584.8203,2221.316,2094.3376,2410.9006,2286.2393,2062.1492,2009.7485,2330.0818,1807.9814,2306.5986,2260.6292,2267.135,2012.5958,2175.553,1968.8162,2414.4795,1899.9159,2506.0447,2108.624,2264.9548,2242.325,2362.831,2021.614,2524.629,2148.691,2103.3396,2347.613,2057.4097,2401.3044,2178.5068,2196.8406,2446.6099,2185.8228,2004.293,2065.9834,2411.697,2399.0266,2000.8768,2186.847,2077.7578,2198.3381,2154.931,1615.0653,2070.4438,2375.7073,2241.673,1894.9973,2142.3743,2517.5125,2243.2314,1992.0931,2521.8645,2469.1028,1937.0496,2432.1296,1745.9469,2500.514,2588.2341,2400.3108,2676.552,2362.2031,2349.537,2441.0823,2221.8782,2285.0962
2045,1892.2897,1935.4066,2248.9265,1982.7076,2516.8357,1800.2765,2106.2207,2166.5027,1774.4666,1792.4622,2090.3938,2126.1611,2187.2507,2437.6724,2096.254,1758.4308,1877.5339,1977.8998,2196.736,2021.7976,2246.9897,2141.4363,2429.7532,1914.1028,2079.2053,2325.1604,2158.8657,2226.3545,2337.198,2400.0571,2541.719,2297.2756,2736.7566,2575.679,2389.2478,1981.0509,2344.16,2074.9402,2159.084,2161.0842,2136.0303,2054.652,2120.9973,2082.9426,1946.424,1934.8689,1842.778,1947.1956,2146.3586,1937.9459,2088.4292,1891.3726,1893.1714,1981.2072,1906.3488,1990.9381,1941.1577,1961.0392,2461.2937,2259.3647,2160.7031,2352.6765,2460.1309,2408.4456,2159.2046,2446.3777,2662.1643,2264.5747,2465.9343
2046,2261.5576,1995.0529,1964.569,2344.3347,2581.622,2049.447,2107.6182,1704.7408,2370.3235,1930.9507,2060.4924,2250.0005,2014.2848,2484.758,2188.9514,1995.1964,2348.382,1997.1881,1998.3652,2102.6577,2022.3508,2153.0498,1869.939,2034.851,1940.5471,2527.4766,1863.4628,2021.8745,2172.3755,2622.5586,2287.073,2203.276,2128.2607,2455.3325,2387.053,2368.675,2113.5315,1926.9696,2028.5472,2562.847,2266.0864,2473.928,2187.2505,2027.1128,2000.8228,1916.5924,1834.5488,2279.8135,1808.7,1639.2156,2226.0596,2280.1685,1924.5415,2032.944,2023.6534,2319.0781,2147.9736,2506.1426,2505.0115,2281.5237,2561.499,2188.0361,2511.3694,2438.889,2343.3096,2004.6086,1522.8896,2128.0945,1896.7614
2047,2637.638,1900.7332,2075.2163,2270.728,2262.8433,1980.7616,2266.679,1787.9022,2205.2954,2325.2822,2251.4229,2222.5063,2053.8613,2352.5317,1855.6906,2278.7278,1720.8843,2241.731,2135.6462,2392.469,2015.975,2240.044,1967.5073,2139.4785,2215.9548,2400.6833,2280.3018,2114.0112,2180.0425,2697.3896,2252.945,2410.743,1951.8461,2349.5222,2293.9912,2217.4607,2192.2788,2400.439,1922.8622,2173.7883,2419.0571,2341.8389,2027.5884,2096.923,1888.2622,1979.069,1907.1388,2070.6218,2148.556,2113.436,2096.477,2046.7578,1969.6432,2267.8403,1880.0764,2259.63,2551.3293,2153.6638,1899.5466,1733.7037,2203.1084,2527.327,2388.7048,2671.5579,2254.566,2202.3945,2241.676,2458.2673,2304.3105
2048,2062.528,2238.143,2516.6072,2512.5237,1957.7256,2285.7175,2346.3904,2316.8638,2116.7952,2057.3193,2163.0706,1791.8253,2317.0625,2461.551,1853.6044,2149.8826,1909.1405,2079.3613,1914.665,2132.722,2002.0459,2007.5988,2388.8433,2242.1035,2325.361,2133.4346,2217.6667,2230.9878,2275.1895,2448.583,2106.812,1923.1514,2590.0078,2406.6638,2234.1492,2267.5723,2012.0931,1947.1045,2186.9812,1879.4396,2200.3987,2439.1572,2146.2449,2358.266,2106.1917,2043.4624,1744.6567,2271.4727,2108.511,2271.6448,1606.9907,2412.8494,2349.283,1947.3552,1991.5184,2174.8298,2339.2944,1977.3325,2165.3855,2229.9402,1920.2509,2503.9102,2701.364,2439.481,2357.575,2258.072,1973.9497,2439.0112,2023.9717
2049,2307.0903,1720.8903,2529.2866,2391.3608,1938.444,2019.4943,1792.6366,1811.3954,2234.306,2055.1404,1946.4347,2176.9832,2069.5579,2013.5314,2110.3486,1992.2397,2003.2286,2357.3367,1804.2522,2361.5242,1866.2012,2315.4883,2006.6434,1891.8134,2047.9253,2294.7761,2101.8887,2179.4592,2166.0896,1838.1088,2353.1367,2380.4973,2285.9868,2143.478,2330.842,1740.0757,2257.7559,2515.8162,1967.9908,2110.8855,2263.5427,2140.1118,2266.827,2138.8306,1794.0992,2026.9495,1719.1489,1756.8029,2043.9592,1884.5023,2006.0782,1940.1355,2239.6638,2199.4167,1922.5072,2332.223,2373.0576,1964.4688,2154.0964,2118.6438,2589.5286,2590.8892,2650.5896,2351.734,2588.965,2057.6382,2219.914,2410.293,1924.8021
2050,2249.4758,2111.9238,2637.4146,2298.533,2250.0774,1847.6964,2253.3208,1866.2302,2273.3977,2142.0212,2076.034,2275.8303,2019.948,1960.2493,1934.4023,2288.1526,2023.2128,2200.713,2121.919,2366.0955,2259.146,1870.1053,2151.2527,2334.6885,2137.6873,2177.7173,2560.7039,2082.512,1647.638,2290.743,2087.1414,2337.4688,2228.237,2366.5632,2226.8318,2170.4436,2362.762,2572.1445,1925.7336,2106.421,2087.097,2217.3394,2195.0066,2134.4705,1944.0382,2145.792,1593.8219,2497.8252,2037.5406,2402.3335,1692.9556,2030.6373,2037.9517,2223.804,1572.0463,2097.5764,2346.691,2215.1052,2182.5925,2239.4417,1982.2666,2686.683,2459.7688,2279.6943,2202.7551,2608.2578,2344.2058,1750.4824,1699.851
2051,2227.078,2002.7025,2284.7876,2208.6746,2090.8596,2255.4678,2239.6008,2235.8123,2033.1785,2316.2039,2017.878,2103.5774,1965.1625,2352.043,2137.596,2107.992,1883.6582,2169.1726,2007.5316,2022.591,2135.5352,2120.7031,1855.3439,2223.1533,1677.2947,2527.3684,2268.9976,2208.3887,2003.0743,2261.657,2478.783,2097.8328,2290.2236,2206.3074,2523.929,2178.0857,1896.4697,2370.7534,2084.238,2245.9338,2281.0867,2244.1204,2166.5627,1919.6643,2129.3926,2151.8154,1845.6763,2360.732,1976.2653,1903.9011,1791.11,2131.3079,1991.3701,2162.5425,1811.3073,2779.657,2586.6418,2256.633,1618.4841,2112.872,1632.0775,2670.6536,2190.0796,2587.5647,2722.7563,2177.8596,2132.418,2169.9646,2105.499
2052,1941.477,1942.4608,2042.3387,1978.4017,2509.3567,2194.0671,1901.8074,1918.4019,2001.4414,2238.266,2061.948,2019.0702,2203.6384,2120.21,1915.9501,1738.9547,2106.42,2108.3699,2169.7463,2288.9978,2004.5372,2519.6228,2090.7144,2264.8125,1890.7295,2586.0425,2479.6775,2033.3347,1948.119,2318.1768,2298.1235,2479.2307,2217.522,2303.2036,2450.3872,2428.6523,1957.1365,2196.8784,1957.3864,2300.732,2095.1555,2590.0767,2419.0955,1982.6023,2159.7314,2152.0454,1880.1199,2197.6118,2262.4158,2219.8765,1790.6053,2315.8013,1923.11,2226.7065,2147.7744,2572.3982,2522.8835,2139.7688,2204.2834,2242.0977,1698.8123,2594.8425,2346.7131,2274.5757,2125.7615,2439.4592,2639.5906,2426.5518,2041.1998
2053,2127.0676,2316.6558,1939.271,2532.5032,1959.3641,1763.0808,2135.0796,1797.7532,2126.2554,2302.2542,2138.5579,2167.974,1810.6498,2209.4307,1884.1724,2146.3882,2201.4087,2486.6758,2136.6775,2442.9207,2239.806,2308.0132,2116.2903,2174.4648,2030.6118,1987.4426,2245.503,2103.8472,2219.258,2552.4075,2257.582,2206.608,1945.9723,2727.8232,2163.374,2185.817,2048.9854,2061.8455,2044.6365,2235.1428,2005.4259,2194.506,1963.6749,2115.95,2031.9596,2197.6523,1925.5396,1862.1405,2028.588,2206.5012,1853.3285,2168.8213,1955.4336,1789.505,1835.4247,2457.4253,2269.769,1885.5038,2398.451,1736.3285,2194.705,2151.969,2514.6467,2399.5996,2103.7417,2404.766,2219.2734,2607.151,2095.8406
2054,2202.342,1775.4929,2326.5474,2005.9042,1930.8162,1920.6516,1613.4467,1919.1904,1917.2963,2163.2598,1752.5286,2322.932,2001.0135,2081.1816,1349.6212,2073.4521,2083.8132,1956.1176,2084.5361,2319.795,2185.8157,1878.5787,2466.8464,2185.5369,1710.6084,2095.7598,2205.0774,2235.8782,2296.0317,2376.812,2096.6904,2035.8616,1942.6589,2428.6865,2296.1753,2035.9819,1932.9719,2248.184,1995.0171,1967.9093,2066.2612,2616.248,2004.8967,2300.911,1768.3881,2047.6825,1958.7534,1868.4266,1867.0199,1954.2609,2004.1892,2003.979,1726.7454,2263.5913,1850.3673,2363.5376,2425.9639,2478.0435,2063.2852,2123.4219,2451.5188,2463.668,2480.3367,2483.2378,2218.9246,2327.4644,1907.1735,2301.8013,2106.8167
