year,ACCESS1-0_rcp45_r1i1p1-heating_degree_day,ACCESS1-0_rcp85_r1i1p1-heating_degree_day,bcc-csm1-1_rcp26_r1i1p1-heating_degree_day,bcc-csm1-1_rcp45_r1i1p1-heating_degree_day,bcc-csm1-1_rcp60_r1i1p1-heating_degree_day,bcc-csm1-1_rcp85_r1i1p1-heating_degree_day,BNU-ESM_rcp45_r1i1p1-heating_degree_day,BNU-ESM_rcp85_r1i1p1-heating_degree_day,CanESM2_rcp26_r1i1p1-heating_degree_day,CanESM2_rcp45_r1i1p1-heating_degree_day,CanESM2_rcp85_r1i1p1-heating_degree_day,CCSM4_rcp26_r1i1p1-heating_degree_day,CCSM4_rcp45_r1i1p1-heating_degree_day,CCSM4_rcp60_r1i1p1-heating_degree_day,CCSM4_rcp85_r1i1p1-heating_degree_day,CESM1-BGC_rcp45_r1i1p1-heating_degree_day,CESM1-BGC_rcp85_r1i1p1-heating_degree_day,CNRM-CM5_rcp45_r1i1p1-heating_degree_day,CNRM-CM5_rcp85_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_rcp26_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_rcp45_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_rcp85_r1i1p1-heating_degree_day,GFDL-CM3_rcp26_r1i1p1-heating_degree_day,GFDL-CM3_rcp60_r1i1p1-heating_degree_day,GFDL-CM3_rcp85_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp26_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp45_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp60_r1i1p1-heating_degree_day,GFDL-ESM2G_rcp85_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp26_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp45_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp60_r1i1p1-heating_degree_day,GFDL-ESM2M_rcp85_r1i1p1-heating_degree_day,inmcm4_rcp45_r1i1p1-heating_degree_day,inmcm4_rcp85_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp26_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp45_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp60_r1i1p1-heating_degree_day,IPSL-CM5A-LR_rcp85_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp26_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp45_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp60_r1i1p1-heating_degree_day,IPSL-CM5A-MR_rcp85_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp26_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp45_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp60_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_rcp85_r1i1p1-heating_degree_day,MIROC-ESM_rcp26_r1i1p1-heating_degree_day,MIROC-ESM_rcp45_r1i1p1-heating_degree_day,MIROC-ESM_rcp60_r1i1p1-heating_degree_day,MIROC-ESM_rcp85_r1i1p1-heating_degree_day,MIROC5_rcp26_r1i1p1-heating_degree_day,MIROC5_rcp45_r1i1p1-heating_degree_day,MIROC5_rcp60_r1i1p1-heating_degree_day,MIROC5_rcp85_r1i1p1-heating_degree_day,MPI-ESM-LR_rcp26_r1i1p1-heating_degree_day,MPI-ESM-LR_rcp45_r1i1p1-heating_degree_day,MPI-ESM-LR_rcp85_r1i1p1-heating_degree_day,MPI-ESM-MR_rcp26_r1i1p1-heating_degree_day,MPI-ESM-MR_rcp45_r1i1p1-heating_degree_day,MPI-ESM-MR_rcp85_r1i1p1-heating_degree_day,MRI-CGCM3_rcp26_r1i1p1-heating_degree_day,MRI-CGCM3_rcp45_r1i1p1-heating_degree_day,MRI-CGCM3_rcp60_r1i1p1-heating_degree_day,MRI-CGCM3_rcp85_r1i1p1-heating_degree_day,NorESM1-M_rcp26_r1i1p1-heating_degree_day,NorESM1-M_rcp45_r1i1p1-heating_degree_day,NorESM1-M_rcp60_r1i1p1-heating_degree_day,NorESM1-M_rcp85_r1i1p1-heating_degree_day
2016,2361.4392,2501.4827,2496.5808,2265.7913,2606.9658,2295.0195,2078.1367,2650.6223,2305.8032,2467.7542,2042.0929,2275.702,2061.074,2294.3203,2058.3076,2562.1333,2404.2917,2149.0234,2749.4543,2587.5112,2552.5698,2298.9182,2777.8015,2306.7668,2793.752,2453.231,2204.7004,2427.2297,2477.688,2120.581,2845.364,2514.4683,2326.121,2313.9492,2548.897,2139.6677,2070.6702,2353.1567,2184.3892,2018.2393,2162.015,2248.2744,2681.8806,2228.254,2544.647,2550.7004,2246.4988,2480.8909,2321.8594,2637.1963,2544.1833,2274.5874,2439.6016,2720.8242,2256.5898,2319.2393,2395.0854,2360.839,2628.463,2392.9604,2235.416,2492.557,2668.8987,2251.2986,2790.766,2379.9138,2324.1914,2160.266,2379.5027
2017,2402.9263,2308.894,2583.046,2285.8887,2748.0393,2467.383,2020.853,2705.155,2192.8962,2301.2979,2334.6584,2156.5325,2287.7097,2436.8335,2436.7935,2444.6047,2414.8337,2499.6028,2577.2725,2170.0457,2368.4675,2505.055,2173.532,2577.3323,2191.9602,2329.0898,2234.1921,2126.1653,2172.9126,2568.804,2676.3745,2605.1067,2138.1924,2393.638,2590.5776,2235.0588,2206.4116,2390.826,2593.7832,2571.6912,2230.494,2173.7842,2341.6843,1973.4547,2451.0479,2313.5803,2878.8896,2159.7397,2503.0408,2724.1963,2420.559,2025.2062,2439.637,2475.6956,2603.1082,2670.2285,2182.0334,1939.0101,2387.9697,2209.5798,2760.0437,2472.2778,2514.4805,2850.7014,2833.6562,2143.2036,2554.5452,2440.3447,1705.2803
2018,2665.3833,2426.716,2575.8367,2696.556,2146.652,2497.4202,2450.0652,1876.2942,2257.9226,2316.625,2280.9004,2102.5686,2334.6965,2477.359,2428.3076,2260.5825,2309.4932,2552.7944,2198.6987,2404.6846,2334.5193,2508.448,2266.369,2383.8936,2077.8318,2296.4578,2312.4653,2530.909,2055.3813,2597.8984,2318.0486,2575.0837,2482.4062,2424.0864,2160.3357,2120.8496,2244.518,2193.0046,2283.9548,2670.5542,2270.2002,2309.5122,2646.556,2331.4224,2514.165,2579.8186,2516.3604,2439.6348,2177.8542,2232.978,2729.2874,2086.2266,2355.5427,2419.2893,2305.2097,1848.6361,2282.5789,2159.2268,2207.6797,2482.2795,2540.475,2695.8452,2482.9185,2659.2517,2657.1636,1950.1769,2131.3484,2476.83,2229.498
2019,2340.396,2375.9705,2197.1917,2505.3162,2631.6016,2502.9321,2555.646,2143.673,2177.9592,2164.3293,2300.9363,2366.5405,2320.2998,2633.1753,2422.4556,2164.3665,2582.2043,2745.6262,2274.1863,2153.961,2434.009,2249.9595,2090.7039,2317.05,2005.2765,2358.549,2399.4937,2509.2148,2490.1077,2204.0295,2443.006,2787.1604,2347.4229,2328.1716,2338.1606,2589.5415,2495.923,2463.0186,2261.399,2359.794,2708.2083,2085.6216,2561.8467,2545.4275,2247.1265,2488.5806,2034.8082,2120.3328,2315.7812,2307.2068,2255.1157,2448.6646,2229.6245,2536.294,2210.1636,2104.3845,2285.8162,2024.0057,2020.7712,2502.4946,2197.1272,2678.0251,2603.7336,2482.4626,2476.2322,2399.2134,2447.6216,2513.6406,2418.951
2020,2389.539,2454.061,2290.5483,2396.9297,2792.3335,2099.2659,2213.796,2736.724,2168.2344,2420.7468,2106.817,2085.976,2045.3391,2235.821,1825.1674,2131.3828,2120.6643,2532.6948,2180.0835,2319.7603,2501.9993,2250.0667,2272.3892,2340.4111,2332.701,2223.3882,2260.2693,2622.5913,2470.222,2262.636,2486.0884,2320.4246,2557.734,2773.3174,2812.0322,2279.614,2390.856,2492.6428,2707.1543,2175.4978,2076.7725,2001.5033,2418.607,2115.4224,2349.4514,2406.8574,2326.337,2483.0403,2180.688,2593.8591,2256.7825,2414.4387,2229.1765,2041.3674,2572.2979,2584.6738,2550.6748,2402.622,2698.9978,2453.0347,2103.8528,2506.8655,2527.9268,2535.043,2424.292,2324.205,2309.0388,2709.5725,2283.494
2021,2256.1284,3016.274,2312.5193,2310.9492,2398.4321,2144.6719,1834.9258,2295.662,1978.8918,2187.9746,2629.3325,2322.586,2000.8949,2519.641,2211.8489,2450.7412,2482.4863,2304.4973,2460.5483,2449.4192,2469.5735,2514.987,2010.1421,2219.1406,2357.1567,2384.9814,2399.21,2589.7183,2130.153,2194.4028,2288.7715,2369.1802,2701.1624,2337.0771,2300.6475,2137.0156,2262.3237,2306.8357,2351.771,2239.4985,2429.1133,2617.0588,1941.8467,2189.021,2411.0,2338.3467,2332.4927,2698.2659,2477.6245,2255.4763,2111.1655,2252.2148,2441.7175,2297.366,2236.5706,2323.6262,2477.8965,2733.09,2439.184,2233.096,1959.8551,2354.172,2477.5867,2956.7937,2411.832,2781.5613,2508.3367,2347.7573,2385.359
2022,2276.3557,2020.2583,2244.645,2297.157,2216.5913,2104.723,2311.032,2279.812,2131.4448,2662.4568,2020.363,2488.3926,2498.3687,2249.5981,2589.87,2365.8486,2313.8972,2355.4197,2819.9316,2873.2397,2350.2556,2312.148,2212.8442,2263.485,2152.8726,2538.9922,2349.8757,2735.398,2487.847,2118.7947,2655.331,2448.4653,2415.1833,2581.6106,2508.7024,2920.9722,1966.1818,2277.1558,2490.8472,2443.9973,2212.31,2163.916,2382.7048,2298.6897,2215.8386,2313.034,2048.4785,2413.9175,2249.2031,2270.8157,2202.481,2144.735,2330.1758,2640.3013,2375.8738,2437.076,2196.5847,2538.169,2337.069,2245.543,2622.2058,2780.6897,2612.6094,2531.8958,2568.379,2138.9822,2323.1853,2233.797,2481.2764
2023,2249.9197,2219.8438,1879.1083,2287.2715,2388.2512,2226.3281,2247.2295,2773.7158,2256.5388,2195.238,2025.411,2476.9238,2153.647,2249.406,2715.616,2884.2644,2073.4014,2336.978,2164.5269,2093.5696,2199.5825,2279.6584,2196.5823,1941.7329,2659.357,2419.669,2560.4268,2566.9954,2330.5427,2584.278,2090.3752,2378.0457,2454.0515,2537.0818,2049.1775,2368.4277,2190.594,2560.6736,2457.9673,2036.1816,2309.9692,2509.3506,2407.1084,2343.084,2352.2822,2190.192,2300.8281,2229.4858,2569.7158,2506.8035,2263.3347,2013.2784,2297.6875,2003.5618,2421.2993,2170.5923,2049.354,2360.1028,2527.2383,2574.127,2397.5295,2766.557,2554.5618,2947.1995,2478.528,2289.7727,2581.104,2627.846,2112.4153
2024,2182.7588,2501.8289,2261.1003,2477.0852,2557.5884,2329.871,2545.3357,2390.7969,2209.8,2374.1714,2356.7983,2152.6768,2469.2559,2345.3418,2145.128,2191.834,2452.1802,2533.1602,2510.123,2230.1792,2113.5989,2561.8184,2510.0903,2413.276,2301.9436,2408.4082,2224.4902,2541.348,2509.4395,2307.6155,2243.8977,2455.651,2199.1523,2421.4648,2435.325,2005.5446,2236.0176,2395.9358,2107.382,2315.228,2367.8652,2181.669,2447.533,2296.7659,2117.5527,2313.08,1900.7118,2105.8113,2038.2742,2576.0303,2118.0334,2024.1276,2250.4673,2365.0198,2222.574,1977.9009,2342.7136,2192.7173,2352.3833,2384.5303,2400.9578,2323.6875,2556.8462,2646.4448,2386.646,1885.0626,2519.4204,2386.218,2064.6243
2025,1958.4229,2197.0916,2272.5415,2345.4082,2816.7314,2076.128,1982.1251,2042.8062,2176.0007,2279.99,2316.1943,2305.2969,2336.5347,2267.173,1977.3109,2723.6702,2261.6338,2176.7537,2286.7468,2300.2578,2517.6162,2263.1484,2212.945,2115.276,2131.6238,2555.4617,1894.2693,2242.897,1993.3395,2452.8594,2488.8782,2059.6282,2273.8093,2451.4673,2498.565,2356.0999,2459.1414,2193.409,2600.848,2729.6182,2417.1519,2312.3943,2243.284,2089.158,2367.112,2239.1895,2010.8092,2426.828,2016.9464,1980.0671,2235.5823,2118.093,2201.0996,2444.7776,2642.543,2025.3627,2299.5166,2376.959,2277.485,1879.8545,1976.1631,2534.8506,2253.0627,2350.1948,2279.565,2457.1936,2055.1638,2439.8474,2132.1394
