year,ACCESS1-0_rcp45_r1i1p1-growing_degree_day,ACCESS1-0_rcp85_r1i1p1-growing_degree_day,bcc-csm1-1_rcp26_r1i1p1-growing_degree_day,bcc-csm1-1_rcp45_r1i1p1-growing_degree_day,bcc-csm1-1_rcp60_r1i1p1-growing_degree_day,bcc-csm1-1_rcp85_r1i1p1-growing_degree_day,BNU-ESM_rcp45_r1i1p1-growing_degree_day,BNU-ESM_rcp85_r1i1p1-growing_degree_day,CanESM2_rcp26_r1i1p1-growing_degree_day,CanESM2_rcp45_r1i1p1-growing_degree_day,CanESM2_rcp85_r1i1p1-growing_degree_day,CCSM4_rcp26_r1i1p1-growing_degree_day,CCSM4_rcp45_r1i1p1-growing_degree_day,CCSM4_rcp60_r1i1p1-growing_degree_day,CCSM4_rcp85_r1i1p1-growing_degree_day,CESM1-BGC_rcp45_r1i1p1-growing_degree_day,CESM1-BGC_rcp85_r1i1p1-growing_degree_day,CNRM-CM5_rcp45_r1i1p1-growing_degree_day,CNRM-CM5_rcp85_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_rcp26_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_rcp45_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_rcp85_r1i1p1-growing_degree_day,GFDL-CM3_rcp26_r1i1p1-growing_degree_day,GFDL-CM3_rcp60_r1i1p1-growing_degree_day,GFDL-CM3_rcp85_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp26_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp45_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp60_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp85_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp26_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp45_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp60_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp85_r1i1p1-growing_degree_day,inmcm4_rcp45_r1i1p1-growing_degree_day,inmcm4_rcp85_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp26_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp45_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp60_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp85_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp26_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp45_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp60_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp85_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp26_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp45_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp60_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp85_r1i1p1-growing_degree_day,MIROC-ESM_rcp26_r1i1p1-growing_degree_day,MIROC-ESM_rcp45_r1i1p1-growing_degree_day,MIROC-ESM_rcp60_r1i1p1-growing_degree_day,MIROC-ESM_rcp85_r1i1p1-growing_degree_day,MIROC5_rcp26_r1i1p1-growing_degree_day,MIROC5_rcp45_r1i1p1-growing_degree_day,MIROC5_rcp60_r1i1p1-growing_degree_day,MIROC5_rcp85_r1i1p1-growing_degree_day,MPI-ESM-LR_rcp26_r1i1p1-growing_degree_day,MPI-ESM-LR_rcp45_r1i1p1-growing_degree_day,MPI-ESM-LR_rcp85_r1i1p1-growing_degree_day,MPI-ESM-MR_rcp26_r1i1p1-growing_degree_day,MPI-ESM-MR_rcp45_r1i1p1-growing_degree_day,MPI-ESM-MR_rcp85_r1i1p1-growing_degree_day,MRI-CGCM3_rcp26_r1i1p1-growing_degree_day,MRI-CGCM3_rcp45_r1i1p1-growing_degree_day,MRI-CGCM3_rcp60_r1i1p1-growing_degree_day,MRI-CGCM3_rcp85_r1i1p1-growing_degree_day,NorESM1-M_rcp26_r1i1p1-growing_degree_day,NorESM1-M_rcp45_r1i1p1-growing_degree_day,NorESM1-M_rcp60_r1i1p1-growing_degree_day,NorESM1-M_rcp85_r1i1p1-growing_degree_day
2026,979.6354,823.4781,881.9428,1027.0375,946.7789,971.53516,1046.1364,885.3405,973.72076,1141.0938,949.5348,929.6595,841.642,900.03955,849.4761,931.1696,804.18054,923.3357,747.2918,969.4979,979.767,889.43933,999.69727,1056.3218,981.15015,941.95184,914.14844,955.1511,1036.9955,934.9391,904.1546,919.6633,858.9888,810.7906,665.86725,842.48663,956.25323,860.87085,1023.19244,1026.1722,1023.4156,940.7048,959.374,906.9609,874.6911,825.3718,984.02405,905.3872,891.687,854.33704,834.9849,984.96436,940.86786,940.1645,940.1967,819.746,938.7455,967.09796,936.3529,948.7268,886.5348,800.9728,835.6092,825.11926,899.44574,1016.6261,963.0913,767.88306,1058.3818
2027,974.8831,952.1553,1005.77856,1081.7162,786.6949,902.5073,1035.8939,1092.4758,984.189,1083.8397,1009.7472,991.35187,930.831,923.6035,883.22797,981.0771,849.3826,883.3806,812.19904,841.29706,839.391,839.3294,912.58136,993.54785,956.13837,748.0324,823.46564,922.02057,740.5232,953.0218,942.2731,807.56165,1007.45544,784.20856,775.71716,988.12115,1051.0828,945.8511,928.39374,1022.2899,959.7172,752.3783,1002.4919,966.1057,1022.49884,866.6997,1021.89734,875.06256,879.8757,1004.2491,943.55005,829.1852,943.4261,876.437,902.85583,1041.1722,839.68634,969.86346,916.0465,999.2327,944.26807,793.93604,767.3736,746.49445,819.5939,855.27264,958.3398,931.7567,915.53265
2028,959.6102,1085.6493,873.9345,966.7193,917.9739,891.5986,926.829,1051.9036,907.52423,971.5963,987.3246,920.6202,924.3924,905.81976,880.91077,970.5782,894.51965,1063.7563,965.4974,987.48456,854.9081,934.896,1170.818,896.55145,1087.1482,1008.2418,938.9531,792.4661,925.8796,827.8779,858.30695,814.855,861.0238,781.4509,828.2101,869.36597,974.03937,947.18616,972.04517,854.7645,961.77985,936.54395,1015.0743,889.11926,872.0522,864.62823,1052.6147,926.87537,951.36084,988.12695,994.109,871.01746,1004.59015,988.1687,863.22375,976.5385,901.66473,1050.7855,940.2189,879.8143,996.9836,839.8883,756.5428,753.29706,819.03296,933.33295,824.54376,908.3316,988.4133
2029,900.6915,989.21295,960.883,913.0683,907.1734,845.59436,1004.7867,983.37317,858.3656,1067.059,1053.9298,843.7075,931.4865,859.7798,991.9386,863.5416,961.68005,816.1891,883.4607,949.72174,818.7038,908.42865,1088.3744,881.9048,985.5801,839.0433,764.8525,700.0835,897.68365,996.00397,899.72864,1079.8636,852.0742,749.8103,593.5672,964.3945,1114.8167,1051.1688,1016.0407,991.5083,996.8779,878.1703,1028.9727,982.9934,965.629,903.1782,983.14197,958.27594,836.6656,886.02136,1110.4802,925.30597,940.4923,923.0459,937.4831,951.6533,836.93365,1062.5074,1033.5703,1123.909,827.2206,838.2667,766.93243,808.0846,829.4756,752.10706,1015.37964,883.9765,943.35297
2030,970.3131,1046.1289,1041.3009,854.4914,936.6989,984.2202,922.6902,1026.05,999.76227,941.2053,944.6789,860.0248,985.44385,823.7569,1007.52545,857.01227,925.0021,930.5243,845.66,924.94196,1031.0754,981.68665,914.5224,1144.5822,1021.1682,882.5172,1006.0084,867.88617,899.1881,824.2764,873.89,790.64307,1100.0295,754.23083,939.1484,1003.1481,917.8015,909.20734,920.1934,887.64667,892.3763,978.3262,925.69635,922.50494,970.6513,817.14233,1044.7206,925.4947,857.45496,907.46655,1005.9873,922.4306,883.31964,852.26056,1043.6648,852.01294,992.8566,955.71533,937.96564,967.0385,962.3353,688.7993,807.7115,813.0836,894.4662,775.0197,1007.51074,754.72394,911.2759
2031,985.0045,907.5086,1074.0541,798.5625,827.6992,920.4238,1248.1995,974.5779,963.8472,1008.09924,1005.2754,1131.0662,933.1448,853.693,902.3159,781.317,839.09344,822.78973,801.5769,956.11725,996.12445,945.0918,1229.2098,1021.7908,1245.042,992.9407,780.41235,768.30206,1118.0775,950.97156,1022.74976,850.864,912.3351,820.31946,876.5251,968.24164,984.7347,931.81354,1098.3171,811.72296,1078.03,797.78253,957.6542,891.731,912.86975,965.03674,1037.6993,946.48694,944.2967,943.9517,1061.0624,919.3501,879.69824,884.71277,1020.75104,959.821,909.59106,907.9585,728.5505,837.5928,1051.8864,760.23615,735.6501,782.701,851.75757,967.0935,900.2588,864.3402,876.53406
2032,935.9413,1027.7554,902.09033,1025.5991,859.2634,1076.4335,1037.253,1206.1608,980.1727,1004.8502,924.3118,982.4202,937.28033,940.35974,995.97266,952.47797,918.88794,849.59076,743.436,942.03174,954.9366,981.60754,1000.8874,1217.4805,1240.5271,948.2959,928.817,871.6248,1110.0645,1083.85,840.73944,844.60284,846.5155,1000.2382,886.45715,1056.9321,917.46246,988.8113,1014.185,842.58966,1098.1338,1054.9556,849.03784,920.08826,960.19183,931.7446,1057.0334,820.34607,867.2004,853.5943,873.0122,826.09906,896.06177,913.2399,932.76764,956.61523,848.6819,1030.5162,886.8057,1081.2988,975.87256,685.2285,892.3031,723.6746,809.981,958.9147,998.1925,855.1246,833.7927
2033,1050.2883,1192.335,1074.7173,1108.2484,887.22363,766.9678,931.2199,1015.4716,1064.5933,1018.17596,1109.7043,850.6544,991.05334,966.87866,894.8652,864.6929,853.726,931.15875,773.54834,1064.4213,932.5877,1090.3308,1182.1096,1181.0646,1067.804,910.4742,977.6741,815.2514,900.5441,930.6955,884.24176,904.4974,884.0372,922.1986,1061.2052,970.25995,1090.8673,1096.9814,1094.4396,898.9904,988.8428,937.1263,1155.2118,958.069,1009.0587,1028.0015,979.12463,859.1106,955.5793,906.6488,1014.4726,861.8962,888.2136,903.05853,1044.0795,887.645,864.43115,805.8633,846.6655,1099.6204,1101.0509,862.3643,736.7442,718.278,822.8754,940.9079,891.44244,870.67126,957.3808
2034,1056.599,1025.1013,994.7496,1014.3686,958.3389,1013.69464,971.374,1034.8347,999.516,1095.0577,1085.9608,934.70166,957.7501,872.7239,1001.89325,918.91736,1006.87054,788.3439,791.48193,948.0258,958.4448,1028.0729,1137.2551,1063.5524,1173.0819,859.0606,906.9935,858.08014,972.45416,807.6401,1006.59344,894.4742,832.62616,923.1263,794.86584,981.57776,1017.22424,1064.3939,1006.9208,1089.5345,905.4201,954.9278,939.1398,957.2899,1017.569,950.6824,1071.5104,935.4685,917.40137,984.33,1034.2328,923.79224,964.5387,864.7337,959.8976,869.6611,980.2927,901.6486,978.89124,1098.5261,1123.645,782.2499,734.2612,756.1765,767.7477,1076.404,957.5948,883.91846,918.8204
2035,884.1284,954.6703,1059.1293,1006.79877,1032.8959,925.95123,1009.7822,1035.1447,1151.0743,1058.548,1112.2909,1038.529,988.5661,898.4224,1026.7494,1045.3337,1013.58673,846.9441,916.2063,1012.75757,909.1865,973.34406,997.6802,1158.7308,1085.1332,956.73956,932.4893,966.2625,1018.85974,746.8434,816.52856,872.9228,968.3656,877.6864,904.7134,1052.5745,988.4027,905.19617,1112.9869,1095.5258,1037.4628,943.72516,1054.8824,910.6892,994.53143,936.15857,1043.7461,989.2886,989.2974,879.207,1054.0532,835.03485,897.39716,932.63434,1100.1609,893.72925,1040.8096,974.0576,907.8632,1051.9966,987.88525,787.60486,865.6991,859.2965,805.53906,944.1276,898.1851,826.88324,1129.5309
2036,1049.7836,1189.4294,1138.9869,1078.3423,978.31836,1116.2125,1057.9928,1183.3407,991.9688,1060.7151,1142.6473,911.0155,999.90936,848.65515,1024.7898,1008.22217,993.72675,742.4816,938.3266,855.84436,1111.0726,881.9216,999.2758,1048.6213,1059.4625,788.28204,914.04407,1045.2512,1146.4946,880.8779,814.301,1048.6337,759.7604,812.92236,793.03357,1046.0121,1101.3557,1013.9426,1031.7772,988.2212,1027.9928,986.4937,1099.4415,956.7423,1055.4598,935.4104,1015.1004,929.238,1002.29175,952.31616,1106.3586,975.7055,1038.9172,843.35114,1005.72736,910.92065,869.58044,1215.5757,913.63666,937.5335,987.71027,890.90295,795.35944,830.2561,818.71747,932.4674,1023.1098,1074.4816,1014.54755
2037,916.4393,999.4878,1063.7294,1073.781,921.28827,991.7009,978.87665,1143.7952,1043.5038,1014.8034,1154.2091,921.6954,983.7686,815.06793,1169.4291,916.5711,959.1247,971.1349,913.3456,940.24994,1041.5819,946.44904,1104.9534,993.95734,1071.3456,892.9607,1117.794,959.0804,990.1669,950.8607,810.2298,852.624,1007.96375,785.55756,802.69904,1083.1307,999.28107,866.19617,1244.8556,994.1737,950.2788,897.4143,1175.1005,1010.61414,956.01807,878.3272,1026.5295,895.80524,933.57306,968.94165,1051.5538,962.36,925.021,953.639,976.2072,847.03577,866.18463,1041.199,1130.2869,809.9787,1029.6808,785.20654,801.42426,971.1317,880.00885,859.6573,923.29553,767.9892,1020.19257
2038,1039.209,1168.7177,1031.9048,986.31616,1099.3085,1083.0684,931.94324,1066.2997,969.46576,1067.9066,1225.3723,917.0825,1033.1724,973.5392,968.193,997.12494,959.6056,921.0277,894.6735,859.72076,954.16907,1039.9977,1240.2482,1187.9515,1039.3121,919.0565,1006.3578,816.53546,926.6733,924.8592,827.52106,934.1413,878.4069,831.2249,631.4915,932.0584,968.6136,951.3498,1069.93,1091.4329,982.3989,921.7372,1190.3148,1104.6656,1073.6326,896.88525,1053.7056,903.07184,995.47504,1009.05853,1126.0847,1022.5394,955.4075,896.17377,931.43054,921.4614,1139.1074,1145.7965,960.38763,1002.52264,1051.2098,891.5605,906.0183,803.7818,871.35223,920.1857,1038.9282,993.8146,898.8002
2039,1077.69,1049.4053,1093.9602,889.50055,1072.8042,1014.41113,992.87225,1053.4366,1054.4285,1081.0895,1188.4849,854.73865,1055.3752,1032.6984,1253.6154,1016.9296,926.709,938.8475,944.15436,843.64166,1019.1532,1037.9283,1143.0017,984.5025,1057.8464,998.8742,967.1841,900.0721,980.536,916.80493,1041.1868,947.62354,741.52594,911.13763,933.01807,1046.4983,899.1238,1047.4125,1193.8353,849.1575,1109.4896,1069.0469,1011.42487,1034.8748,963.8523,964.6753,1028.6322,916.9187,1002.786,995.9295,1099.7015,909.60315,1030.5865,871.4271,988.4753,833.01306,960.43604,1328.1191,837.3812,897.1736,1017.6096,764.0839,922.20984,827.73773,1000.55347,800.8694,1254.6832,1066.1337,1033.6724
2040,1089.2936,1091.7291,896.07355,1061.1759,1045.4423,1090.6097,1005.65485,1007.51715,973.70123,1097.6527,1231.2977,897.8166,1043.3291,999.48755,1063.6238,938.59595,936.5509,930.87335,943.00433,978.6955,938.7101,996.7311,1152.9015,1176.5518,1116.6838,926.8933,1028.4878,884.06934,925.72833,1024.4115,1182.7953,955.80914,923.8345,794.5467,963.1355,1105.363,1110.81,1063.4602,1203.5435,945.3898,1115.3074,1035.4489,1058.5709,1120.8137,943.782,1038.058,1082.1398,1013.8924,926.4239,976.05853,1075.4398,977.4289,1126.7883,877.3531,971.5924,824.77185,1088.0345,1178.6888,952.3173,923.0285,1042.0227,792.1336,822.89655,831.6254,855.25696,877.7951,1236.0521,867.67444,1136.0164
2041,1209.4912,1266.3033,948.14886,1061.2008,1102.9938,946.4744,1055.4674,961.25085,1048.6179,1110.0542,1064.2859,1160.6669,1065.6484,886.5498,1070.1614,954.16034,1023.3101,811.8634,953.7729,988.1421,958.34125,955.3574,1136.1332,1034.7919,1211.2523,866.56323,997.1762,914.8541,1109.2446,790.5973,1012.8535,926.9917,872.2274,782.2416,709.3313,1067.2975,1023.3293,1089.4122,1195.7374,1011.6955,969.47565,1061.4712,1125.5735,1041.8267,1013.7622,930.90985,1093.1132,958.457,1009.70667,957.06146,1111.94,1022.47754,993.3526,803.4456,1035.4381,950.3824,1040.272,1030.3574,965.9752,929.66077,951.81445,747.3597,985.9151,689.43164,975.909,993.60223,1055.2253,871.3133,987.6929
2042,1004.78564,1103.6471,886.4765,996.9065,1107.4052,916.3446,1133.4424,1175.5771,1193.5349,1210.1151,1281.4326,959.49945,991.8896,983.1601,1148.0217,973.83856,1044.439,909.7663,872.8996,935.6479,937.7933,1080.5765,1145.6143,1072.6068,1335.1737,1113.8043,745.2252,928.56775,1147.3416,951.93695,786.4251,907.43066,1128.9896,919.61206,882.529,915.7363,981.1942,1061.7876,1145.5127,943.09717,1004.2523,976.2271,1067.699,1080.9855,1138.46,969.02844,1132.5062,955.20544,1112.0026,949.9259,1052.8951,923.92303,1099.4967,881.61584,981.97723,980.5631,1037.8425,1019.877,761.87305,963.8415,940.0903,803.0999,867.86206,612.9104,972.58057,1102.4624,926.9106,905.23773,1086.3394
2043,943.55035,1150.916,952.56036,886.13464,1020.23596,1078.4453,1148.4451,1157.7662,1018.78326,1051.8218,1022.8512,1066.8037,1054.5254,1031.1436,1080.7274,1061.4366,1118.0565,846.39856,1076.0438,856.0667,985.8502,994.8785,1020.6596,1120.4644,1188.5359,936.10565,1010.764,948.3701,1050.1051,859.96643,1262.631,892.37354,973.42615,697.77167,746.2656,1087.4695,1129.9574,1030.2542,1159.7262,979.3837,1145.6777,1050.3649,917.4573,1089.9569,1040.3281,1031.9205,1120.3844,1007.9895,1136.5166,966.8937,1176.5122,1022.63306,894.03357,840.3779,1030.5139,1041.1249,948.68384,958.07544,905.2853,817.3729,1182.7987,723.21045,885.57776,808.684,843.3477,905.0895,876.91034,946.8795,980.4632
2044,980.84924,1149.0101,968.7669,941.33514,993.9503,988.45105,950.06586,1108.3232,1117.9095,1035.6511,1184.4302,883.40985,1130.1494,938.35925,983.6343,880.4979,1129.3229,889.22394,1020.2241,921.07043,1014.32477,1010.207,1140.5558,1137.3881,1123.2358,909.73987,883.7068,966.40405,1144.4955,1139.2104,928.5306,1036.9541,1008.2792,747.5225,996.2986,909.154,1054.1111,1018.824,1394.8743,1108.3964,947.57697,1001.8018,983.29236,1053.1405,909.5542,1060.8724,1170.2577,1147.0297,994.6691,1030.3282,1127.8488,1066.3153,1014.9307,932.1998,1046.1564,842.45056,871.47723,1137.929,861.69196,1072.7012,969.47906,808.4122,905.74176,688.44666,929.26294,878.76074,871.9779,853.9513,1032.0869
2045,1147.4108,1096.9722,950.6864,919.66504,954.77356,1060.0021,1007.5936,1024.6376,1089.11,1044.9528,1256.9364,1089.2396,916.4806,932.2502,1026.1156,1091.2571,1078.0768,943.563,954.31006,963.282,1025.4294,1107.669,1035.2688,1255.4948,1281.0784,1085.3754,1014.1884,938.42053,894.0607,877.4749,847.5019,870.1706,894.80054,812.71936,1082.1833,1082.1741,1035.5087,1022.4186,1124.2979,960.75305,1201.1272,1104.8068,1222.9572,986.2649,1098.3379,1017.27844,1212.3296,935.47705,1113.8452,992.66016,1175.4467,990.81323,1060.3098,1039.3711,994.7286,984.0123,1071.7858,1224.938,917.69604,1049.8922,1200.2968,815.6208,787.5608,913.3359,839.4083,945.9812,1075.6351,998.41864,1250.8337
2046,1039.385,1232.9323,1163.1537,1101.1848,956.34143,1165.1405,1078.301,1299.039,966.2991,1155.2999,1217.834,931.721,1100.1124,976.4129,1027.4854,1036.1586,1101.1873,947.97876,880.6553,910.51886,1104.7795,1145.1039,1205.5247,1140.1122,1385.9867,755.0446,1194.0498,909.7004,1048.9797,955.14233,826.46265,1058.664,1019.282,813.22754,952.7193,927.28784,1062.6569,1158.7585,1265.8406,933.3628,1068.8008,1021.2083,1267.5577,1044.3939,1036.9557,1063.5167,1216.5183,1087.3284,1036.4298,1179.6932,1152.6359,848.5768,980.92444,882.93695,986.84753,963.7183,846.5615,1073.3253,903.1967,1048.4663,1027.8455,878.4233,835.79816,830.9475,965.4547,902.7163,1310.0693,970.73254,1053.5182
2047,1156.0828,1165.171,1140.7369,1109.243,949.5391,1227.4298,1105.3914,1326.9077,1071.9463,1150.4783,1180.1765,1025.5983,1027.6599,976.116,1078.2595,1095.1615,1228.2454,867.7306,1093.6549,962.38257,1082.77,1102.9369,1072.9177,1107.74,1126.8381,998.12964,941.95264,933.73096,1032.4285,882.4847,941.9035,857.39044,1002.4829,1109.3922,1058.0969,1020.2333,1074.0321,1197.063,1037.2009,954.562,1142.5692,1099.053,1244.5533,967.21356,1043.2549,1150.1327,1215.5463,1026.2462,1032.577,982.57275,1104.6548,1008.36914,1085.7812,969.64874,1064.1724,926.74585,875.3237,1235.3087,997.88635,1197.0454,1230.8906,724.9925,872.67975,836.2977,832.9259,922.5631,912.6958,905.09564,1078.3053
2048,1195.9017,1209.3379,882.56683,1071.381,1022.1952,1065.5319,1048.3058,1153.2894,1132.1381,1059.6687,1195.4907,1049.5007,919.13586,820.7717,1203.2249,978.7172,1041.7125,970.90375,1047.9525,1065.5845,1116.038,1139.7362,1145.624,910.8741,1271.5172,1048.7178,948.6365,969.21924,981.58295,767.98364,930.9251,876.6038,942.27167,898.68317,765.49634,1061.0963,1080.8455,1176.3315,1309.2117,988.74304,1064.2552,1018.82837,1316.6365,996.5801,982.3013,1035.1467,1150.1914,1104.5756,1060.8639,1039.5062,1318.3102,849.64294,1022.39185,931.1398,1220.3132,1007.1157,1091.2179,1191.6366,896.422,1179.1024,1248.1323,744.45905,836.8064,981.1297,924.5488,859.54156,1070.0764,981.6231,1350.2147
2049,1091.9331,1236.4855,1001.6247,1165.9954,1072.8,1264.5507,1200.7737,1137.2295,953.9395,1153.4869,1243.7074,874.339,1017.96674,1031.258,983.5475,1012.633,1125.8597,821.8747,1209.5552,1042.0735,1114.8901,1085.0212,1196.9794,1112.1376,1285.0798,904.8602,1104.7322,1119.2124,937.4116,853.43176,859.13873,986.4313,881.5461,1078.442,849.0778,969.2412,1199.0681,964.1521,1379.0244,1053.6663,1028.453,1232.8727,1235.1238,1011.79663,1122.7236,1024.366,1380.6128,1109.0371,1042.3346,1078.5205,1132.1632,1027.6454,1106.6984,965.52924,1128.5883,1074.1516,893.1188,1222.7094,1120.2134,974.13837,1129.9658,671.84863,877.00037,873.806,968.1463,926.0691,923.23444,831.96545,1101.6669
2050,1252.5054,1196.0037,884.7596,1179.1777,1168.4182,1260.796,1103.4697,1290.5978,1030.1002,1138.443,1203.4768,902.61804,1224.4053,1010.3325,935.73254,1108.211,1139.9078,871.38885,964.42053,990.372,1127.3584,1213.5316,1145.4828,1107.7445,1317.289,1051.6931,969.2282,891.91064,1111.4102,911.3179,1084.7808,794.76184,1023.5959,803.2669,913.5425,1040.3544,1097.7538,965.52655,1216.4142,1090.1421,1067.0251,1064.7909,1181.054,965.28876,1125.9404,1053.0199,1254.6414,940.2438,1094.8169,934.31177,1246.3358,926.4335,1075.2073,977.62805,1172.3527,892.8786,1123.6287,1095.8188,1085.1895,1018.2666,1149.9474,852.7148,846.0953,865.21405,896.75525,1025.5934,836.5492,1048.6714,1115.025
2051,1096.2299,1331.347,912.87946,1095.507,1186.1462,1170.1016,1133.9349,1163.6672,1084.7203,1053.5376,1371.8568,918.5043,1055.0037,828.5445,1098.7325,1039.1234,1111.9762,887.2031,1098.5505,1068.453,1014.7163,1078.9978,1301.2172,1124.987,1350.4581,818.3874,936.26,1002.285,1149.8073,1042.8727,788.79767,965.9027,972.4853,752.8168,804.7257,1048.3672,1157.505,940.5368,1333.0038,966.82367,1137.319,1058.3503,1217.3214,1050.8186,1067.9568,1105.9596,1216.6324,976.33606,1031.6418,1090.3394,1168.1796,1049.3945,1110.4156,1006.9023,1164.3065,939.9234,917.3137,1110.1427,1131.401,960.0603,1217.1437,836.2731,892.0931,835.6749,870.48035,862.8264,1196.0444,998.08984,1117.1248
2052,1136.8582,1286.3197,926.5867,1259.154,1212.9238,1116.0183,1208.1976,1124.6364,939.43024,1052.3953,1336.5061,916.7313,927.96313,999.1777,1193.0696,1176.8586,1071.8431,912.78876,999.2889,950.26373,1093.3392,1142.5942,1019.00574,1096.0422,1312.3722,753.74524,960.93555,1072.6404,1260.396,861.6424,951.8041,872.88324,1127.8689,804.4255,864.9121,930.39294,1025.4761,1093.1388,1310.0986,919.2006,953.16,971.31934,1144.4034,1006.72095,1072.5482,1064.7343,1384.343,949.29456,1051.7726,1028.2518,1091.437,885.446,1125.5892,933.8226,1042.7749,911.5242,1114.1202,1165.2847,1016.7069,1164.1318,1046.6342,720.74005,986.2859,873.62915,1026.9043,887.1576,924.3439,985.9311,1115.0881
2053,1288.4104,1277.1202,1004.3393,1061.647,1049.4434,1206.8962,1074.524,1263.6545,1008.42944,1040.8527,1278.0232,909.57086,1085.7476,1048.1729,1292.8696,1053.1052,1093.7073,830.688,1104.8022,993.52264,1114.6953,1068.2972,1209.4402,985.8865,1417.1168,999.6285,946.3775,976.3474,1147.2322,931.3115,939.22174,915.87537,939.22064,730.6296,1061.259,1073.3756,1113.8384,1137.4542,1321.818,944.56824,1091.4763,1042.2805,1267.9944,1013.8646,1121.377,970.28125,1258.6882,1065.1283,1131.0887,1121.6669,1271.4219,1050.6155,1033.9843,1041.0142,1220.385,914.7959,1026.6476,1375.585,883.0941,1166.952,1088.4177,917.0594,847.2089,800.56616,988.34595,1011.01624,1096.619,913.1091,1086.9963
2054,1054.5192,1335.0071,1017.18384,1026.2279,1056.1433,1245.8702,1221.4749,1201.2533,1102.6237,1089.401,1350.6176,836.10785,1004.61096,945.62085,1134.3113,1105.2667,1233.8778,978.5623,1045.2886,856.1201,1057.8722,1291.6198,1275.0453,1120.4202,1325.1511,916.93054,1044.8597,900.4921,1082.8108,759.47687,1146.2577,1124.032,1082.9231,708.76044,1099.0602,850.16016,1209.144,1089.6265,1279.7363,1012.575,1011.5607,1022.15125,1421.3494,1036.0134,1134.2744,1080.6759,1242.8442,1107.8533,1029.5062,1063.446,1234.1757,1104.2887,1036.9656,842.80194,1259.7611,950.6128,985.5495,1045.0464,885.359,1004.9828,1126.7727,845.8732,806.0267,891.0,1009.494,910.3725,1088.5172,933.2248,1230.1692
2055,1189.9342,1349.5889,863.89026,1042.0923,1106.1415,1328.164,1027.9631,1399.4884,1135.7594,1204.4615,1217.531,872.4032,977.6917,971.69464,1204.6188,988.71387,1146.1288,859.74805,954.2733,982.1714,1145.1366,1064.273,1277.9225,997.71844,1452.2512,824.0719,1026.2463,1018.4841,1171.7422,904.2862,966.5162,917.44556,1093.3502,1015.1293,1137.1205,976.09424,1012.0539,1059.1184,1249.1707,968.37384,1189.9155,1065.7478,1260.2056,977.3695,1175.2622,1105.5573,1306.158,1042.2035,992.6591,1039.3711,1282.0643,1042.1338,1090.1943,1011.76434,1097.0518,855.3311,1017.66547,1135.231,850.0758,1130.4108,1230.5372,909.66266,1053.053,873.8119,974.6708,1138.1656,1045.5066,1033.0979,1223.9434
2056,1099.1879,1469.037,931.9481,1268.4835,990.3209,1147.347,1243.8552,1383.142,1120.3518,1110.8828,1298.6775,848.0218,1134.0043,1041.8546,1096.2538,999.204,1207.566,768.17346,1150.0522,1068.2966,1119.9271,1211.4878,1009.0533,1142.9121,1477.5366,898.9606,995.3094,992.3087,1280.456,766.11755,856.2029,697.5768,1269.6322,754.7768,983.3969,982.2307,1215.1881,1183.4963,1327.9229,935.07776,1225.6771,1038.1316,1289.8055,1001.5064,1119.0061,1097.8545,1384.3551,1018.3519,1108.5128,1064.91,1252.5695,1065.4717,1228.2134,934.6346,1143.5381,1028.3778,1047.6965,1265.6897,804.71924,1110.2417,1323.96,716.8066,941.44165,798.42334,980.23553,921.1839,1055.9314,919.4607,1124.581
