year,ACCESS1-0_rcp45_r1i1p1-growing_degree_day,ACCESS1-0_rcp85_r1i1p1-growing_degree_day,bcc-csm1-1_rcp26_r1i1p1-growing_degree_day,bcc-csm1-1_rcp45_r1i1p1-growing_degree_day,bcc-csm1-1_rcp60_r1i1p1-growing_degree_day,bcc-csm1-1_rcp85_r1i1p1-growing_degree_day,BNU-ESM_rcp45_r1i1p1-growing_degree_day,BNU-ESM_rcp85_r1i1p1-growing_degree_day,CanESM2_rcp26_r1i1p1-growing_degree_day,CanESM2_rcp45_r1i1p1-growing_degree_day,CanESM2_rcp85_r1i1p1-growing_degree_day,CCSM4_rcp26_r1i1p1-growing_degree_day,CCSM4_rcp45_r1i1p1-growing_degree_day,CCSM4_rcp60_r1i1p1-growing_degree_day,CCSM4_rcp85_r1i1p1-growing_degree_day,CESM1-BGC_rcp45_r1i1p1-growing_degree_day,CESM1-BGC_rcp85_r1i1p1-growing_degree_day,CNRM-CM5_rcp45_r1i1p1-growing_degree_day,CNRM-CM5_rcp85_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_rcp26_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_rcp45_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_rcp85_r1i1p1-growing_degree_day,GFDL-CM3_rcp26_r1i1p1-growing_degree_day,GFDL-CM3_rcp60_r1i1p1-growing_degree_day,GFDL-CM3_rcp85_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp26_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp45_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp60_r1i1p1-growing_degree_day,GFDL-ESM2G_rcp85_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp26_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp45_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp60_r1i1p1-growing_degree_day,GFDL-ESM2M_rcp85_r1i1p1-growing_degree_day,inmcm4_rcp45_r1i1p1-growing_degree_day,inmcm4_rcp85_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp26_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp45_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp60_r1i1p1-growing_degree_day,IPSL-CM5A-LR_rcp85_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp26_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp45_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp60_r1i1p1-growing_degree_day,IPSL-CM5A-MR_rcp85_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp26_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp45_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp60_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_rcp85_r1i1p1-growing_degree_day,MIROC-ESM_rcp26_r1i1p1-growing_degree_day,MIROC-ESM_rcp45_r1i1p1-growing_degree_day,MIROC-ESM_rcp60_r1i1p1-growing_degree_day,MIROC-ESM_rcp85_r1i1p1-growing_degree_day,MIROC5_rcp26_r1i1p1-growing_degree_day,MIROC5_rcp45_r1i1p1-growing_degree_day,MIROC5_rcp60_r1i1p1-growing_degree_day,MIROC5_rcp85_r1i1p1-growing_degree_day,MPI-ESM-LR_rcp26_r1i1p1-growing_degree_day,MPI-ESM-LR_rcp45_r1i1p1-growing_degree_day,MPI-ESM-LR_rcp85_r1i1p1-growing_degree_day,MPI-ESM-MR_rcp26_r1i1p1-growing_degree_day,MPI-ESM-MR_rcp45_r1i1p1-growing_degree_day,MPI-ESM-MR_rcp85_r1i1p1-growing_degree_day,MRI-CGCM3_rcp26_r1i1p1-growing_degree_day,MRI-CGCM3_rcp45_r1i1p1-growing_degree_day,MRI-CGCM3_rcp60_r1i1p1-growing_degree_day,MRI-CGCM3_rcp85_r1i1p1-growing_degree_day,NorESM1-M_rcp26_r1i1p1-growing_degree_day,NorESM1-M_rcp45_r1i1p1-growing_degree_day,NorESM1-M_rcp60_r1i1p1-growing_degree_day,NorESM1-M_rcp85_r1i1p1-growing_degree_day
2016,959.4507,764.0403,854.56494,797.7069,782.8564,942.1406,980.0586,870.0846,862.2932,863.2352,934.0375,968.0211,847.5917,902.62714,976.35803,842.3868,939.63495,836.03033,687.26697,794.7854,772.37524,981.6091,743.5538,873.64514,894.2078,862.24133,1012.83325,832.2841,848.8431,909.45795,755.9542,805.4444,918.7458,810.4136,610.20306,895.7089,778.1742,984.2688,984.0982,948.33545,1077.1062,904.98755,835.11536,847.5878,850.156,780.3613,852.4529,692.45935,863.7563,752.70105,750.0726,806.70483,892.01355,805.8438,868.27893,986.4639,951.6424,972.19885,853.8784,840.56866,816.37573,814.14606,689.1742,657.37646,669.9389,687.44135,783.72235,958.6656,790.10486
2017,807.63477,830.5567,906.3679,794.2624,789.4265,926.18646,1029.2739,950.8778,922.98425,918.66205,986.5231,969.7988,789.45715,809.5524,900.3954,940.3069,909.1867,923.9007,778.5712,821.7804,861.74866,894.8345,922.72327,928.4638,1099.0343,996.7062,846.24207,873.097,884.62994,977.1603,873.6036,765.22797,784.78577,778.92957,666.31604,963.16943,802.6069,860.4041,873.401,839.8529,743.46106,915.85693,780.6422,888.4822,833.2782,774.0745,898.7666,810.4711,802.112,858.8119,901.1576,877.0687,799.6711,763.7199,760.0463,865.1612,1052.958,988.59674,815.6081,760.8119,712.25574,714.01074,746.2238,738.0171,763.9778,889.76355,707.7971,825.7049,893.0999
2018,1005.2425,946.5977,803.30994,820.3762,902.2111,939.66675,940.35516,1161.1552,765.09485,972.43134,1019.34924,945.1036,848.9485,925.3412,992.45984,944.8129,880.1891,712.0233,824.2116,713.05536,733.6775,900.35565,928.2323,949.03156,1009.916,958.4706,899.00934,778.3754,839.696,695.67786,859.54926,756.0835,757.4954,829.37366,990.0954,860.39935,957.48663,832.41956,843.4081,871.01105,880.11035,839.2816,914.7287,946.2299,841.3233,812.8753,872.5157,820.18335,865.9759,873.86237,814.1975,803.5082,773.7097,932.161,852.88586,961.017,927.5494,908.632,804.2711,808.97125,871.32874,842.5625,703.16425,694.32117,662.0729,803.02136,813.6772,943.9962,819.5767
2019,957.35736,1027.5763,871.7928,871.1453,876.5078,915.60767,830.56976,895.8847,919.37085,943.96674,921.38983,822.3849,796.0282,850.1984,962.8073,865.11884,891.50775,725.1662,783.2889,905.9994,810.00195,890.3333,1056.9786,953.258,1118.4862,891.8012,831.687,928.3946,896.943,974.22894,746.46674,779.8518,915.8536,778.2768,944.62897,970.34985,830.3801,777.2426,1011.2147,839.9398,1010.75696,951.29236,912.376,897.9322,839.01697,810.0598,896.3866,852.0905,802.8683,790.55,842.39514,777.2116,788.17053,780.9987,855.0138,868.6078,915.0269,943.04333,892.8457,839.8955,834.77106,770.2727,805.2972,735.39716,751.06335,951.94946,857.9413,829.32623,950.0887
2020,905.25574,1095.179,965.88464,872.2032,671.51495,930.242,916.48926,857.5366,1006.80884,896.4004,909.2006,1047.6611,962.11694,844.34216,926.1479,1061.1969,789.0063,704.43506,915.2536,903.4964,876.90094,1066.0731,953.1149,1050.4335,1045.4788,904.3714,890.66473,709.71,718.22516,1004.3861,802.486,961.6095,789.3489,877.5531,667.71075,871.2966,972.4234,933.3079,892.4093,863.70514,818.93677,1020.8063,904.2785,889.65796,983.5079,794.7367,841.10785,801.1539,835.6288,992.79126,930.9592,822.14197,764.5065,843.9398,882.9346,821.57965,874.66565,1000.49744,897.17957,896.6718,835.2903,776.2715,785.5857,937.6585,745.1404,922.8118,886.7438,772.8474,880.7201
2021,764.06287,834.6915,989.4675,882.4024,805.132,1030.8308,1037.4688,1000.4641,964.8112,977.38434,1033.6141,887.3583,900.516,859.2323,913.5562,1028.9012,826.15283,911.6486,900.0104,835.0274,819.5108,907.5111,1084.0321,932.4308,821.9393,948.3462,765.5505,927.6993,971.7685,845.2112,834.4243,873.4287,692.01086,791.32574,797.41376,940.78827,935.08344,948.50104,947.71313,877.87225,853.7949,830.0176,926.40125,883.36426,934.06903,875.97314,873.07385,738.47485,900.1558,847.2749,921.564,796.4366,910.56464,787.29877,833.30164,958.6496,790.8742,949.6122,904.471,848.997,1019.3536,800.6974,732.51,813.82196,805.52484,743.47754,1021.23645,890.59894,940.53656
2022,789.42834,1005.51404,895.0121,873.8325,789.62946,796.509,960.6376,957.4618,924.4757,879.8865,921.32776,919.90533,905.30475,767.52954,835.4494,936.94855,875.41223,768.57794,962.8519,806.0352,813.62024,901.32556,877.9062,853.84485,991.83734,912.3385,884.2064,697.2323,953.1373,980.5587,751.47284,797.3679,717.4433,728.5777,639.3411,942.58813,914.1215,922.2641,879.86707,897.899,867.2665,994.4548,870.92816,914.60675,819.04877,815.44836,905.805,809.24805,838.6737,827.2928,950.7331,987.15674,786.7503,798.92346,877.03033,953.16077,830.33295,898.94855,916.60645,904.57416,941.4898,790.1035,842.2552,736.3928,750.0198,907.15643,870.1176,876.395,978.2425
2023,868.9711,969.3069,817.9249,980.81396,786.22015,953.19977,949.4855,905.4096,888.02655,776.3178,997.0353,918.9448,877.83154,909.4725,803.72034,969.5524,920.5046,877.0889,934.6979,815.3491,923.106,973.4883,1063.0547,1102.407,927.97253,978.6942,817.57574,753.5684,959.789,786.3567,829.05396,1041.9592,959.6516,730.24884,1299.8092,1014.83594,935.19244,802.64746,967.9577,969.816,831.59784,964.6345,859.79047,963.3743,814.24634,951.6063,821.8475,894.58386,837.02856,829.15717,904.4366,872.4222,840.7607,882.31586,775.2241,883.78235,999.73865,1076.088,790.2053,726.034,950.34424,824.04846,839.39514,792.56116,806.3984,1020.0088,970.33466,854.0754,926.5822
2024,913.917,876.05927,1010.41016,816.79675,702.5274,918.3509,918.24396,1068.3507,1003.0656,1002.5677,1044.8229,1005.989,880.7009,858.5667,1057.2986,917.6329,892.0912,750.5329,737.4816,851.4566,809.2838,923.4318,981.13635,936.6358,996.73706,794.30255,833.0944,763.1037,733.5625,899.82733,861.9744,802.06525,986.2849,690.60614,758.5467,915.72345,952.19305,1033.4442,1038.9752,868.89197,963.5213,802.82135,1034.8219,929.1019,867.5622,847.01117,883.9268,912.95734,899.0805,760.70746,938.26514,877.6415,951.4557,866.63544,897.6676,1003.3863,927.6831,854.65686,848.8076,865.24457,985.3958,755.04297,799.0512,764.7265,845.48706,1100.93,741.5459,911.29614,875.0146
2025,902.64777,1120.3684,866.3343,1033.3599,793.36426,951.8331,1040.7489,950.6499,911.10645,961.51044,1000.0834,905.95087,959.9253,997.66205,900.6261,881.9104,950.7324,801.96497,831.1652,921.7116,906.9632,956.92725,1146.8339,996.7113,1099.4623,892.32587,936.0118,834.1038,881.81775,741.21497,728.1359,1019.2842,800.1165,752.1008,605.8444,1013.6999,784.7375,896.1497,846.7829,847.8595,910.0733,881.3046,904.1932,906.86285,916.67566,819.4033,984.7265,866.93317,780.7917,860.72516,851.1915,990.5989,961.00616,980.1618,807.86554,957.083,893.305,911.4442,822.9885,1089.7156,894.499,780.23596,728.6253,830.2803,872.0973,936.7305,872.8403,836.9653,861.8873
