year,ACCESS1-0_rcp45_r1i1p1-longest_run_prcp_blw,ACCESS1-0_rcp85_r1i1p1-longest_run_prcp_blw,bcc-csm1-1_rcp26_r1i1p1-longest_run_prcp_blw,bcc-csm1-1_rcp45_r1i1p1-longest_run_prcp_blw,bcc-csm1-1_rcp60_r1i1p1-longest_run_prcp_blw,bcc-csm1-1_rcp85_r1i1p1-longest_run_prcp_blw,BNU-ESM_rcp45_r1i1p1-longest_run_prcp_blw,BNU-ESM_rcp85_r1i1p1-longest_run_prcp_blw,CanESM2_rcp26_r1i1p1-longest_run_prcp_blw,CanESM2_rcp45_r1i1p1-longest_run_prcp_blw,CanESM2_rcp85_r1i1p1-longest_run_prcp_blw,CCSM4_rcp26_r1i1p1-longest_run_prcp_blw,CCSM4_rcp45_r1i1p1-longest_run_prcp_blw,CCSM4_rcp60_r1i1p1-longest_run_prcp_blw,CCSM4_rcp85_r1i1p1-longest_run_prcp_blw,CESM1-BGC_rcp45_r1i1p1-longest_run_prcp_blw,CESM1-BGC_rcp85_r1i1p1-longest_run_prcp_blw,CNRM-CM5_rcp45_r1i1p1-longest_run_prcp_blw,CNRM-CM5_rcp85_r1i1p1-longest_run_prcp_blw,CSIRO-Mk3-6-0_rcp26_r1i1p1-longest_run_prcp_blw,CSIRO-Mk3-6-0_rcp45_r1i1p1-longest_run_prcp_blw,CSIRO-Mk3-6-0_rcp85_r1i1p1-longest_run_prcp_blw,GFDL-CM3_rcp26_r1i1p1-longest_run_prcp_blw,GFDL-CM3_rcp60_r1i1p1-longest_run_prcp_blw,GFDL-CM3_rcp85_r1i1p1-longest_run_prcp_blw,GFDL-ESM2G_rcp26_r1i1p1-longest_run_prcp_blw,GFDL-ESM2G_rcp45_r1i1p1-longest_run_prcp_blw,GFDL-ESM2G_rcp60_r1i1p1-longest_run_prcp_blw,GFDL-ESM2G_rcp85_r1i1p1-longest_run_prcp_blw,GFDL-ESM2M_rcp26_r1i1p1-longest_run_prcp_blw,GFDL-ESM2M_rcp45_r1i1p1-longest_run_prcp_blw,GFDL-ESM2M_rcp60_r1i1p1-longest_run_prcp_blw,GFDL-ESM2M_rcp85_r1i1p1-longest_run_prcp_blw,inmcm4_rcp45_r1i1p1-longest_run_prcp_blw,inmcm4_rcp85_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-LR_rcp26_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-LR_rcp45_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-LR_rcp60_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-LR_rcp85_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-MR_rcp26_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-MR_rcp45_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-MR_rcp60_r1i1p1-longest_run_prcp_blw,IPSL-CM5A-MR_rcp85_r1i1p1-longest_run_prcp_blw,MIROC-ESM-CHEM_rcp26_r1i1p1-longest_run_prcp_blw,MIROC-ESM-CHEM_rcp45_r1i1p1-longest_run_prcp_blw,MIROC-ESM-CHEM_rcp60_r1i1p1-longest_run_prcp_blw,MIROC-ESM-CHEM_rcp85_r1i1p1-longest_run_prcp_blw,MIROC-ESM_rcp26_r1i1p1-longest_run_prcp_blw,MIROC-ESM_rcp45_r1i1p1-longest_run_prcp_blw,MIROC-ESM_rcp60_r1i1p1-longest_run_prcp_blw,MIROC-ESM_rcp85_r1i1p1-longest_run_prcp_blw,MIROC5_rcp26_r1i1p1-longest_run_prcp_blw,MIROC5_rcp45_r1i1p1-longest_run_prcp_blw,MIROC5_rcp60_r1i1p1-longest_run_prcp_blw,MIROC5_rcp85_r1i1p1-longest_run_prcp_blw,MPI-ESM-LR_rcp26_r1i1p1-longest_run_prcp_blw,MPI-ESM-LR_rcp45_r1i1p1-longest_run_prcp_blw,MPI-ESM-LR_rcp85_r1i1p1-longest_run_prcp_blw,MPI-ESM-MR_rcp26_r1i1p1-longest_run_prcp_blw,MPI-ESM-MR_rcp45_r1i1p1-longest_run_prcp_blw,MPI-ESM-MR_rcp85_r1i1p1-longest_run_prcp_blw,MRI-CGCM3_rcp26_r1i1p1-longest_run_prcp_blw,MRI-CGCM3_rcp45_r1i1p1-longest_run_prcp_blw,MRI-CGCM3_rcp60_r1i1p1-longest_run_prcp_blw,MRI-CGCM3_rcp85_r1i1p1-longest_run_prcp_blw,NorESM1-M_rcp26_r1i1p1-longest_run_prcp_blw,NorESM1-M_rcp45_r1i1p1-longest_run_prcp_blw,NorESM1-M_rcp60_r1i1p1-longest_run_prcp_blw,NorESM1-M_rcp85_r1i1p1-longest_run_prcp_blw
2016,359.89944,366.0,366.0,366.0,364.32788,366.0,352.99335,365.37695,366.0,342.20715,366.0,365.06772,366.0,362.65012,366.0,363.31378,366.0,366.0,355.53802,359.84024,366.0,366.0,360.82455,366.0,366.0,366.0,360.29492,359.56613,366.0,365.08353,366.0,366.0,338.27917,366.0,344.1546,366.0,289.66052,366.0,354.06894,366.0,364.03717,366.0,366.0,287.63217,366.0,364.29346,351.86304,362.69034,365.60498,366.0,366.0,366.0,358.11954,365.08353,366.0,366.0,357.3559,366.0,356.86038,366.0,358.62225,339.1923,362.20715,366.0,366.0,356.46548,364.05875,303.5417,366.0
2017,364.4335,365.0,365.0,325.8125,365.0,321.92194,360.47043,355.27512,365.0,365.0,364.36795,365.0,365.0,365.0,357.73416,365.0,363.9887,365.0,362.3389,312.20728,359.05374,363.23874,365.0,362.46304,365.0,365.0,349.2459,363.7991,365.0,365.0,365.0,363.55017,365.0,363.23816,365.0,317.00815,365.0,358.88416,317.8387,362.91425,365.0,340.44757,363.15494,343.7391,289.14438,360.6122,362.12967,360.97723,360.65042,354.26984,365.0,359.26633,365.0,340.1922,365.0,365.0,363.75912,365.0,340.7612,364.32056,316.37048,323.5468,354.54907,365.0,365.0,346.86383,365.0,346.56287,365.0
2018,336.03683,358.0808,365.0,360.54236,363.6885,358.86115,364.41534,365.0,363.32507,361.38968,365.0,363.6885,356.5317,365.0,364.2292,363.9413,361.62393,346.38077,355.84198,365.0,363.19608,360.65042,365.0,356.28345,360.20996,365.0,353.50653,331.291,365.0,365.0,358.08383,283.4516,365.0,365.0,359.93588,357.7873,363.9413,365.0,365.0,350.71512,365.0,365.0,343.93826,352.1803,266.94202,355.7091,364.48965,304.67944,364.8037,349.04282,360.87067,350.2912,365.0,365.0,360.1972,364.27313,364.35214,362.60535,358.74094,362.13428,358.0847,365.0,365.0,365.0,358.48816,365.0,365.0,351.01752,364.82617
2019,365.0,363.89392,309.05887,364.5045,363.7201,361.30948,363.8465,304.41357,323.9942,365.0,312.393,364.28894,365.0,360.1809,350.2499,365.0,365.0,361.8075,365.0,335.02948,359.22064,365.0,365.0,365.0,365.0,358.33798,365.0,362.62982,365.0,363.11966,303.2646,360.86536,362.5378,365.0,365.0,365.0,365.0,346.5692,361.9798,365.0,358.18942,364.30475,365.0,365.0,365.0,328.25058,365.0,365.0,365.0,362.62982,364.68594,318.51767,359.24545,361.14594,358.8327,363.5305,365.0,365.0,364.66818,340.5785,339.66696,363.98743,365.0,365.0,349.21216,362.79767,363.8465,365.0,360.43246
2020,365.57336,366.0,366.0,365.28424,359.66833,331.1186,360.67706,366.0,364.51468,328.16913,364.96036,364.0179,366.0,366.0,362.66318,366.0,330.42075,366.0,366.0,356.3521,276.0133,365.29626,363.94855,366.0,366.0,366.0,347.89026,366.0,364.1502,366.0,366.0,366.0,366.0,366.0,365.68396,366.0,365.27313,364.78305,366.0,362.7634,363.57745,365.30475,360.3841,366.0,366.0,366.0,362.75882,360.63132,365.0971,366.0,361.0448,366.0,353.5231,354.84384,366.0,366.0,366.0,366.0,366.0,365.54175,360.9327,366.0,366.0,366.0,366.0,353.66504,363.86682,366.0,366.0
2021,365.0,361.91675,362.9078,357.86087,365.0,365.0,365.0,358.80493,364.73138,360.35907,365.0,365.0,365.0,321.3675,365.0,365.0,331.85654,365.0,365.0,358.83432,365.0,365.0,365.0,365.0,354.03055,365.0,364.8736,358.9313,360.04202,365.0,362.21918,363.27356,365.0,365.0,364.06772,365.0,302.1247,365.0,365.0,364.43115,365.0,364.29337,365.0,363.5335,365.0,365.0,365.0,353.57935,364.3719,365.0,365.0,365.0,362.137,333.42178,365.0,351.5407,340.17242,361.71964,365.0,365.0,335.98874,365.0,365.0,365.0,363.2903,365.0,365.0,363.37247,362.67722
2022,350.87726,365.0,360.78384,360.11407,355.19968,364.36795,365.0,363.7169,363.34827,287.4233,365.0,365.0,365.0,365.0,341.79044,357.13898,365.0,362.12418,365.0,363.6782,365.0,361.89536,365.0,365.0,362.2471,365.0,365.0,360.10593,365.0,332.61267,362.4945,331.92218,345.6385,360.72104,344.56726,361.09088,359.82455,239.10114,365.0,346.73395,365.0,363.9668,330.48303,359.65344,361.53134,365.0,365.0,365.0,351.1442,240.17943,363.23346,357.86823,365.0,363.10385,364.82617,365.0,291.646,363.51636,365.0,365.0,359.37924,356.62112,349.92023,365.0,365.0,365.0,317.26907,345.92328,361.7516
2023,361.5985,360.05615,365.0,361.95703,364.84198,358.41833,359.82584,361.23135,363.27448,364.843,365.0,358.92493,364.9368,365.0,361.42123,365.0,365.0,328.43262,365.0,352.80682,363.26187,330.20978,365.0,357.27704,363.11966,361.3347,365.0,365.0,321.41473,359.21893,365.0,364.92148,279.64435,352.29272,361.99673,341.76288,358.6366,363.9255,363.30927,365.0,365.0,365.0,363.76846,364.27313,365.0,363.7098,365.0,365.0,364.00452,365.0,365.0,363.31238,365.0,365.0,357.38763,365.0,362.81943,365.0,365.0,364.69977,363.28354,362.5982,365.0,359.51993,360.0144,357.8886,329.00458,300.2837,365.0
2024,366.0,365.02032,366.0,335.00305,298.21558,366.0,311.94122,365.63437,366.0,320.23767,321.12283,366.0,366.0,366.0,366.0,366.0,361.14908,366.0,364.7833,364.39047,363.7426,366.0,366.0,366.0,366.0,365.56003,296.32486,363.75623,364.84378,366.0,345.173,366.0,356.07278,363.99002,366.0,348.95978,363.65524,310.13486,366.0,364.70517,364.45837,366.0,366.0,364.4673,361.13217,366.0,356.65918,364.37228,361.41266,360.9433,366.0,366.0,362.42123,366.0,360.86743,365.94495,354.0478,366.0,354.6047,360.67282,364.7833,366.0,366.0,324.9206,362.49088,360.32904,366.0,366.0,299.57373
2025,365.0,365.0,302.8387,365.0,339.14694,365.0,365.0,365.0,361.6248,365.0,362.57745,363.10385,359.6807,365.0,330.3876,365.0,362.752,365.0,362.3232,343.52673,365.0,365.0,302.73822,322.51163,365.0,312.34735,363.81308,365.0,360.37512,365.0,365.0,365.0,354.99063,364.9842,354.369,302.69574,365.0,365.0,365.0,365.0,365.0,362.5508,365.0,301.0652,365.0,362.4883,365.0,360.27994,361.87628,362.62817,363.8223,365.0,365.0,365.0,364.47855,362.50873,363.34085,357.708,365.0,365.0,361.35703,352.61136,364.5684,365.0,365.0,356.80923,365.0,365.0,365.0
