month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,13.722,8.814,3.681,5.822,11.524,13.532,8.895,3.349,5.858,11.876,14.170,9.709,4.370,6.364,12.594,14.852,9.602,4.828,6.578,12.529,14.314,9.831,4.412,6.300,12.622,15.111,11.246,5.915,8.393,13.382
2,15.518,10.518,5.091,7.425,13.351,15.936,10.353,4.824,7.288,13.887,15.925,11.307,6.118,8.163,14.370,16.273,11.969,6.377,8.292,14.601,16.694,11.843,5.765,8.570,14.298,17.210,12.803,7.573,9.567,15.928
3,19.130,14.542,9.806,12.185,17.475,19.317,14.626,9.231,11.519,17.399,19.590,15.215,10.241,12.204,18.151,20.611,15.918,11.044,12.977,18.357,20.698,15.695,10.783,13.245,18.590,21.305,16.751,12.186,14.425,19.286
4,23.762,20.595,16.723,18.309,22.353,23.590,20.394,16.337,18.098,22.263,24.285,21.087,17.651,18.780,22.955,24.985,21.508,17.996,19.376,23.660,24.531,21.651,17.760,19.302,23.834,26.195,22.957,19.151,20.828,24.837
5,27.208,24.622,21.829,23.003,26.048,27.231,24.802,22.438,23.352,26.304,27.766,25.551,22.910,24.086,26.997,28.881,26.119,23.260,24.440,27.686,28.396,26.167,23.530,24.826,27.596,30.542,27.671,25.016,26.223,29.499
6,30.089,28.088,25.660,26.606,29.229,30.165,27.901,25.691,26.780,29.291,30.924,28.850,26.617,27.437,30.261,31.728,29.373,26.740,27.904,30.953,31.448,29.340,27.108,28.018,30.762,33.829,31.180,28.497,29.431,32.745
7,31.988,29.588,27.495,28.399,30.919,31.846,29.630,27.578,28.310,30.901,32.685,30.534,28.515,29.267,31.751,33.619,31.129,28.760,29.741,32.694,32.985,30.938,28.947,29.757,32.010,34.975,32.633,30.409,31.227,33.928
8,31.117,29.145,26.890,27.796,30.302,31.601,29.262,27.122,27.980,30.664,31.893,30.006,27.919,28.777,31.293,32.835,30.696,28.187,29.270,31.965,32.692,30.395,28.302,29.168,31.537,34.374,32.098,29.489,30.808,33.620
9,28.698,26.046,23.853,24.460,27.523,28.973,26.229,23.818,24.949,27.881,29.682,26.932,24.674,25.454,28.313,30.223,27.505,25.062,25.983,29.061,29.703,27.245,25.168,26.141,28.803,31.768,29.237,26.517,27.680,30.819
10,23.857,20.925,18.177,19.082,22.714,24.139,21.183,18.467,19.647,22.922,24.275,21.784,19.413,20.269,23.613,25.489,22.367,19.627,20.757,24.343,24.725,22.346,19.726,20.845,23.797,27.097,24.057,20.747,22.107,25.662
11,18.837,15.013,11.300,12.931,17.438,18.862,14.914,11.023,12.772,17.648,19.692,15.714,11.644,13.555,18.080,20.145,16.057,12.211,13.994,18.389,19.266,16.061,12.199,13.436,18.417,21.946,17.606,13.440,15.371,20.086
12,14.986,10.313,5.515,7.338,12.659,14.153,10.146,5.577,7.317,12.962,15.267,10.730,6.384,8.378,13.494,15.856,11.091,6.998,8.564,13.364,15.948,10.923,6.651,8.371,13.739,16.046,12.598,7.606,9.734,14.649
